"date","year","loc","loc_neut","match_id","home_team","away_team","home_runs","away_runs","home_win","away_win","home_conference","away_conference","conference_group_1_home","conference_group_2_home","conference_group_3_home","conference_group_1_away","conference_group_2_away","conference_group_3_away","last_year_bid_home","last_year_bid_away"
"02/15/2019",2019,0,0,1647611,"South Carolina","Liberty","5","6",0,1,"SEC","ASUN",1,0,0,0,0,0,1,0
"02/15/2019",2019,0,0,1647612,"Wake Forest","Sacred Heart","14","1",1,0,"ACC","NEC",1,0,0,0,0,0,0,0
"02/15/2019",2019,1,0,1647614,"Grand Canyon","Wichita St.","9","1",1,0,"WAC","AAC",0,0,0,0,0,0,0,0
"02/15/2019",2019,1,0,1647616,"Florida St.","Maine","11","0",1,0,"ACC","America East",1,0,0,0,0,0,1,0
"02/15/2019",2019,0,0,1647620,"South Fla.","Samford","7","4",1,0,"AAC","SoCon",0,0,0,0,0,0,1,1
"02/15/2019",2019,0,0,1647622,"North Florida","Missouri","5","4",1,0,"ASUN","SEC",0,0,0,1,0,0,0,0
"02/15/2019",2019,1,0,1647623,"Hawaii","Portland","4","10",1,0,"Big West","WCC",0,0,0,0,0,0,0,0
"02/16/2019",2019,0,0,1647624,"UC Davis","Northern Colo.","11","2",0,1,"Big West","WAC",0,0,0,0,0,0,0,0
"02/15/2019",2019,1,0,1647626,"Clemson","South Alabama","6","2",1,0,"ACC","Sun Belt",1,0,0,0,0,0,1,0
"02/15/2019",2019,0,0,1647627,"Mercer","Evansville","5","4",1,0,"SoCon","MVC",0,0,0,0,0,0,0,0
"02/16/2019",2019,1,0,1647631,"Arkansas","Eastern Ill.","15","7",0,1,"SEC","OVC",1,0,0,0,0,0,1,0
"02/15/2019",2019,1,0,1647633,"Georgia St.","Richmond","6","13",1,0,"Sun Belt","Atlantic 10",0,0,0,0,0,0,0,0
"02/16/2019",2019,1,0,1647634,"Fresno St.","Utah Valley","6","3",1,0,"Mountain West","WAC",0,0,0,0,0,0,0,0
"02/15/2019",2019,1,0,1647636,"Alabama A&M","Purdue Fort Wayne","2","10",1,0,"SWAC","Horizon",0,0,0,0,0,0,0,0
"02/15/2019",2019,1,0,1647637,"Georgia Tech","UIC","6","3",1,0,"ACC","Horizon",1,0,0,0,0,0,0,0
"02/15/2019",2019,1,0,1647639,"Coastal Carolina","VCU","10","8",0,1,"Sun Belt","Atlantic 10",0,0,0,0,0,0,1,0
"02/15/2019",2019,1,0,1647642,"CSUN","Kansas St.","10","8",0,1,"Big West","Big 12",0,0,0,0,1,0,0,0
"02/15/2019",2019,1,0,1647644,"DBU","Kent St.","3","0",1,0,"MVC","MAC",0,0,0,0,0,0,1,1
"02/17/2019",2019,1,0,1647645,"Southeast Mo. St.","Western Mich.","8","4",1,0,"OVC","MAC",0,0,0,0,0,0,0,0
"02/15/2019",2019,1,0,1647646,"Louisiana","Texas","1","3",0,1,"Sun Belt","Big 12",0,0,0,0,1,0,0,1
"02/15/2019",2019,1,0,1647648,"Elon","Lafayette","9","1",1,0,"CAA","Patriot",0,0,0,0,0,0,0,0
"02/15/2019",2019,0,0,1647649,"UCLA","St. John's (NY)","3","2",1,0,"Pac-12","Big East",0,1,0,0,0,0,1,1
"02/15/2019",2019,0,0,1647650,"The Citadel","Delaware St.","1","3",0,1,"SoCon","MEAC",0,0,0,0,0,0,0,0
"02/15/2019",2019,1,0,1647651,"Alabama","Presbyterian","7","2",1,0,"SEC","Big South",1,0,0,0,0,0,0,0
"02/15/2019",2019,0,0,1647652,"Middle Tenn.","Bowling Green","7","0",1,0,"C-USA","MAC",0,0,1,0,0,0,0,0
"02/15/2019",2019,1,0,1647653,"New Mexico St.","Texas Southern","20","2",1,0,"WAC","SWAC",0,0,0,0,0,0,1,1
