"date","year","match_id","loc","loc_neut","home_team","away_team","home_runs","away_runs","home_win","away_win","home_conference","away_conference","conference_group_1_home","conference_group_2_home","conference_group_3_home","conference_group_1_away","conference_group_2_away","conference_group_3_away","last_year_bid_home","last_year_bid_away"
2023-02-17,2023,1,1,1,"Oklahoma St.","Missouri","1","0",0,1,"Big 12","SEC",0,1,0,1,0,0,1,0
2023-02-18,2023,2,1,1,"TCU","Missouri","1","0",0,1,"Big 12","SEC",0,1,0,1,0,0,1,0
2023-02-19,2023,3,1,1,"Texas","Missouri","1","0",0,1,"Big 12","SEC",0,1,0,1,0,0,1,0
2023-02-23,2023,4,1,1,"FIU","Missouri","1","0",0,1,"C-USA","SEC",0,0,1,1,0,0,0,0
2023-02-24,2023,5,1,1,"FIU","Missouri","1","0",0,1,"C-USA","SEC",0,0,1,1,0,0,0,0
2023-02-25,2023,6,1,1,"FIU","Missouri","1","0",0,1,"C-USA","SEC",0,0,1,1,0,0,0,0
2023-02-26,2023,7,1,1,"FIU","Missouri","1","0",0,1,"C-USA","SEC",0,0,1,1,0,0,0,0
2023-02-28,2023,8,1,1,"Missouri","Lindenwood","1","0",1,0,"SEC",NA,1,0,0,0,0,0,0,0
2023-03-03,2023,9,1,1,"Missouri","Texas Southern","1","0",1,0,"SEC","SWAC",1,0,0,0,0,0,0,0
2023-03-04,2023,10,1,1,"Missouri","Texas Southern","1","0",1,0,"SEC","SWAC",1,0,0,0,0,0,0,0
2023-03-04,2023,11,1,1,"Missouri","Texas Southern","1","0",1,0,"SEC","SWAC",1,0,0,0,0,0,0,0
2023-03-05,2023,12,1,1,"Missouri","Texas Southern","1","0",1,0,"SEC","SWAC",1,0,0,0,0,0,0,0
2023-03-07,2023,13,1,1,"Missouri","Western Ill.","1","0",1,0,"SEC","Summit League",1,0,0,0,0,0,0,0
2023-03-10,2023,14,1,1,"Missouri","NJIT","1","0",1,0,"SEC","America East",1,0,0,0,0,0,0,0
2023-03-11,2023,15,1,1,"Missouri","NJIT","1","0",1,0,"SEC","America East",1,0,0,0,0,0,0,0
2023-03-11,2023,16,1,1,"Missouri","NJIT","1","0",1,0,"SEC","America East",1,0,0,0,0,0,0,0
2023-03-12,2023,17,1,1,"Missouri","NJIT","1","0",1,0,"SEC","America East",1,0,0,0,0,0,0,0
2023-03-15,2023,18,1,1,"Missouri","Lamar University","1","0",1,0,"SEC","Southland",1,0,0,0,0,0,0,0
2023-03-17,2023,19,1,1,"Missouri","Tennessee","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-03-18,2023,20,1,1,"Missouri","Tennessee","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-03-19,2023,21,1,1,"Missouri","Tennessee","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-03-22,2023,22,1,1,"Kansas","Missouri","1","0",0,1,"Big 12","SEC",0,1,0,1,0,0,0,0
2023-03-24,2023,23,1,1,"South Carolina","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,0,0
2023-03-25,2023,24,1,1,"South Carolina","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,0,0
2023-03-26,2023,25,1,1,"South Carolina","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,0,0
2023-03-28,2023,26,1,1,"Illinois","Missouri","1","0",0,1,"Big Ten","SEC",0,0,1,1,0,0,0,0
2023-03-29,2023,27,1,1,"Lindenwood","Missouri","1","0",0,1,NA,"SEC",0,0,0,1,0,0,0,0
2023-03-31,2023,28,1,1,"Kentucky","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,0,0
2023-04-01,2023,29,1,1,"Kentucky","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,0,0
2023-04-02,2023,30,1,1,"Kentucky","Missouri","1","0",0,1,"SEC","SEC",1,0,0,1,0,0,0,0
2023-04-06,2023,31,1,1,"Missouri","Vanderbilt","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
2023-04-07,2023,32,1,1,"Missouri","Vanderbilt","1","0",1,0,"SEC","SEC",1,0,0,1,0,0,0,1
