rank,team,win_pct
1,Georgia,18.92
2,Georgia Tech,15.959999999999999
3,UCLA,14.180000000000001
4,North Carolina,8.88
5,Texas,6.1
6,Auburn,5.1
7,Florida,4.6
8,Oregon,2.56
9,Texas A&M,2.42
10,Kansas,2.2800000000000002
11,Arkansas,2.12
12,Southern Miss.,2.08
13,Alabama,1.96
14,Jacksonville St.,1.8599999999999999
15,West Virginia,1.78
16,Mississippi St.,1.24
17,Oregon St.,1.24
18,Florida St.,1.16
19,Oklahoma St.,1.08
20,Nebraska,0.88
21,Tennessee,0.8200000000000001
22,Southern California,0.52
23,Miami (FL),0.5
24,Tarleton St.,0.26
25,East Carolina,0.18
26,Ole Miss,0.13999999999999999
27,Louisiana,0.12
28,Arizona St.,0.1
29,The Citadel,0.1
30,Wake Forest,0.1
31,Cincinnati,0.08
32,Coastal Carolina,0.08
33,Virginia Tech,0.06
34,USC Upstate,0.06
35,Virginia,0.06
36,Oklahoma,0.06
37,Cal Poly,0.06
38,NIU,0.06
39,St. John's (NY),0.06
40,Lamar University,0.04
41,Northeastern,0.02
42,Troy,0.02
43,Liberty,0.02
44,Texas St.,0.02
45,UC Santa Barbara,0.02
46,Little Rock,0.02
47,Boston College,0.02
