rank,team,cws_pct
1,Georgia,66.34
2,UCLA,59.56
3,Georgia Tech,56.48
4,Auburn,50.0
5,North Carolina,43.74
6,Texas,42.84
7,Florida,35.78
8,Alabama,33.56
9,Oregon,26.56
10,Texas A&M,25.14
11,Florida St.,24.98
12,West Virginia,23.86
13,Nebraska,23.84
14,Southern Miss.,22.28
15,Jacksonville St.,21.9
16,Oklahoma St.,21.36
17,Oregon St.,19.82
18,Mississippi St.,19.46
19,Kansas,18.7
20,Arkansas,17.52
21,Tennessee,11.86
22,Ole Miss,10.9
23,Miami (FL),10.7
24,Southern California,10.02
25,Wake Forest,8.0
26,Coastal Carolina,7.04
27,Arizona St.,6.54
28,St. John's (NY),6.419999999999999
29,Tarleton St.,5.72
30,Louisiana,5.26
31,UCF,4.26
32,NC State,4.14
33,East Carolina,3.82
34,Troy,3.8
35,Cincinnati,3.7199999999999998
36,UC Santa Barbara,3.6799999999999997
37,Virginia,3.56
38,NIU,3.44
39,Virginia Tech,3.08
40,The Citadel,3.08
41,Liberty,3.06
42,USC Upstate,2.74
43,Cal Poly,2.6599999999999997
44,Lamar University,2.3800000000000003
45,Kentucky,1.92
46,Texas St.,1.9
47,Oklahoma,1.7999999999999998
48,Boston College,1.72
49,Northeastern,1.54
50,Little Rock,1.4200000000000002
51,VCU,1.1400000000000001
52,Missouri St.,0.8
53,Yale,0.8
54,Rider,0.5599999999999999
55,Binghamton,0.52
56,Washington St.,0.52
57,Alabama St.,0.45999999999999996
58,Saint Mary's (CA),0.4
59,Lipscomb,0.38
60,Milwaukee,0.26
61,UIC,0.08
62,LIU,0.06
63,Holy Cross,0.06
64,South Dakota St.,0.06
