"team_name","conference_id","team_url","division","year","team_id","conference","season_id"
"Boston College","821","/teams/508974",1,2021,67,"ACC",15580
"Clemson","821","/teams/509003",1,2021,147,"ACC",15580
"Duke","821","/teams/509015",1,2021,193,"ACC",15580
"Florida St.","821","/teams/509027",1,2021,234,"ACC",15580
"Florida St.","821","/teams/509027",1,2021,234,"ACC",15580
"Georgia Tech","821","/teams/509036",1,2021,255,"ACC",15580
"Georgia Tech","821","/teams/509036",1,2021,255,"ACC",15580
"Louisville","821","/teams/509072",1,2021,367,"ACC",15580
"Miami (FL)","821","/teams/509087",1,2021,415,"ACC",15580
"NC State","821","/teams/509118",1,2021,490,"ACC",15580
"North Carolina","821","/teams/509101",1,2021,457,"ACC",15580
"Notre Dame","821","/teams/509127",1,2021,513,"ACC",15580
"Pittsburgh","821","/teams/509142",1,2021,545,"ACC",15580
"Virginia","821","/teams/508912",1,2021,746,"ACC",15580
"Virginia Tech","821","/teams/508911",1,2021,742,"ACC",15580
"Virginia Tech","821","/teams/508911",1,2021,742,"ACC",15580
"Wake Forest","821","/teams/508914",1,2021,749,"ACC",15580
"Bellarmine","920","/teams/509202",1,2021,52,"ASUN",15580
"FGCU","920","/teams/508950",1,2021,28755,"ASUN",15580
"Jacksonville","920","/teams/509057",1,2021,316,"ASUN",15580
"Kennesaw St.","920","/teams/508938",1,2021,1157,"ASUN",15580
"Liberty","920","/teams/509067",1,2021,355,"ASUN",15580
"Lipscomb","920","/teams/508949",1,2021,28600,"ASUN",15580
"North Ala.","920","/teams/508952",1,2021,487,"ASUN",15580
"North Florida","920","/teams/508942",1,2021,2711,"ASUN",15580
"North Florida","920","/teams/508942",1,2021,2711,"ASUN",15580
"Stetson","920","/teams/509186",1,2021,678,"ASUN",15580
"Binghamton","845","/teams/508973",1,2021,62,"America East",15580
"Hartford","845","/teams/509040",1,2021,272,"America East",15580
"Maine","845","/teams/509075",1,2021,380,"America East",15580
"NJIT","845","/teams/509109",1,2021,471,"America East",15580
"Stony Brook","845","/teams/509187",1,2021,683,"America East",15580
"UAlbany","845","/teams/508959",1,2021,14,"America East",15580
"UMBC","845","/teams/509079",1,2021,391,"America East",15580
"UMass Lowell","845","/teams/509073",1,2021,368,"America East",15580
"Davidson","820","/teams/509011",1,2021,173,"Atlantic 10",15580
"Dayton","820","/teams/509012",1,2021,175,"Atlantic 10",15580
"Fordham","820","/teams/509029",1,2021,236,"Atlantic 10",15580
"George Mason","820","/teams/509031",1,2021,248,"Atlantic 10",15580
"George Washington","820","/teams/509032",1,2021,249,"Atlantic 10",15580
"George Washington","820","/teams/509032",1,2021,249,"Atlantic 10",15580
"La Salle","820","/teams/509063",1,2021,340,"Atlantic 10",15580
"Massachusetts","820","/teams/509082",1,2021,400,"Atlantic 10",15580
"Rhode Island","820","/teams/509149",1,2021,572,"Atlantic 10",15580
"Richmond","820","/teams/509151",1,2021,575,"Atlantic 10",15580
"Saint Joseph's","820","/teams/509157",1,2021,606,"Atlantic 10",15580
"Saint Louis","820","/teams/509158",1,2021,609,"Atlantic 10",15580
"St. Bonaventure","820","/teams/509155",1,2021,596,"Atlantic 10",15580
"VCU","820","/teams/508909",1,2021,740,"Atlantic 10",15580
"Baylor","25354","/teams/508971",1,2021,51,"Big 12",15580
"Kansas","25354","/teams/509060",1,2021,328,"Big 12",15580
"Kansas St.","25354","/teams/509059",1,2021,327,"Big 12",15580
"Kansas St.","25354","/teams/509059",1,2021,327,"Big 12",15580
"Oklahoma","25354","/teams/509132",1,2021,522,"Big 12",15580
"Oklahoma St.","25354","/teams/509131",1,2021,521,"Big 12",15580
"Oklahoma St.","25354","/teams/509131",1,2021,521,"Big 12",15580
"TCU","25354","/teams/508892",1,2021,698,"Big 12",15580
"Texas","25354","/teams/508896",1,2021,703,"Big 12",15580
"Texas Tech","25354","/teams/508894",1,2021,700,"Big 12",15580
"Texas Tech","25354","/teams/508894",1,2021,700,"Big 12",15580
"West Virginia","25354","/teams/508917",1,2021,768,"Big 12",15580
"West Virginia","25354","/teams/508917",1,2021,768,"Big 12",15580
"Butler","30184","/teams/508981",1,2021,87,"Big East",15580
"Creighton","30184","/teams/509009",1,2021,169,"Big East",15580
"Georgetown","30184","/teams/509033",1,2021,251,"Big East",15580
"Seton Hall","30184","/teams/509168",1,2021,635,"Big East",15580
"St. John's (NY)","30184","/teams/509156",1,2021,603,"Big East",15580
"UConn","30184","/teams/509006",1,2021,164,"Big East",15580
"Villanova","30184","/teams/508908",1,2021,739,"Big East",15580
"Xavier","30184","/teams/508927",1,2021,812,"Big East",15580
"Campbell","826","/teams/508995",1,2021,115,"Big South",15580
"Charleston So.","826","/teams/508970",1,2021,48,"Big South",15580
"Gardner-Webb","826","/teams/508936",1,2021,1092,"Big South",15580
"High Point","826","/teams/508947",1,2021,19651,"Big South",15580
"Longwood","826","/teams/509069",1,2021,363,"Big South",15580
"Presbyterian","826","/teams/508939",1,2021,1320,"Big South",15580
"Radford","826","/teams/509148",1,2021,563,"Big South",15580
"UNC Asheville","826","/teams/509100",1,2021,456,"Big South",15580
"USC Upstate","826","/teams/508945",1,2021,10411,"Big South",15580
"Winthrop","826","/teams/508924",1,2021,792,"Big South",15580
"Illinois","827","/teams/509048",1,2021,301,"Big Ten",15580
"Indiana","827","/teams/509051",1,2021,306,"Big Ten",15580
"Iowa","827","/teams/509054",1,2021,312,"Big Ten",15580
"Maryland","827","/teams/509080",1,2021,392,"Big Ten",15580
"Michigan","827","/teams/509089",1,2021,418,"Big Ten",15580
"Michigan St.","827","/teams/509088",1,2021,416,"Big Ten",15580
"Michigan St.","827","/teams/509088",1,2021,416,"Big Ten",15580
"Minnesota","827","/teams/509091",1,2021,428,"Big Ten",15580
"Nebraska","827","/teams/509105",1,2021,463,"Big Ten",15580
"Northwestern","827","/teams/509126",1,2021,509,"Big Ten",15580
"Ohio St.","827","/teams/509129",1,2021,518,"Big Ten",15580
"Ohio St.","827","/teams/509129",1,2021,518,"Big Ten",15580
"Penn St.","827","/teams/509139",1,2021,539,"Big Ten",15580
"Penn St.","827","/teams/509139",1,2021,539,"Big Ten",15580
"Purdue","827","/teams/509146",1,2021,559,"Big Ten",15580
"Rutgers","827","/teams/509153",1,2021,587,"Big Ten",15580
"CSU Bakersfield","904","/teams/508983",1,2021,94,"Big West",15580
"CSUN","904","/teams/508987",1,2021,101,"Big West",15580
"Cal Poly","904","/teams/508982",1,2021,90,"Big West",15580
"Cal St. Fullerton","904","/teams/508985",1,2021,97,"Big West",15580
"Hawaii","904","/teams/509042",1,2021,277,"Big West",15580
"Long Beach St.","904","/teams/508986",1,2021,99,"Big West",15580
"UC Davis","904","/teams/508991",1,2021,108,"Big West",15580
"UC Irvine","904","/teams/508992",1,2021,109,"Big West",15580
"UC Riverside","904","/teams/508994",1,2021,111,"Big West",15580
"UC San Diego","904","/teams/509216",1,2021,112,"Big West",15580
"UC San Diego","904","/teams/509216",1,2021,112,"Big West",15580
"UC Santa Barbara","904","/teams/508989",1,2021,104,"Big West",15580
"Col. of Charleston","837","/teams/508933",1,2021,1014,"CAA",15580
"Delaware","837","/teams/509014",1,2021,180,"CAA",15580
"Elon","837","/teams/508935",1,2021,1068,"CAA",15580
"Hofstra","837","/teams/509043",1,2021,283,"CAA",15580
"James Madison","837","/teams/509058",1,2021,317,"CAA",15580
"Northeastern","837","/teams/509121",1,2021,500,"CAA",15580
"Towson","837","/teams/508899",1,2021,711,"CAA",15580
"UNCW","837","/teams/509104",1,2021,460,"CAA",15580
"William & Mary","837","/teams/508923",1,2021,786,"CAA",15580
"Charlotte","24312","/teams/509102",1,2021,458,"C-USA",15580
"FIU","24312","/teams/509026",1,2021,231,"C-USA",15580
"Fla. Atlantic","24312","/teams/509025",1,2021,229,"C-USA",15580
"Louisiana Tech","24312","/teams/509071",1,2021,366,"C-USA",15580
"Louisiana Tech","24312","/teams/509071",1,2021,366,"C-USA",15580
"Marshall","24312","/teams/509078",1,2021,388,"C-USA",15580
"Middle Tenn.","24312","/teams/509090",1,2021,419,"C-USA",15580
"Old Dominion","24312","/teams/509133",1,2021,523,"C-USA",15580
"Rice","24312","/teams/509150",1,2021,574,"C-USA",15580
"Southern Miss.","24312","/teams/509179",1,2021,664,"C-USA",15580
"UAB","24312","/teams/508958",1,2021,9,"C-USA",15580
"UTSA","24312","/teams/508897",1,2021,706,"C-USA",15580
"Western Ky.","24312","/teams/508920",1,2021,772,"C-USA",15580
"Milwaukee","881","/teams/508925",1,2021,797,"Horizon",15580
"Northern Ky.","881","/teams/509124",1,2021,505,"Horizon",15580
"Oakland","881","/teams/509128",1,2021,514,"Horizon",15580
"Purdue Fort Wayne","881","/teams/509052",1,2021,308,"Horizon",15580
"Purdue Fort Wayne","881","/teams/509052",1,2021,308,"Horizon",15580
"UIC","881","/teams/509049",1,2021,302,"Horizon",15580
"Wright St.","881","/teams/508926",1,2021,810,"Horizon",15580
"Youngstown St.","881","/teams/508929",1,2021,817,"Horizon",15580
"Brown","865","/teams/508978",1,2021,80,"Ivy League",15580
"Columbia","865","/teams/509005",1,2021,158,"Ivy League",15580
"Cornell","865","/teams/509008",1,2021,167,"Ivy League",15580
"Dartmouth","865","/teams/509010",1,2021,172,"Ivy League",15580
"Harvard","865","/teams/509041",1,2021,275,"Ivy League",15580
"Penn","865","/teams/509140",1,2021,540,"Ivy League",15580
"Princeton","865","/teams/509145",1,2021,554,"Ivy League",15580
"Yale","865","/teams/508928",1,2021,813,"Ivy League",15580
"Canisius","871","/teams/508996",1,2021,116,"MAAC",15580
"Fairfield","871","/teams/509022",1,2021,220,"MAAC",15580
"Iona","871","/teams/509053",1,2021,310,"MAAC",15580
"Manhattan","871","/teams/509076",1,2021,381,"MAAC",15580
"Marist","871","/teams/509077",1,2021,386,"MAAC",15580
"Monmouth","871","/teams/509096",1,2021,439,"MAAC",15580
"Niagara","871","/teams/509113",1,2021,482,"MAAC",15580
"Quinnipiac","871","/teams/509147",1,2021,562,"MAAC",15580
"Rider","871","/teams/509152",1,2021,576,"MAAC",15580
"Saint Peter's","871","/teams/509160",1,2021,617,"MAAC",15580
"Siena","871","/teams/509169",1,2021,639,"MAAC",15580
"Akron","875","/teams/508890",1,2021,5,"MAC",15580
"Ball St.","875","/teams/508969",1,2021,47,"MAC",15580
"Bowling Green","875","/teams/508975",1,2021,71,"MAC",15580
"Central Mich.","875","/teams/508999",1,2021,129,"MAC",15580
"Eastern Mich.","875","/teams/509020",1,2021,204,"MAC",15580
"Kent St.","875","/teams/509061",1,2021,331,"MAC",15580
"Miami (OH)","875","/teams/509086",1,2021,414,"MAC",15580
