"","team_id","team_name","team_url","conference_id","conference","division","year","season_id"
"1",NA,"Boston College","/teams/508974","821","ACC",1,2021,NA
"2",NA,"Clemson","/teams/509003","821","ACC",1,2021,NA
"3",NA,"Duke","/teams/509015","821","ACC",1,2021,NA
"4",NA,"Florida St.","/teams/509027","821","ACC",1,2021,NA
"5",NA,"Georgia Tech","/teams/509036","821","ACC",1,2021,NA
"6",NA,"Louisville","/teams/509072","821","ACC",1,2021,NA
"7",NA,"Miami (FL)","/teams/509087","821","ACC",1,2021,NA
"8",NA,"NC State","/teams/509118","821","ACC",1,2021,NA
"9",NA,"North Carolina","/teams/509101","821","ACC",1,2021,NA
"10",NA,"Notre Dame","/teams/509127","821","ACC",1,2021,NA
"11",NA,"Pittsburgh","/teams/509142","821","ACC",1,2021,NA
"12",NA,"Virginia","/teams/508912","821","ACC",1,2021,NA
"13",NA,"Virginia Tech","/teams/508911","821","ACC",1,2021,NA
"14",NA,"Wake Forest","/teams/508914","821","ACC",1,2021,NA
"15",NA,"Bellarmine","/teams/509202","920","ASUN",1,2021,NA
"16",NA,"FGCU","/teams/508950","920","ASUN",1,2021,NA
"17",NA,"Jacksonville","/teams/509057","920","ASUN",1,2021,NA
"18",NA,"Kennesaw St.","/teams/508938","920","ASUN",1,2021,NA
"19",NA,"Liberty","/teams/509067","920","ASUN",1,2021,NA
"20",NA,"Lipscomb","/teams/508949","920","ASUN",1,2021,NA
"21",NA,"North Ala.","/teams/508952","920","ASUN",1,2021,NA
"22",NA,"North Florida","/teams/508942","920","ASUN",1,2021,NA
"23",NA,"Stetson","/teams/509186","920","ASUN",1,2021,NA
"24",NA,"Binghamton","/teams/508973","845","America East",1,2021,NA
"25",NA,"Hartford","/teams/509040","845","America East",1,2021,NA
"26",NA,"Maine","/teams/509075","845","America East",1,2021,NA
"27",NA,"NJIT","/teams/509109","845","America East",1,2021,NA
"28",NA,"Stony Brook","/teams/509187","845","America East",1,2021,NA
"29",NA,"UAlbany","/teams/508959","845","America East",1,2021,NA
"30",NA,"UMBC","/teams/509079","845","America East",1,2021,NA
"31",NA,"UMass Lowell","/teams/509073","845","America East",1,2021,NA
"32",NA,"Davidson","/teams/509011","820","Atlantic 10",1,2021,NA
"33",NA,"Dayton","/teams/509012","820","Atlantic 10",1,2021,NA
"34",NA,"Fordham","/teams/509029","820","Atlantic 10",1,2021,NA
"35",NA,"George Mason","/teams/509031","820","Atlantic 10",1,2021,NA
"36",NA,"George Washington","/teams/509032","820","Atlantic 10",1,2021,NA
"37",NA,"La Salle","/teams/509063","820","Atlantic 10",1,2021,NA
"38",NA,"Massachusetts","/teams/509082","820","Atlantic 10",1,2021,NA
"39",NA,"Rhode Island","/teams/509149","820","Atlantic 10",1,2021,NA
"40",NA,"Richmond","/teams/509151","820","Atlantic 10",1,2021,NA
"41",NA,"Saint Joseph's","/teams/509157","820","Atlantic 10",1,2021,NA
"42",NA,"Saint Louis","/teams/509158","820","Atlantic 10",1,2021,NA
"43",NA,"St. Bonaventure","/teams/509155","820","Atlantic 10",1,2021,NA
"44",NA,"VCU","/teams/508909","820","Atlantic 10",1,2021,NA
"45",NA,"Baylor","/teams/508971","25354","Big 12",1,2021,NA
"46",NA,"Kansas","/teams/509060","25354","Big 12",1,2021,NA
"47",NA,"Kansas St.","/teams/509059","25354","Big 12",1,2021,NA
"48",NA,"Oklahoma","/teams/509132","25354","Big 12",1,2021,NA
"49",NA,"Oklahoma St.","/teams/509131","25354","Big 12",1,2021,NA
"50",NA,"TCU","/teams/508892","25354","Big 12",1,2021,NA
"51",NA,"Texas","/teams/508896","25354","Big 12",1,2021,NA
"52",NA,"Texas Tech","/teams/508894","25354","Big 12",1,2021,NA
"53",NA,"West Virginia","/teams/508917","25354","Big 12",1,2021,NA
"54",NA,"Butler","/teams/508981","30184","Big East",1,2021,NA
"55",NA,"Creighton","/teams/509009","30184","Big East",1,2021,NA
"56",NA,"Georgetown","/teams/509033","30184","Big East",1,2021,NA
"57",NA,"Seton Hall","/teams/509168","30184","Big East",1,2021,NA
"58",NA,"St. John's (NY)","/teams/509156","30184","Big East",1,2021,NA
"59",NA,"UConn","/teams/509006","30184","Big East",1,2021,NA
"60",NA,"Villanova","/teams/508908","30184","Big East",1,2021,NA
"61",NA,"Xavier","/teams/508927","30184","Big East",1,2021,NA
"62",NA,"Campbell","/teams/508995","826","Big South",1,2021,NA
"63",NA,"Charleston So.","/teams/508970","826","Big South",1,2021,NA
"64",NA,"Gardner-Webb","/teams/508936","826","Big South",1,2021,NA
"65",NA,"High Point","/teams/508947","826","Big South",1,2021,NA
"66",NA,"Longwood","/teams/509069","826","Big South",1,2021,NA
"67",NA,"Presbyterian","/teams/508939","826","Big South",1,2021,NA
"68",NA,"Radford","/teams/509148","826","Big South",1,2021,NA
"69",NA,"UNC Asheville","/teams/509100","826","Big South",1,2021,NA
"70",NA,"USC Upstate","/teams/508945","826","Big South",1,2021,NA
"71",NA,"Winthrop","/teams/508924","826","Big South",1,2021,NA
"72",NA,"Illinois","/teams/509048","827","Big Ten",1,2021,NA
"73",NA,"Indiana","/teams/509051","827","Big Ten",1,2021,NA
"74",NA,"Iowa","/teams/509054","827","Big Ten",1,2021,NA
"75",NA,"Maryland","/teams/509080","827","Big Ten",1,2021,NA
"76",NA,"Michigan","/teams/509089","827","Big Ten",1,2021,NA
"77",NA,"Michigan St.","/teams/509088","827","Big Ten",1,2021,NA
"78",NA,"Minnesota","/teams/509091","827","Big Ten",1,2021,NA
"79",NA,"Nebraska","/teams/509105","827","Big Ten",1,2021,NA
"80",NA,"Northwestern","/teams/509126","827","Big Ten",1,2021,NA
"81",NA,"Ohio St.","/teams/509129","827","Big Ten",1,2021,NA
"82",NA,"Penn St.","/teams/509139","827","Big Ten",1,2021,NA
"83",NA,"Purdue","/teams/509146","827","Big Ten",1,2021,NA
"84",NA,"Rutgers","/teams/509153","827","Big Ten",1,2021,NA
"85",NA,"CSU Bakersfield","/teams/508983","904","Big West",1,2021,NA
"86",NA,"CSUN","/teams/508987","904","Big West",1,2021,NA
"87",NA,"Cal Poly","/teams/508982","904","Big West",1,2021,NA
"88",NA,"Cal St. Fullerton","/teams/508985","904","Big West",1,2021,NA
"89",NA,"Hawaii","/teams/509042","904","Big West",1,2021,NA
"90",NA,"Long Beach St.","/teams/508986","904","Big West",1,2021,NA
"91",NA,"UC Davis","/teams/508991","904","Big West",1,2021,NA
"92",NA,"UC Irvine","/teams/508992","904","Big West",1,2021,NA
"93",NA,"UC Riverside","/teams/508994","904","Big West",1,2021,NA
"94",NA,"UC San Diego","/teams/509216","904","Big West",1,2021,NA
"95",NA,"UC Santa Barbara","/teams/508989","904","Big West",1,2021,NA
"96",NA,"Col. of Charleston","/teams/508933","837","CAA",1,2021,NA
"97",NA,"Delaware","/teams/509014","837","CAA",1,2021,NA
"98",NA,"Elon","/teams/508935","837","CAA",1,2021,NA
"99",NA,"Hofstra","/teams/509043","837","CAA",1,2021,NA
"100",NA,"James Madison","/teams/509058","837","CAA",1,2021,NA
"101",NA,"Northeastern","/teams/509121","837","CAA",1,2021,NA
"102",NA,"Towson","/teams/508899","837","CAA",1,2021,NA
"103",NA,"UNCW","/teams/509104","837","CAA",1,2021,NA
"104",NA,"William & Mary","/teams/508923","837","CAA",1,2021,NA
"105",NA,"Charlotte","/teams/509102","24312","CUSA",1,2021,NA
"106",NA,"FIU","/teams/509026","24312","CUSA",1,2021,NA
"107",NA,"Fla. Atlantic","/teams/509025","24312","CUSA",1,2021,NA
"108",NA,"Louisiana Tech","/teams/509071","24312","CUSA",1,2021,NA
"109",NA,"Marshall","/teams/509078","24312","CUSA",1,2021,NA
"110",NA,"Middle Tenn.","/teams/509090","24312","CUSA",1,2021,NA
"111",NA,"Old Dominion","/teams/509133","24312","CUSA",1,2021,NA
"112",NA,"Rice","/teams/509150","24312","CUSA",1,2021,NA
"113",NA,"Southern Miss.","/teams/509179","24312","CUSA",1,2021,NA
"114",NA,"UAB","/teams/508958","24312","CUSA",1,2021,NA
"115",NA,"UTSA","/teams/508897","24312","CUSA",1,2021,NA
"116",NA,"Western Ky.","/teams/508920","24312","CUSA",1,2021,NA
"117",NA,"Milwaukee","/teams/508925","881","Horizon",1,2021,NA
"118",NA,"Northern Ky.","/teams/509124","881","Horizon",1,2021,NA
"119",NA,"Oakland","/teams/509128","881","Horizon",1,2021,NA
