"","Elo Rating","school","Rank"
"1",1935.52090840075,"Vanderbilt",1
"2",1920.36925875017,"North Carolina",2
"3",1892.21597259716,"Coastal Carolina",3
"4",1877.93706202292,"Tennessee",4
"5",1861.66650744058,"Northeastern",5
"6",1860.30351207024,"LSU",6
"7",1849.81413646245,"Clemson",7
"8",1848.96522536226,"Ole Miss",8
"9",1848.41456478369,"Arkansas",9
"10",1840.79659013055,"Texas",10
"11",1827.54062690471,"Oregon St.",11
"12",1824.01130324359,"Southern Miss.",12
"13",1822.70287031991,"Florida St.",13
"14",1821.1510816767,"Florida",14
"15",1812.42311631437,"Auburn",15
"16",1805.69785427913,"Georgia",16
"17",1801.83210064622,"Alabama",17
"18",1786.24218010041,"Arizona",18
"19",1785.02950268314,"Oklahoma",19
"20",1773.13109031091,"Texas A&M",20
"21",1771.8117730671,"Oregon",21
"22",1769.26506536289,"Duke",22
"23",1767.48693622062,"Georgia Tech",23
"24",1765.71365941745,"Creighton",24
"25",1765.33143838846,"Western Ky.",25
"26",1763.37265057588,"Kansas",26
"27",1762.92245830592,"Cal Poly",27
"28",1759.91433379967,"Nebraska",28
"29",1757.60454820385,"Mississippi St.",29
"30",1750.43027954465,"TCU",30
"31",1739.10888790703,"UC Irvine",31
"32",1737.11337899503,"ETSU",32
"33",1735.89529550313,"UCLA",33
"34",1722.73756110203,"Oklahoma St.",34
"35",1721.41695531665,"DBU",35
"36",1719.38494097865,"Kentucky",36
"37",1716.39905712419,"NC State",37
"38",1713.0335022897,"Virginia",38
"39",1708.49462976542,"Wake Forest",39
"40",1703.69687387292,"UConn",40
"41",1700.00987789597,"Murray St.",41
"42",1698.52584724889,"UTSA",42
"43",1693.34117565939,"West Virginia",43
"44",1692.57049457975,"East Carolina",44
"45",1685.78741216636,"Notre Dame",45
"46",1683.58115674156,"Jacksonville St.",46
"47",1680.95703323398,"Cincinnati",47
"48",1679.81333431561,"Miami (FL)",48
"49",1678.06213236885,"Louisville",49
"50",1670.76580639081,"UNCW",50
"51",1668.05524697895,"Southern California",51
"52",1662.88745589205,"Pittsburgh",52
"53",1662.46800772652,"Stetson",53
"54",1662.3869983504,"Indiana",54
"55",1657.88162999898,"Rhode Island",55
"56",1656.35330166953,"USC Upstate",56
"57",1656.08004885607,"Miami (OH)",57
"58",1653.81659147955,"FGCU",58
"59",1653.51530102988,"Saint Mary's (CA)",59
"60",1648.70852787637,"Virginia Tech",60
"61",1648.54563989374,"Kansas St.",61
"62",1644.63019350994,"Columbia",62
"63",1642.02939257579,"UC Santa Barbara",63
"64",1639.16597466199,"South Carolina",64
"65",1638.70083904952,"Col. of Charleston",65
"66",1638.24021680097,"Marshall",66
"67",1633.97236176513,"Hawaii",67
"68",1633.48566894136,"Troy",68
"69",1633.48448796863,"Houston",69
"70",1633.08509211434,"Charlotte",70
"71",1632.34465585609,"Tulane",71
"72",1631.0988509021,"Arizona St.",72
"73",1630.39870565884,"Penn St.",73
