school,elo,rank
Georgia Tech,1972.9145003923466,1
Georgia,1971.6059176517288,2
UCLA,1943.7258085266953,3
North Carolina,1901.8610180913765,4
Arkansas,1872.629519043382,5
Kansas,1871.7593458369095,6
Auburn,1867.3368134054988,7
Texas,1849.9598152814294,8
Florida,1849.2498678108032,9
West Virginia,1829.082703968598,10
Texas A&M,1827.5578429044765,11
Mississippi St.,1815.8382904494363,12
Oregon,1811.9016579085303,13
Jacksonville St.,1811.481861531241,14
Southern Miss.,1809.8678310576158,15
Alabama,1796.1445052976876,16
Tennessee,1792.3688509565425,17
Nebraska,1790.97473597754,18
Oregon St.,1790.8987294974993,19
Oklahoma St.,1768.4108488960376,20
Florida St.,1762.5555375729523,21
Miami (FL),1759.3925621951626,22
Wake Forest,1754.418756953903,23
Ole Miss,1751.7092869933256,24
Southern California,1751.5691090740522,25
The Citadel,1737.7221167249897,26
Louisiana,1727.0132404161814,27
Arizona St.,1723.5845526366322,28
Vanderbilt,1722.7181817654775,29
East Carolina,1722.5618277719173,30
Pittsburgh,1719.450866050894,31
Liberty,1716.8542606348901,32
Oklahoma,1716.8276163911887,33
TCU,1710.1500973852594,34
Notre Dame,1709.7842961222952,35
Northeastern,1709.2627743605494,36
Cincinnati,1706.9087357319734,37
Virginia Tech,1705.1417988101566,38
Tarleton St.,1694.0817088581114,39
Cal Poly,1693.829313010153,40
Virginia,1691.8063058273167,41
Troy,1686.0644492469878,42
LSU,1685.6230532546722,43
UTSA,1681.2576877823067,44
UCF,1679.0228124003372,45
Mercer,1675.7630355005404,46
NC State,1673.0260781709487,47
Kentucky,1669.8299022165595,48
Kansas St.,1669.0984003355395,49
Boston College,1665.8412467188425,50
UC Santa Barbara,1665.3057500311695,51
Coastal Carolina,1663.9675708178615,52
St. John's (NY),1663.212323265221,53
Missouri St.,1662.2590576222674,54
Lamar University,1661.632224321464,55
Stanford,1659.668763417017,56
Campbell,1655.2357464369425,57
Clemson,1654.122466053861,58
Samford,1652.897614170431,59
VCU,1643.8698149796944,60
Texas St.,1641.916558458232,61
Iowa,1641.15751220105,62
California,1639.8689599298011,63
Michigan,1633.9675997441925,64
Little Rock,1629.9699386799862,65
Louisville,1628.4967829063248,66
California Baptist,1626.827603931546,67
DBU,1625.4919278092584,68
USC Upstate,1624.6913015829189,69
Duke,1623.2681607126399,70
Baylor,1623.2088852703944,71
Purdue,1622.1007384390225,72
Kent St.,1617.3167519791855,73
NIU,1613.6625871913789,74
South Alabama,1611.1634104565878,75
BYU,1609.1497342355403,76
Southeastern La.,1604.7131106041911,77
Sacramento St.,1603.1064012327417,78
UC San Diego,1602.5186349170306,79
Rice,1600.208617794751,80
Xavier,1597.7984326992844,81
Missouri,1595.6313473472812,82
Ohio St.,1591.4591091174732,83
Gonzaga,1591.1428095824758,84
Creighton,1589.9633329006417,85
Western Caro.,1589.149801687664,86
San Diego St.,1586.3092484473848,87
Miami (OH),1583.9318002722487,88
Michigan St.,1583.1448494876843,89
Yale,1582.9360936436915,90
UC Irvine,1580.1119882239304,91
Washington St.,1579.8640888135997,92
Minnesota,1579.1962785216656,93
Louisiana Tech,1577.7241670372237,94
Rider,1576.845675863982,95
Washington,1575.8944786040695,96
Utah,1574.2476673916447,97
Arizona,1574.012137823015,98
Saint Mary's (CA),1572.565552699916,99
Houston,1570.881644495215,100
Wichita St.,1570.3005757828164,101
Western Ky.,1570.1732593661993,102
South Fla.,1567.5176616642364,103
Texas Tech,1567.3873234793593,104
Southeast Mo. St.,1563.2614051117866,105
High Point,1563.0806055910948,106
Old Dominion,1562.9234502567967,107
Longwood,1562.377532110262,108
Binghamton,1561.0533407275593,109
Charlotte,1560.1426322219265,110
Lipscomb,1559.4913480343675,111
UAB,1559.0582070975306,112
Arkansas St.,1558.112365884914,113
Indiana,1556.8487448949643,114
Kennesaw St.,1555.584490772423,115
UIC,1551.9382756443506,116
SIUE,1551.3869084879777,117
Toledo,1551.2526076122247,118
UConn,1551.1266926975052,119
FGCU,1549.4664895242847,120
Memphis,1549.4655572548995,121
Eastern Ill.,1546.938905162819,122
UC Davis,1546.9122920592788,123
ETSU,1545.282748983033,124
McNeese,1543.333404448407,125
Maryland,1542.7467580940204,126
Illinois,1539.9538471587377,127
Saint Joseph's,1537.6032714942232,128
Jacksonville,1535.4820997412282,129
UNCW,1534.8722926296618,130
Hawaii,1533.452159210291,131
Georgia St.,1532.8121706840263,132
Fla. Atlantic,1531.4356964940748,133
UTRGV,1530.9678438365406,134
George Mason,1528.7960357256213,135
Rhode Island,1528.5098267109786,136
Utah Tech,1527.441111642127,137
Wofford,1526.1274919050993,138
App State,1525.0237794066,139
New Orleans,1519.697241668835,140
Tulane,1517.64386781486,141
San Jose St.,1516.5593253564375,142
N.C. Central,1514.3830740034236,143
Air Force,1514.2728871398974,144
South Carolina,1510.6238080120747,145
Sam Houston,1510.3610022668986,146
Hofstra,1510.0456375673716,147
Richmond,1509.9333026641502,148
Col. of Charleston,1508.4130479391238,149
Milwaukee,1507.64149283321,150
Murray St.,1507.24312734265,151
San Francisco,1507.0478167486106,152
Cal St. Fullerton,1505.3439030111153,153
North Ala.,1504.3685131118407,154
Alabama St.,1504.310746819157,155
Rutgers,1500.4442111003252,156
