Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Arkansas-Pine Bluff,Lindenwood,1,6,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Lindenwood,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
02/13/2026,Arkansas-Pine Bluff,Lindenwood,8,6,0,0,W,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Lindenwood,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
02/14/2026,Arkansas-Pine Bluff,Lindenwood,0,3,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Lindenwood,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
02/15/2026,Arkansas-Pine Bluff,Lindenwood,8,6,0,0,W,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Lindenwood,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
02/20/2026,Arkansas-Pine Bluff,Stephen F. Austin,6,3,0,0,W,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Stephen-F-Austin,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
02/21/2026,Arkansas-Pine Bluff,Stephen F. Austin,4,3,0,0,W,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Stephen-F-Austin,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
02/21/2026,Arkansas-Pine Bluff,Stephen F. Austin,1,2,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Stephen-F-Austin,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
02/22/2026,Arkansas-Pine Bluff,Stephen F. Austin,5,11,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Stephen-F-Austin,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
02/24/2026,Missouri,Arkansas-Pine Bluff,15,1,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Missouri,1,7,"Columbia, MO / Taylor Stadium",2026,WN2026
02/25/2026,Missouri,Arkansas-Pine Bluff,5,1,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Missouri,1,9,"Columbia, MO / Taylor Stadium",2026,WN2026
02/27/2026,Arkansas State,Arkansas-Pine Bluff,11,3,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Arkansas-State,1,9,"Jonesboro, AR / Tomlinson Stadium-Kell Field",2026,WN2026
02/28/2026,Arkansas State,Arkansas-Pine Bluff,10,0,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Arkansas-State,1,7,"Jonesboro, AR / Tomlinson Stadium-Kell Field",2026,WN2026
03/01/2026,Arkansas State,Arkansas-Pine Bluff,7,2,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Arkansas-State,1,9,"Jonesboro, AR / Tomlinson Stadium-Kell Field",2026,WN2026
03/03/2026,Arkansas-Pine Bluff,Little Rock,10,8,0,0,W,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Little-Rock,0,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
03/06/2026,Houston,Arkansas-Pine Bluff,13,9,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Houston,1,9,"Houston, TX / Schroeder Park",2026,WN2026
03/07/2026,Houston,Arkansas-Pine Bluff,6,5,0,0,L,Arkansas-Pine Bluff,Arkansas-Pine-Bluff,Houston,1,9,"Houston, TX / Schroeder Park",2026,WN2026
