Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Western Kentucky,BYU,2,3,0,0,W,BYU,BYU,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/13/2026,Western Kentucky,BYU,5,2,0,0,L,BYU,BYU,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/14/2026,Western Kentucky,BYU,4,2,0,0,L,BYU,BYU,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/16/2026,Western Kentucky,BYU,8,12,0,0,W,BYU,BYU,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/20/2026,San Diego State,BYU,3,0,0,0,L,BYU,BYU,San-Diego-State,1,9,"San Diego, CA / Tony Gwynn Stadium",2026,WN2026
02/21/2026,UC San Diego,BYU,7,9,0,0,W,BYU,BYU,UC-San-Diego,1,9,"La Jolla, CA / Triton Park",2026,WN2026
02/23/2026,UC Riverside,BYU,3,11,0,0,W,BYU,BYU,UC-Riverside,1,9,"Riverside, CA / Riverside Sports Complex",2026,WN2026
02/25/2026,Long Beach State,BYU,10,7,0,0,L,BYU,BYU,Long-Beach-State,1,9,"Long Beach, CA / Blair Field",2026,WN2026
02/26/2026,Washington State,BYU,4,6,0,1,W,BYU,BYU,Washington-State,0,9,"Long Beach, CA",2026,WN2026
02/27/2026,Washington State,BYU,4,5,0,1,W,BYU,BYU,Washington-State,0,9,"Long Beach, CA",2026,WN2026
02/28/2026,Long Beach State,BYU,7,6,0,0,L,BYU,BYU,Long-Beach-State,1,9,"Long Beach, CA / Blair Field",2026,WN2026
03/05/2026,BYU,California Baptist,11,13,0,0,L,BYU,BYU,California-Baptist,0,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/06/2026,BYU,California Baptist,7,14,0,0,L,BYU,BYU,California-Baptist,0,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/07/2026,BYU,California Baptist,7,11,0,0,L,BYU,BYU,California-Baptist,0,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/10/2026,BYU,Utah Tech,19,2,0,0,W,BYU,BYU,Utah-Tech,0,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/12/2026,BYU,Cincinnati,5,2,0,0,W,BYU,BYU,Cincinnati,0,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/13/2026,BYU,Cincinnati,7,9,0,0,L,BYU,BYU,Cincinnati,0,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/14/2026,BYU,Cincinnati,10,9,0,0,W,BYU,BYU,Cincinnati,0,9,"Provo, UT / Larry H. Miller Field",2026,WN2026
03/17/2026,Utah Tech,BYU,5,18,0,0,W,BYU,BYU,Utah-Tech,1,9,"Saint George, UT / Bruce Hurst Field",2026,WN2026
03/19/2026,West Virginia,BYU,7,4,0,0,L,BYU,BYU,West-Virginia,1,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/20/2026,West Virginia,BYU,12,10,0,0,L,BYU,BYU,West-Virginia,1,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/21/2026,West Virginia,BYU,11,1,0,0,L,BYU,BYU,West-Virginia,1,8,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/24/2026,Utah,BYU,5,6,0,0,W,BYU,BYU,Utah,1,9,"Salt Lake City, UT / America First Ballpark",2026,WN2026
03/26/2026,BYU,Oklahoma State,6,5,0,0,W,BYU,BYU,Oklahoma-State,0,10,"Provo, UT / Larry H. Miller Field",2026,WN2026
