Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Samford,Belmont,7,3,0,0,L,Belmont,Belmont,Samford,1,9,"Homewood, AL / Joe Lee Griffin Stadium",2026,WN2026
02/13/2026,Samford,Belmont,4,14,0,0,W,Belmont,Belmont,Samford,1,7,"Homewood, AL / Joe Lee Griffin Stadium",2026,WN2026
02/14/2026,Samford,Belmont,10,1,0,0,L,Belmont,Belmont,Samford,1,9,"Homewood, AL / Joe Lee Griffin Stadium",2026,WN2026
02/17/2026,Belmont,Bellarmine,4,11,0,0,L,Belmont,Belmont,Bellarmine,0,9,"Nashville, TN / E. S. Rose Park",2026,WN2026
02/20/2026,Belmont,Central Michigan,3,9,0,0,L,Belmont,Belmont,Central-Michigan,0,8,"Nashville, TN / E. S. Rose Park",2026,WN2026
02/20/2026,Belmont,Central Michigan,5,2,0,0,W,Belmont,Belmont,Central-Michigan,0,9,"Nashville, TN / E. S. Rose Park",2026,WN2026
02/21/2026,Belmont,Central Michigan,4,6,0,0,L,Belmont,Belmont,Central-Michigan,0,9,"Nashville, TN / E. S. Rose Park",2026,WN2026
02/24/2026,Lipscomb,Belmont,8,2,0,0,L,Belmont,Belmont,Lipscomb,1,9,"Nashville, TN / Ken Dugan Field",2026,WN2026
02/27/2026,Belmont,Georgia State,1,4,0,0,L,Belmont,Belmont,Georgia-State,0,9,"Nashville, TN / E. S. Rose Park",2026,WN2026
02/28/2026,Belmont,Georgia State,8,7,0,0,W,Belmont,Belmont,Georgia-State,0,7,"Nashville, TN / E. S. Rose Park",2026,WN2026
02/28/2026,Belmont,Georgia State,16,3,0,0,W,Belmont,Belmont,Georgia-State,0,7,"Nashville, TN / E. S. Rose Park",2026,WN2026
03/01/2026,Belmont,Georgia State,2,4,0,0,L,Belmont,Belmont,Georgia-State,0,9,"Nashville, TN / E. S. Rose Park",2026,WN2026
