Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/20/2026,Miami (OH),Brown,11,8,0,1,L,Brown,Brown,Miami-OH,0,9,"Port Charlotte, FL. / Centennial Park",2026,WN2026
02/21/2026,Illinois State,Brown,9,7,0,1,L,Brown,Brown,Illinois-State,0,9,"Port Charlotte, FL. / Centennial Park",2026,WN2026
02/21/2026,Indiana State,Brown,12,16,0,1,W,Brown,Brown,Indiana-State,0,9,"Port Charlotte, FL. / Centennial Park",2026,WN2026
02/28/2026,Charleston Southern,Brown,13,8,0,0,L,Brown,Brown,Charleston-Southern,1,9,"North Charleston, SC / Buccaneer Ballpark",2026,WN2026
02/28/2026,Charleston Southern,Brown,11,1,0,0,L,Brown,Brown,Charleston-Southern,1,8,"North Charleston, SC / Buccaneer Ballpark",2026,WN2026
03/01/2026,Charleston Southern,Brown,10,4,0,0,L,Brown,Brown,Charleston-Southern,1,9,"North Charleston, SC / Buccaneer Ballpark",2026,WN2026
03/07/2026,Brown,Rhode Island,3,2,0,0,W,Brown,Brown,Rhode-Island,0,9,"Providence, RI / Murray Stadium",2026,WN2026
03/07/2026,Brown,Rhode Island,7,5,0,0,W,Brown,Brown,Rhode-Island,0,7,"Providence, RI / Murray Stadium",2026,WN2026
03/08/2026,Brown,Rhode Island,9,19,0,0,L,Brown,Brown,Rhode-Island,0,7,"Providence, RI / Murray Stadium",2026,WN2026
03/10/2026,Brown,Quinnipiac,4,1,0,0,W,Brown,Brown,Quinnipiac,0,9,"Providence, RI / Murray Stadium",2026,WN2026
03/13/2026,Seton Hall,Brown,5,2,0,0,L,Brown,Brown,Seton-Hall,1,9,"South Orange, NJ / Owen T. Carroll Field",2026,WN2026
03/14/2026,Seton Hall,Brown,6,9,0,0,W,Brown,Brown,Seton-Hall,1,9,"South Orange, NJ / Owen T. Carroll Field",2026,WN2026
