Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Cal State Fullerton,California Baptist,3,1,0,0,W,Cal State Fullerton,Cal-State-Fullerton,California-Baptist,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
02/14/2026,California Baptist,Cal State Fullerton,5,4,0,0,L,Cal State Fullerton,Cal-State-Fullerton,California-Baptist,1,17,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/14/2026,California Baptist,Cal State Fullerton,7,6,0,0,L,Cal State Fullerton,Cal-State-Fullerton,California-Baptist,1,7,"Riverside, CA / James W. Totman Stadium",2026,WN2026
02/15/2026,Cal State Fullerton,California Baptist,0,7,0,0,L,Cal State Fullerton,Cal-State-Fullerton,California-Baptist,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
02/20/2026,Stanford,Cal State Fullerton,2,4,0,0,W,Cal State Fullerton,Cal-State-Fullerton,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
02/21/2026,Stanford,Cal State Fullerton,4,3,0,0,L,Cal State Fullerton,Cal-State-Fullerton,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
02/21/2026,Stanford,Cal State Fullerton,3,4,0,0,W,Cal State Fullerton,Cal-State-Fullerton,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
02/22/2026,Stanford,Cal State Fullerton,3,2,0,0,L,Cal State Fullerton,Cal-State-Fullerton,Stanford,1,9,"Stanford, CA / Klein Field at Sunken Diamond",2026,WN2026
02/27/2026,Cal State Fullerton,Xavier,0,3,0,0,L,Cal State Fullerton,Cal-State-Fullerton,Xavier,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
02/28/2026,Cal State Fullerton,Xavier,2,3,0,0,L,Cal State Fullerton,Cal-State-Fullerton,Xavier,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/01/2026,Cal State Fullerton,Xavier,16,7,0,0,W,Cal State Fullerton,Cal-State-Fullerton,Xavier,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/03/2026,UCLA,Cal State Fullerton,4,3,0,0,L,Cal State Fullerton,Cal-State-Fullerton,UCLA,1,10,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
03/06/2026,Cal State Bakersfield,Cal State Fullerton,3,5,0,0,W,Cal State Fullerton,Cal-State-Fullerton,Cal-State-Bakersfield,1,9,"Bakersfield, CA / Hardt Field",2026,WN2026
03/07/2026,Cal State Bakersfield,Cal State Fullerton,9,3,0,0,L,Cal State Fullerton,Cal-State-Fullerton,Cal-State-Bakersfield,1,9,"Bakersfield, CA / Hardt Field",2026,WN2026
03/08/2026,Cal State Bakersfield,Cal State Fullerton,7,13,0,0,W,Cal State Fullerton,Cal-State-Fullerton,Cal-State-Bakersfield,1,9,"Bakersfield, CA / Hardt Field",2026,WN2026
03/10/2026,Cal State Fullerton,San Diego State,3,2,0,0,W,Cal State Fullerton,Cal-State-Fullerton,San-Diego-State,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/13/2026,Cal State Fullerton,UC Irvine,8,3,0,0,W,Cal State Fullerton,Cal-State-Fullerton,UC-Irvine,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/14/2026,Cal State Fullerton,UC Irvine,9,5,0,0,W,Cal State Fullerton,Cal-State-Fullerton,UC-Irvine,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/15/2026,Cal State Fullerton,UC Irvine,8,6,0,0,W,Cal State Fullerton,Cal-State-Fullerton,UC-Irvine,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/17/2026,UNLV,Cal State Fullerton,4,3,0,0,L,Cal State Fullerton,Cal-State-Fullerton,UNLV,1,9,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
03/20/2026,Cal State Fullerton,Cal State Northridge,3,5,0,0,L,Cal State Fullerton,Cal-State-Fullerton,Cal-State-Northridge,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/21/2026,Cal State Fullerton,Cal State Northridge,2,6,0,0,L,Cal State Fullerton,Cal-State-Fullerton,Cal-State-Northridge,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
03/22/2026,Cal State Fullerton,Cal State Northridge,1,4,0,0,L,Cal State Fullerton,Cal-State-Fullerton,Cal-State-Northridge,0,9,"Fullerton, CA / Goodwin Field",2026,WN2026
