Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Charleston,Rutgers,8,3,0,0,W,Charleston,Charleston,Rutgers,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/14/2026,Charleston,Rutgers,2,13,0,0,L,Charleston,Charleston,Rutgers,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/14/2026,Charleston,Rutgers,2,5,0,0,L,Charleston,Charleston,Rutgers,0,7,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/15/2026,Charleston,Rutgers,4,14,0,0,L,Charleston,Charleston,Rutgers,0,8,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/17/2026,Coastal Carolina,Charleston,3,4,0,0,W,Charleston,Charleston,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/20/2026,Charleston,South Alabama,2,16,0,0,L,Charleston,Charleston,South-Alabama,0,7,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/21/2026,Charleston,South Alabama,1,3,0,0,L,Charleston,Charleston,South-Alabama,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/22/2026,Charleston,South Alabama,7,6,0,0,W,Charleston,Charleston,South-Alabama,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/25/2026,East Carolina,Charleston,8,7,0,1,L,Charleston,Charleston,East-Carolina,0,9,"Fayetteville, NC / Segra Stadium",2026,WN2026
02/27/2026,James Madison,Charleston,7,8,0,1,W,Charleston,Charleston,James-Madison,0,10,"Greenville, SC / Fluor Field",2026,WN2026
02/28/2026,Illinois,Charleston,5,0,0,1,L,Charleston,Charleston,Illinois,0,9,"Greenville, SC / Fluor Field",2026,WN2026
03/03/2026,Charleston,Presbyterian College,6,3,0,0,W,Charleston,Charleston,Presbyterian-College,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/06/2026,Charleston,Hofstra,5,1,0,0,W,Charleston,Charleston,Hofstra,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/07/2026,Charleston,Hofstra,3,8,0,0,L,Charleston,Charleston,Hofstra,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/08/2026,Charleston,Hofstra,5,4,0,0,W,Charleston,Charleston,Hofstra,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/11/2026,Wofford,Charleston,13,9,0,0,L,Charleston,Charleston,Wofford,1,9,"Spartanburg, SC / Russell C. King Field",2026,WN2026
03/13/2026,Charleston,Stony Brook,1,3,0,0,L,Charleston,Charleston,Stony-Brook,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/14/2026,Charleston,Stony Brook,5,4,0,0,W,Charleston,Charleston,Stony-Brook,0,10,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/15/2026,Charleston,Stony Brook,6,2,0,0,W,Charleston,Charleston,Stony-Brook,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/17/2026,Charleston,Clemson,1,3,0,0,L,Charleston,Charleston,Clemson,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/20/2026,Charleston,UNCW,1,2,0,0,L,Charleston,Charleston,UNCW,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/21/2026,Charleston,UNCW,1,8,0,0,L,Charleston,Charleston,UNCW,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/22/2026,Charleston,UNCW,6,3,0,0,W,Charleston,Charleston,UNCW,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/25/2026,Charleston,Georgia Southern,2,5,0,0,L,Charleston,Charleston,Georgia-Southern,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/27/2026,Campbell,Charleston,12,10,0,0,L,Charleston,Charleston,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/28/2026,Campbell,Charleston,6,3,0,0,L,Charleston,Charleston,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/29/2026,Campbell,Charleston,3,2,0,0,L,Charleston,Charleston,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
03/31/2026,Winthrop,Charleston,5,15,0,0,W,Charleston,Charleston,Winthrop,1,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
04/02/2026,Charleston,High Point,0,2,0,0,L,Charleston,Charleston,High-Point,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/03/2026,Charleston,High Point,0,14,0,0,L,Charleston,Charleston,High-Point,0,7,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/04/2026,Charleston,High Point,6,5,0,0,W,Charleston,Charleston,High-Point,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/07/2026,South Carolina,Charleston,4,6,0,0,W,Charleston,Charleston,South-Carolina,1,9,"Columbia, SC / Founders Park",2026,WN2026
04/10/2026,Charleston,North Carolina A&T,6,5,0,0,W,Charleston,Charleston,North-Carolina-AT,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/11/2026,Charleston,North Carolina A&T,6,4,0,0,W,Charleston,Charleston,North-Carolina-AT,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
04/12/2026,Charleston,North Carolina A&T,10,5,0,0,W,Charleston,Charleston,North-Carolina-AT,0,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
