Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Clemson,Army,3,2,0,0,W,Clemson,Clemson,Army,0,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/14/2026,Clemson,Army,10,0,0,0,W,Clemson,Clemson,Army,0,8,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/14/2026,Clemson,Army,7,0,0,0,W,Clemson,Clemson,Army,0,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/17/2026,Clemson,Charlotte,11,1,0,0,W,Clemson,Clemson,Charlotte,0,7,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/20/2026,Clemson,Bryant,9,3,0,0,W,Clemson,Clemson,Bryant,0,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/21/2026,Clemson,Bryant,5,3,0,0,W,Clemson,Clemson,Bryant,0,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/22/2026,Clemson,Bryant,7,5,0,0,W,Clemson,Clemson,Bryant,0,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/24/2026,Clemson,Presbyterian College,6,2,0,0,W,Clemson,Clemson,Presbyterian-College,0,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/27/2026,South Carolina,Clemson,7,0,0,0,L,Clemson,Clemson,South-Carolina,1,9,"Columbia, SC / Founders Park",2026,WN2026
02/28/2026,South Carolina,Clemson,1,4,0,1,W,Clemson,Clemson,South-Carolina,0,9,"Columbia, SC / Segra Park",2026,WN2026
03/01/2026,Clemson,South Carolina,7,2,0,0,W,Clemson,Clemson,South-Carolina,0,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
03/04/2026,Michigan State,Clemson,1,12,0,1,W,Clemson,Clemson,Michigan-State,0,7,"Greenville, SC / Fluor Field",2026,WN2026
03/06/2026,Clemson,La Salle,14,1,0,0,W,Clemson,Clemson,La-Salle,0,7,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
03/07/2026,Clemson,La Salle,6,4,0,0,W,Clemson,Clemson,La-Salle,0,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
03/07/2026,Clemson,La Salle,16,4,0,0,W,Clemson,Clemson,La-Salle,0,7,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
03/08/2026,Clemson,La Salle,16,3,0,0,W,Clemson,Clemson,La-Salle,0,7,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
