Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/21/2026,Gardner-Webb,Dartmouth,8,7,0,0,L,Dartmouth,Dartmouth,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
02/21/2026,Fairleigh Dickinson,Dartmouth,6,7,0,1,W,Dartmouth,Dartmouth,Fairleigh-Dickinson,0,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
02/22/2026,Gardner-Webb,Dartmouth,6,2,0,0,L,Dartmouth,Dartmouth,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
02/27/2026,LSU,Dartmouth,5,2,0,0,L,Dartmouth,Dartmouth,LSU,1,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
02/28/2026,Grambling State,Dartmouth,11,12,0,1,W,Dartmouth,Dartmouth,Grambling-State,0,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
03/01/2026,LSU,Dartmouth,3,0,0,0,L,Dartmouth,Dartmouth,LSU,1,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
03/06/2026,Navy,Dartmouth,1,3,0,0,W,Dartmouth,Dartmouth,Navy,1,9,"Annapolis, MD / Terwilliger Brothers Field at Max Bishop Stadium",2026,WN2026
03/07/2026,Navy,Dartmouth,8,7,0,0,L,Dartmouth,Dartmouth,Navy,1,7,"Annapolis, MD / Terwilliger Brothers Field at Max Bishop Stadium",2026,WN2026
03/07/2026,Navy,Dartmouth,11,3,0,0,L,Dartmouth,Dartmouth,Navy,1,9,"Annapolis, MD / Terwilliger Brothers Field at Max Bishop Stadium",2026,WN2026
03/08/2026,Navy,Dartmouth,4,3,0,0,L,Dartmouth,Dartmouth,Navy,1,10,"Annapolis, MD / Terwilliger Brothers Field at Max Bishop Stadium",2026,WN2026
03/18/2026,Bryant,Dartmouth,10,6,0,0,L,Dartmouth,Dartmouth,Bryant,1,9,"Smithfield, RI / Conaty Park",2026,WN2026
03/21/2026,Penn,Dartmouth,8,3,0,0,L,Dartmouth,Dartmouth,Penn,1,9,"Philadelphia, PA / Meiklejohn Stadium",2026,WN2026
03/21/2026,Penn,Dartmouth,4,1,0,0,L,Dartmouth,Dartmouth,Penn,1,9,"Philadelphia, PA / Meiklejohn Stadium",2026,WN2026
