Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Alabama State,Eastern Kentucky,6,3,0,0,L,Eastern Kentucky,Eastern-Kentucky,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
02/14/2026,Alabama State,Eastern Kentucky,13,0,0,0,L,Eastern Kentucky,Eastern-Kentucky,Alabama-State,1,7,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
02/14/2026,Alabama State,Eastern Kentucky,7,14,0,0,W,Eastern Kentucky,Eastern-Kentucky,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
02/17/2026,Eastern Kentucky,Northern Kentucky,16,11,0,0,W,Eastern Kentucky,Eastern-Kentucky,Northern-Kentucky,0,9,"Richmond, KY / Turkey Hughes Field",2026,WN2026
02/20/2026,Dayton,Eastern Kentucky,17,7,0,0,L,Eastern Kentucky,Eastern-Kentucky,Dayton,1,8,"Dayton, OH / Woerner Field",2026,WN2026
02/21/2026,Dayton,Eastern Kentucky,12,9,0,0,L,Eastern Kentucky,Eastern-Kentucky,Dayton,1,9,"Dayton, OH / Woerner Field",2026,WN2026
02/21/2026,Dayton,Eastern Kentucky,3,1,0,0,L,Eastern Kentucky,Eastern-Kentucky,Dayton,1,9,"Dayton, OH / Woerner Field",2026,WN2026
02/25/2026,Louisville,Eastern Kentucky,6,5,0,0,L,Eastern Kentucky,Eastern-Kentucky,Louisville,1,9,"Louisville, KY / Jim Patterson Stadium",2026,WN2026
02/27/2026,Tulane,Eastern Kentucky,5,4,0,0,L,Eastern Kentucky,Eastern-Kentucky,Tulane,1,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
02/28/2026,Tulane,Eastern Kentucky,3,6,0,0,W,Eastern Kentucky,Eastern-Kentucky,Tulane,1,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/01/2026,Tulane,Eastern Kentucky,11,3,0,0,L,Eastern Kentucky,Eastern-Kentucky,Tulane,1,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
03/03/2026,Eastern Kentucky,Kentucky,0,10,0,0,L,Eastern Kentucky,Eastern-Kentucky,Kentucky,0,7,"Richmond, KY / Turkey Hughes Field",2026,WN2026
03/04/2026,Kentucky,Eastern Kentucky,8,4,0,0,L,Eastern Kentucky,Eastern-Kentucky,Kentucky,1,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
03/06/2026,Eastern Kentucky,Illinois State,2,7,0,0,L,Eastern Kentucky,Eastern-Kentucky,Illinois-State,0,9,"Richmond, KY / Turkey Hughes Field",2026,WN2026
03/07/2026,Eastern Kentucky,Illinois State,8,4,0,0,W,Eastern Kentucky,Eastern-Kentucky,Illinois-State,0,9,"Richmond, KY / Turkey Hughes Field",2026,WN2026
03/08/2026,Eastern Kentucky,Illinois State,10,5,0,0,W,Eastern Kentucky,Eastern-Kentucky,Illinois-State,0,8,"Richmond, KY / Turkey Hughes Field",2026,WN2026
03/10/2026,Middle Tennessee,Eastern Kentucky,17,0,0,0,L,Eastern Kentucky,Eastern-Kentucky,Middle-Tennessee,1,7,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
03/13/2026,Eastern Kentucky,Central Arkansas,12,16,0,0,L,Eastern Kentucky,Eastern-Kentucky,Central-Arkansas,0,9,"Richmond, KY / Turkey Hughes Field",2026,WN2026
03/14/2026,Eastern Kentucky,Central Arkansas,16,3,0,0,W,Eastern Kentucky,Eastern-Kentucky,Central-Arkansas,0,7,"Richmond, KY / Turkey Hughes Field",2026,WN2026
