Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Florida A&M,Eastern Illinois,4,13,0,0,L,Florida A&M,Florida-AM,Eastern-Illinois,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
02/14/2026,Florida A&M,Eastern Illinois,7,6,0,0,W,Florida A&M,Florida-AM,Eastern-Illinois,0,7,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
02/14/2026,Florida A&M,Eastern Illinois,0,2,0,0,L,Florida A&M,Florida-AM,Eastern-Illinois,0,7,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
02/18/2026,Florida A&M,North Florida,4,15,0,0,L,Florida A&M,Florida-AM,North-Florida,0,8,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
02/20/2026,Alabama State,Florida A&M,11,4,0,1,L,Florida A&M,Florida-AM,Alabama-State,0,9,Vero Beach. FL / Jackie Robinson Training Complex,2026,WN2026
02/21/2026,Bethune-Cookman,Florida A&M,6,2,0,1,L,Florida A&M,Florida-AM,Bethune-Cookman,0,9,"Vero Beach, FL / Jackie Robinson Training Complex",2026,WN2026
02/24/2026,Mercer,Florida A&M,7,0,0,0,L,Florida A&M,Florida-AM,Mercer,1,9,"Macon, GA / Claude Smith Field",2026,WN2026
02/25/2026,Mercer,Florida A&M,5,1,0,0,L,Florida A&M,Florida-AM,Mercer,1,9,"Macon, GA / Claude Smith Field",2026,WN2026
02/28/2026,Florida A&M,Central Connecticut,4,0,0,0,W,Florida A&M,Florida-AM,Central-Connecticut,0,7,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
02/28/2026,Florida A&M,Central Connecticut,1,4,0,0,L,Florida A&M,Florida-AM,Central-Connecticut,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/01/2026,Florida A&M,Central Connecticut,9,4,0,0,W,Florida A&M,Florida-AM,Central-Connecticut,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/04/2026,Florida,Florida A&M,7,5,0,0,L,Florida A&M,Florida-AM,Florida,1,9,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
03/06/2026,Florida A&M,Villanova,4,1,0,0,W,Florida A&M,Florida-AM,Villanova,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/07/2026,Florida A&M,Villanova,6,5,0,0,W,Florida A&M,Florida-AM,Villanova,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/08/2026,Florida A&M,Villanova,1,4,0,0,L,Florida A&M,Florida-AM,Villanova,0,8,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/13/2026,Florida A&M,Southern,12,7,0,0,W,Florida A&M,Florida-AM,Southern,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/14/2026,Florida A&M,Southern,5,9,0,0,L,Florida A&M,Florida-AM,Southern,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/15/2026,Florida A&M,Southern,10,6,0,0,W,Florida A&M,Florida-AM,Southern,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/17/2026,Florida A&M,Mercer,2,9,0,0,L,Florida A&M,Florida-AM,Mercer,0,9,"Tallahassee, FL / Moore-Kittles Field",2026,WN2026
03/20/2026,Arkansas-Pine Bluff,Florida A&M,11,4,0,0,L,Florida A&M,Florida-AM,Arkansas-Pine-Bluff,1,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
03/21/2026,Arkansas-Pine Bluff,Florida A&M,5,7,0,0,W,Florida A&M,Florida-AM,Arkansas-Pine-Bluff,1,9,"Pine Bluff, AR / Torii Hunter Baseball Complex",2026,WN2026
