Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Georgia State,New Orleans,10,6,0,0,W,Georgia State,Georgia-State,New-Orleans,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/14/2026,Georgia State,New Orleans,12,4,0,0,W,Georgia State,Georgia-State,New-Orleans,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/14/2026,Georgia State,New Orleans,5,4,0,0,W,Georgia State,Georgia-State,New-Orleans,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/17/2026,Jacksonville State,Georgia State,3,2,0,0,L,Georgia State,Georgia-State,Jacksonville-State,1,11,"Jacksonville, AL / Rudy Abbott Field",2026,WN2026
02/18/2026,Mercer,Georgia State,8,0,0,0,L,Georgia State,Georgia-State,Mercer,1,9,"Macon, GA / Claude Smith Field",2026,WN2026
02/20/2026,Georgia State,Bellarmine,14,1,0,0,W,Georgia State,Georgia-State,Bellarmine,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/21/2026,Georgia State,Bellarmine,9,3,0,0,W,Georgia State,Georgia-State,Bellarmine,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/22/2026,Georgia State,Bellarmine,18,8,0,0,W,Georgia State,Georgia-State,Bellarmine,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
02/24/2026,Georgia Tech,Georgia State,4,9,0,0,W,Georgia State,Georgia-State,Georgia-Tech,1,9,"Atlanta, GA / Russ Chandler Stadium",2026,WN2026
02/27/2026,Belmont,Georgia State,1,4,0,0,W,Georgia State,Georgia-State,Belmont,1,9,"Nashville, TN / E. S. Rose Park",2026,WN2026
02/28/2026,Belmont,Georgia State,8,7,0,0,L,Georgia State,Georgia-State,Belmont,1,7,"Nashville, TN / E. S. Rose Park",2026,WN2026
02/28/2026,Belmont,Georgia State,16,3,0,0,L,Georgia State,Georgia-State,Belmont,1,7,"Nashville, TN / E. S. Rose Park",2026,WN2026
03/01/2026,Belmont,Georgia State,2,4,0,0,W,Georgia State,Georgia-State,Belmont,1,9,"Nashville, TN / E. S. Rose Park",2026,WN2026
03/03/2026,Georgia State,Georgia Tech,1,4,0,0,L,Georgia State,Georgia-State,Georgia-Tech,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/06/2026,Georgia State,Charleston Southern,7,15,0,0,L,Georgia State,Georgia-State,Charleston-Southern,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/07/2026,Georgia State,Charleston Southern,5,2,0,0,W,Georgia State,Georgia-State,Charleston-Southern,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/07/2026,Georgia State,Charleston Southern,1,10,0,0,L,Georgia State,Georgia-State,Charleston-Southern,0,8,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/10/2026,Georgia State,Mercer,6,16,0,0,L,Georgia State,Georgia-State,Mercer,0,7,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/13/2026,Marshall,Georgia State,5,2,0,0,L,Georgia State,Georgia-State,Marshall,1,9,"Huntington, WV / Jack Cook Field",2026,WN2026
03/14/2026,Marshall,Georgia State,4,2,0,0,L,Georgia State,Georgia-State,Marshall,1,9,"Huntington, WV / Jack Cook Field",2026,WN2026
03/15/2026,Marshall,Georgia State,13,7,0,0,L,Georgia State,Georgia-State,Marshall,1,9,"Huntington, WV / Jack Cook Field",2026,WN2026
03/17/2026,West Georgia,Georgia State,2,8,0,0,W,Georgia State,Georgia-State,West-Georgia,1,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/20/2026,Georgia State,Arkansas State,5,2,0,0,W,Georgia State,Georgia-State,Arkansas-State,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/21/2026,Georgia State,Arkansas State,5,13,0,0,L,Georgia State,Georgia-State,Arkansas-State,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/22/2026,Georgia State,Arkansas State,9,5,0,0,W,Georgia State,Georgia-State,Arkansas-State,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/24/2026,Georgia State,Alabama State,4,7,0,0,L,Georgia State,Georgia-State,Alabama-State,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/27/2026,Georgia State,Texas State,6,18,0,0,L,Georgia State,Georgia-State,Texas-State,0,7,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/28/2026,Georgia State,Texas State,0,1,0,0,L,Georgia State,Georgia-State,Texas-State,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/29/2026,Georgia State,Texas State,3,12,0,0,L,Georgia State,Georgia-State,Texas-State,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
03/31/2026,Georgia,Georgia State,14,9,0,0,L,Georgia State,Georgia-State,Georgia,1,9,"Athens, GA / Foley Field",2026,WN2026
04/02/2026,ULM,Georgia State,7,10,0,0,W,Georgia State,Georgia-State,ULM,1,13,"Monroe, LA / Lou St. Amant Field",2026,WN2026
04/03/2026,ULM,Georgia State,10,9,0,0,L,Georgia State,Georgia-State,ULM,1,12,"Monroe, LA / Lou St. Amant Field",2026,WN2026
04/03/2026,ULM,Georgia State,3,12,0,0,W,Georgia State,Georgia-State,ULM,1,9,"Monroe, LA / Lou St. Amant Field",2026,WN2026
04/07/2026,Georgia State,Wofford,4,7,0,0,L,Georgia State,Georgia-State,Wofford,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
04/10/2026,Georgia State,James Madison,10,5,0,0,W,Georgia State,Georgia-State,James-Madison,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
04/11/2026,Georgia State,James Madison,10,0,0,0,W,Georgia State,Georgia-State,James-Madison,0,8,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
04/12/2026,Georgia State,James Madison,5,4,0,0,W,Georgia State,Georgia-State,James-Madison,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
04/14/2026,Georgia State,West Georgia,5,2,0,0,W,Georgia State,Georgia-State,West-Georgia,0,9,"Carrollton, GA / Cole Field",2026,WN2026
04/17/2026,Coastal Carolina,Georgia State,15,7,0,0,L,Georgia State,Georgia-State,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
04/18/2026,Coastal Carolina,Georgia State,7,2,0,0,L,Georgia State,Georgia-State,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
04/19/2026,Coastal Carolina,Georgia State,5,11,0,0,W,Georgia State,Georgia-State,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
04/24/2026,Georgia State,Old Dominion,2,10,0,0,L,Georgia State,Georgia-State,Old-Dominion,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
04/25/2026,Georgia State,Old Dominion,10,4,0,0,W,Georgia State,Georgia-State,Old-Dominion,0,9,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
04/26/2026,Georgia State,Old Dominion,8,7,0,0,W,Georgia State,Georgia-State,Old-Dominion,0,10,"Decatur, GA / Georgia State Baseball Complex",2026,WN2026
05/02/2026,Louisiana,Georgia State,14,1,0,0,L,Georgia State,Georgia-State,Louisiana,1,7,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
05/02/2026,Louisiana,Georgia State,5,1,0,0,L,Georgia State,Georgia-State,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
05/03/2026,Louisiana,Georgia State,4,3,0,0,L,Georgia State,Georgia-State,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
05/05/2026,Kennesaw State,Georgia State,10,9,0,0,L,Georgia State,Georgia-State,Kennesaw-State,1,11,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
05/08/2026,Georgia Southern,Georgia State,1,5,0,0,W,Georgia State,Georgia-State,Georgia-Southern,1,9,"Statesboro, GA / J. I. Clements Stadium / Box Score",2026,WN2026
05/08/2026,Georgia Southern,Georgia State,5,10,0,0,W,Georgia State,Georgia-State,Georgia-Southern,1,9,"Statesboro, GA / J. I. Clements Stadium / Box Score",2026,WN2026
05/09/2026,Georgia Southern,Georgia State,6,5,0,0,L,Georgia State,Georgia-State,Georgia-Southern,1,9,"Statesboro, GA / J. I. Clements Stadium / Box Score",2026,WN2026
05/14/2026,Georgia State,Appalachian State,2,12,0,0,L,Georgia State,Georgia-State,Appalachian-State,0,9,"Decatur, GA / Georgia State Baseball Complex / Box Score",2026,WN2026
05/15/2026,Georgia State,Appalachian State,4,2,0,0,W,Georgia State,Georgia-State,Appalachian-State,0,9,"Decatur, GA / Georgia State Baseball Complex / Box Score",2026,WN2026
05/16/2026,Georgia State,Appalachian State,3,2,0,0,W,Georgia State,Georgia-State,Appalachian-State,0,9,"Decatur, GA / Georgia State Baseball Complex / Box Score",2026,WN2026
05/19/2026,Old Dominion,Georgia State,1,17,0,1,W,Georgia State,Georgia-State,Old-Dominion,0,7,"Montgomery, AL / Dabos Park / Box Score / Recap",2026,WN2026
05/20/2026,Southern Miss,Georgia State,7,6,0,1,L,Georgia State,Georgia-State,Southern-Miss,0,9,"Montgomery, AL / Dabos Park / Recap",2026,WN2026
05/21/2026,South Alabama,Georgia State,7,4,0,1,L,Georgia State,Georgia-State,South-Alabama,0,9,"Montgomery, AL / Dabos Park",2026,WN2026
