Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Georgia,Wright State,13,1,0,0,W,Georgia,Georgia,Wright-State,0,7,"Athens, GA / Foley Field",2026,WN2026
02/14/2026,Georgia,Wright State,9,0,0,0,W,Georgia,Georgia,Wright-State,0,9,"Athens, GA / Foley Field",2026,WN2026
02/14/2026,Georgia,Wright State,3,6,0,0,L,Georgia,Georgia,Wright-State,0,9,"Athens, GA / Foley Field",2026,WN2026
02/18/2026,Georgia,South Carolina Upstate,12,6,0,0,W,Georgia,Georgia,South-Carolina-Upstate,0,9,"Athens, GA / Foley Field",2026,WN2026
02/20/2026,Georgia,Samford,11,1,0,0,W,Georgia,Georgia,Samford,0,7,"Athens, GA / Foley Field",2026,WN2026
02/21/2026,Georgia,Samford,12,4,0,0,W,Georgia,Georgia,Samford,0,9,"Athens, GA / Foley Field",2026,WN2026
02/22/2026,Georgia,Samford,22,0,0,0,W,Georgia,Georgia,Samford,0,7,"Athens, GA / Foley Field",2026,WN2026
02/25/2026,Georgia,Troy,5,6,0,0,L,Georgia,Georgia,Troy,0,12,"Athens, GA / Foley Field",2026,WN2026
02/27/2026,Georgia,Oakland,16,6,0,0,W,Georgia,Georgia,Oakland,0,7,"Athens, GA / Foley Field",2026,WN2026
02/28/2026,Georgia,Oakland,17,0,0,0,W,Georgia,Georgia,Oakland,0,7,"Athens, GA / Foley Field",2026,WN2026
02/28/2026,Georgia,Oakland,11,0,0,0,W,Georgia,Georgia,Oakland,0,7,"Athens, GA / Foley Field",2026,WN2026
03/01/2026,Georgia,Oakland,4,3,0,0,W,Georgia,Georgia,Oakland,0,9,"Athens, GA / Foley Field",2026,WN2026
03/03/2026,Kennesaw State,Georgia,1,11,0,0,W,Georgia,Georgia,Kennesaw-State,1,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/04/2026,Georgia,Western Carolina,9,10,0,0,L,Georgia,Georgia,Western-Carolina,0,9,"Athens, GA / Foley Field",2026,WN2026
03/06/2026,Georgia,Queens,12,2,0,0,W,Georgia,Georgia,Queens,0,8,"Athens, GA / Foley Field",2026,WN2026
03/07/2026,Georgia,Queens,13,5,0,0,W,Georgia,Georgia,Queens,0,9,"Athens, GA / Foley Field",2026,WN2026
03/07/2026,Georgia,Queens,11,0,0,0,W,Georgia,Georgia,Queens,0,7,"Athens, GA / Foley Field",2026,WN2026
03/08/2026,Georgia,Queens,14,3,0,0,W,Georgia,Georgia,Queens,0,7,"Athens, GA / Foley Field",2026,WN2026
03/13/2026,Georgia,Tennessee,4,7,0,0,L,Georgia,Georgia,Tennessee,0,9,"Athens, GA / Foley Field",2026,WN2026
03/14/2026,Georgia,Tennessee,4,2,0,0,W,Georgia,Georgia,Tennessee,0,9,"Athens, GA / Foley Field",2026,WN2026
03/15/2026,Georgia,Tennessee,8,7,0,0,W,Georgia,Georgia,Tennessee,0,9,"Athens, GA / Foley Field",2026,WN2026
03/17/2026,Georgia,The Citadel,8,5,0,0,W,Georgia,Georgia,The-Citadel,0,9,"Athens, GA / Foley Field",2026,WN2026
03/20/2026,Texas A&M,Georgia,4,9,0,0,W,Georgia,Georgia,Texas-AM,1,9,"College Station, TX / Blue Bell Park",2026,WN2026
03/21/2026,Texas A&M,Georgia,2,8,0,0,W,Georgia,Georgia,Texas-AM,1,9,"College Station, TX / Blue Bell Park",2026,WN2026
