Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Mississippi State,Hofstra,6,5,0,0,L,Hofstra,Hofstra,Mississippi-State,1,9,"Starkville, MS / Dudy Noble Field at Polk-DeMent Stadium",2026,WN2026
02/14/2026,Mississippi State,Hofstra,6,1,0,0,L,Hofstra,Hofstra,Mississippi-State,1,9,"Starkville, MS / Dudy Noble Field at Polk-DeMent Stadium",2026,WN2026
02/14/2026,Mississippi State,Hofstra,7,5,0,0,L,Hofstra,Hofstra,Mississippi-State,1,9,"Starkville, MS / Dudy Noble Field at Polk-DeMent Stadium",2026,WN2026
02/27/2026,Liberty,Hofstra,7,2,0,0,L,Hofstra,Hofstra,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/28/2026,Liberty,Hofstra,13,2,0,0,L,Hofstra,Hofstra,Liberty,1,7,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/01/2026,Liberty,Hofstra,10,7,0,0,L,Hofstra,Hofstra,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
03/06/2026,Charleston,Hofstra,5,1,0,0,L,Hofstra,Hofstra,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/07/2026,Charleston,Hofstra,3,8,0,0,W,Hofstra,Hofstra,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/08/2026,Charleston,Hofstra,5,4,0,0,L,Hofstra,Hofstra,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
03/11/2026,Hofstra,Rider,16,6,0,0,W,Hofstra,Hofstra,Rider,0,8,"Hempstead, NY / University Field",2026,WN2026
