Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Louisiana Tech,Houston Christian,17,5,0,0,L,Houston Christian,Houston-Christian,Louisiana-Tech,1,7,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
02/14/2026,Louisiana Tech,Houston Christian,5,3,0,0,L,Houston Christian,Houston-Christian,Louisiana-Tech,1,9,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
02/14/2026,Louisiana Tech,Houston Christian,6,4,0,0,L,Houston Christian,Houston-Christian,Louisiana-Tech,1,7,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
02/15/2026,Louisiana Tech,Houston Christian,11,0,0,0,L,Houston Christian,Houston-Christian,Louisiana-Tech,1,7,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
02/17/2026,Houston Christian,Sam Houston State,3,4,0,0,L,Houston Christian,Houston-Christian,Sam-Houston-State,0,9,"Houston, TX / Husky Field",2026,WN2026
02/20/2026,Houston Christian,Alcorn State,12,0,0,0,W,Houston Christian,Houston-Christian,Alcorn-State,0,7,"Houston, TX / Husky Field",2026,WN2026
02/21/2026,Houston Christian,Alcorn State,9,2,0,0,W,Houston Christian,Houston-Christian,Alcorn-State,0,9,"Houston, TX / Husky Field",2026,WN2026
02/22/2026,Houston Christian,Alcorn State,10,4,0,0,W,Houston Christian,Houston-Christian,Alcorn-State,0,9,"Houston, TX / Husky Field",2026,WN2026
02/24/2026,Rice,Houston Christian,8,11,0,0,W,Houston Christian,Houston-Christian,Rice,1,11,"Houston, TX / Reckling Park",2026,WN2026
02/27/2026,Houston Christian,Incarnate Word,6,8,0,0,L,Houston Christian,Houston-Christian,Incarnate-Word,0,9,"Houston, TX / Husky Field",2026,WN2026
02/28/2026,Houston Christian,Incarnate Word,17,8,0,0,W,Houston Christian,Houston-Christian,Incarnate-Word,0,9,"Houston, TX / Husky Field",2026,WN2026
03/01/2026,Houston Christian,Incarnate Word,11,10,0,0,W,Houston Christian,Houston-Christian,Incarnate-Word,0,9,"Houston, TX / Husky Field",2026,WN2026
03/03/2026,Texas,Houston Christian,16,3,0,0,L,Houston Christian,Houston-Christian,Texas,1,7,"Austin, TX / UFCU Disch-Falk Field",2026,WN2026
03/06/2026,McNeese,Houston Christian,1,3,0,0,W,Houston Christian,Houston-Christian,McNeese,1,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/06/2026,McNeese,Houston Christian,4,2,0,0,L,Houston Christian,Houston-Christian,McNeese,1,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/07/2026,McNeese,Houston Christian,4,12,0,0,W,Houston Christian,Houston-Christian,McNeese,1,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
03/13/2026,Tarleton State,Houston Christian,6,7,0,0,W,Houston Christian,Houston-Christian,Tarleton-State,1,9,"Stephenville, TX / Cecil Ballow Baseball Complex",2026,WN2026
03/14/2026,Tarleton State,Houston Christian,8,5,0,0,L,Houston Christian,Houston-Christian,Tarleton-State,1,9,"Stephenville, TX / Cecil Ballow Baseball Complex",2026,WN2026
03/15/2026,Tarleton State,Houston Christian,5,9,0,0,W,Houston Christian,Houston-Christian,Tarleton-State,1,9,"Stephenville, TX / Cecil Ballow Baseball Complex",2026,WN2026
03/17/2026,Houston Christian,UTSA,12,11,0,0,W,Houston Christian,Houston-Christian,UTSA,0,9,"Houston, TX / Husky Field",2026,WN2026
03/20/2026,Houston Christian,UTRGV,7,10,0,0,L,Houston Christian,Houston-Christian,UTRGV,0,9,"Houston, TX / Husky Field",2026,WN2026
03/21/2026,Houston Christian,UTRGV,10,17,0,0,L,Houston Christian,Houston-Christian,UTRGV,0,9,"Houston, TX / Husky Field",2026,WN2026
03/22/2026,Houston Christian,UTRGV,5,16,0,0,L,Houston Christian,Houston-Christian,UTRGV,0,8,"Houston, TX / Husky Field",2026,WN2026
03/24/2026,Texas A&M,Houston Christian,5,1,0,0,L,Houston Christian,Houston-Christian,Texas-AM,1,9,"College Station, TX / Blue Bell Park",2026,WN2026
03/25/2026,Houston Christian,Rice,7,10,0,0,L,Houston Christian,Houston-Christian,Rice,0,9,"Houston, TX / Husky Field",2026,WN2026
03/27/2026,Stephen F. Austin,Houston Christian,8,5,0,0,L,Houston Christian,Houston-Christian,Stephen-F-Austin,1,9,"Nacogdoches, TX / Jaycees Field",2026,WN2026
03/28/2026,Stephen F. Austin,Houston Christian,3,4,0,0,W,Houston Christian,Houston-Christian,Stephen-F-Austin,1,9,"Nacogdoches, TX / Jaycees Field",2026,WN2026
03/29/2026,Stephen F. Austin,Houston Christian,5,2,0,0,L,Houston Christian,Houston-Christian,Stephen-F-Austin,1,9,"Nacogdoches, TX / Jaycees Field",2026,WN2026
03/31/2026,Houston Christian,Texas Southern,24,4,0,0,W,Houston Christian,Houston-Christian,Texas-Southern,0,7,"Houston, TX / Husky Field",2026,WN2026
04/02/2026,Houston Christian,Nicholls,3,0,0,0,W,Houston Christian,Houston-Christian,Nicholls,0,9,"Houston, TX / Husky Field",2026,WN2026
04/03/2026,Houston Christian,Nicholls,6,10,0,0,L,Houston Christian,Houston-Christian,Nicholls,0,9,"Houston, TX / Husky Field",2026,WN2026
04/04/2026,Houston Christian,Nicholls,1,11,0,0,L,Houston Christian,Houston-Christian,Nicholls,0,8,"Houston, TX / Husky Field",2026,WN2026
04/10/2026,Northwestern State,Houston Christian,2,5,0,0,W,Houston Christian,Houston-Christian,Northwestern-State,1,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
04/11/2026,Northwestern State,Houston Christian,2,1,0,0,L,Houston Christian,Houston-Christian,Northwestern-State,1,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
04/12/2026,Northwestern State,Houston Christian,5,11,0,0,W,Houston Christian,Houston-Christian,Northwestern-State,1,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
04/14/2026,Texas State,Houston Christian,4,3,0,0,L,Houston Christian,Houston-Christian,Texas-State,1,9,"San Marcos, TX / Bobcat Ballpark",2026,WN2026
04/17/2026,Houston Christian,New Orleans,15,1,0,0,W,Houston Christian,Houston-Christian,New-Orleans,0,7,"Houston, TX / Husky Field",2026,WN2026
04/18/2026,Houston Christian,New Orleans,2,1,0,0,W,Houston Christian,Houston-Christian,New-Orleans,0,9,"Houston, TX / Husky Field",2026,WN2026
04/19/2026,Houston Christian,New Orleans,7,11,0,0,L,Houston Christian,Houston-Christian,New-Orleans,0,9,"Houston, TX / Husky Field",2026,WN2026
04/24/2026,Southeastern Louisiana,Houston Christian,12,2,0,0,L,Houston Christian,Houston-Christian,Southeastern-Louisiana,1,7,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
04/25/2026,Southeastern Louisiana,Houston Christian,12,1,0,0,L,Houston Christian,Houston-Christian,Southeastern-Louisiana,1,7,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
04/26/2026,Southeastern Louisiana,Houston Christian,4,1,0,0,L,Houston Christian,Houston-Christian,Southeastern-Louisiana,1,9,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
04/28/2026,Prairie View A&M,Houston Christian,2,12,0,0,W,Houston Christian,Houston-Christian,Prairie-View-AM,1,9,"Prairie View, TX / Tankersley Field",2026,WN2026
05/02/2026,Texas A&M-Corpus Christi,Houston Christian,4,5,0,0,W,Houston Christian,Houston-Christian,Texas-AM-Corpus-Christi,1,9,"Corpus Christi, TX / Chapman Field",2026,WN2026
