Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Incarnate Word,UIC,8,3,0,0,W,Incarnate Word,Incarnate-Word,UIC,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
02/15/2026,Incarnate Word,UIC,13,4,0,0,W,Incarnate Word,Incarnate-Word,UIC,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
02/15/2026,Incarnate Word,UIC,2,9,0,0,L,Incarnate Word,Incarnate-Word,UIC,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
02/17/2026,Incarnate Word,South Dakota State,11,19,0,0,L,Incarnate Word,Incarnate-Word,South-Dakota-State,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
02/18/2026,Incarnate Word,South Dakota State,19,18,0,0,W,Incarnate Word,Incarnate-Word,South-Dakota-State,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
02/20/2026,Incarnate Word,Prairie View A&M,7,2,0,0,W,Incarnate Word,Incarnate-Word,Prairie-View-AM,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
02/21/2026,Incarnate Word,Prairie View A&M,3,2,0,0,W,Incarnate Word,Incarnate-Word,Prairie-View-AM,0,10,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
02/22/2026,Incarnate Word,Prairie View A&M,8,1,0,0,W,Incarnate Word,Incarnate-Word,Prairie-View-AM,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
02/24/2026,Tarleton State,Incarnate Word,17,5,0,0,L,Incarnate Word,Incarnate-Word,Tarleton-State,1,7,"Stephenville, TX / Cecil Ballow Baseball Complex",2026,WN2026
02/27/2026,Houston Christian,Incarnate Word,6,8,0,0,W,Incarnate Word,Incarnate-Word,Houston-Christian,1,9,"Houston, TX / Husky Field",2026,WN2026
02/28/2026,Houston Christian,Incarnate Word,17,8,0,0,L,Incarnate Word,Incarnate-Word,Houston-Christian,1,9,"Houston, TX / Husky Field",2026,WN2026
03/01/2026,Houston Christian,Incarnate Word,11,10,0,0,L,Incarnate Word,Incarnate-Word,Houston-Christian,1,9,"Houston, TX / Husky Field",2026,WN2026
03/03/2026,Texas A&M,Incarnate Word,11,1,0,0,L,Incarnate Word,Incarnate-Word,Texas-AM,1,7,"College Station, TX / Blue Bell Park",2026,WN2026
03/06/2026,Incarnate Word,Northwestern State,13,9,0,0,W,Incarnate Word,Incarnate-Word,Northwestern-State,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
03/06/2026,Incarnate Word,Northwestern State,8,9,0,0,L,Incarnate Word,Incarnate-Word,Northwestern-State,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
03/07/2026,Incarnate Word,Northwestern State,6,7,0,0,L,Incarnate Word,Incarnate-Word,Northwestern-State,0,12,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
03/11/2026,Incarnate Word,Abilene Christian,13,1,0,0,W,Incarnate Word,Incarnate-Word,Abilene-Christian,0,7,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
03/13/2026,New Orleans,Incarnate Word,6,9,0,0,W,Incarnate Word,Incarnate-Word,New-Orleans,1,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/14/2026,New Orleans,Incarnate Word,1,13,0,0,W,Incarnate Word,Incarnate-Word,New-Orleans,1,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/15/2026,New Orleans,Incarnate Word,11,7,0,0,L,Incarnate Word,Incarnate-Word,New-Orleans,1,9,"New Orleans, LA / Maestri Field",2026,WN2026
03/18/2026,Abilene Christian,Incarnate Word,8,9,0,0,W,Incarnate Word,Incarnate-Word,Abilene-Christian,1,11,"Abilene, TX / Crutcher Scott Field",2026,WN2026
03/20/2026,Incarnate Word,Nicholls,4,8,0,0,L,Incarnate Word,Incarnate-Word,Nicholls,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
03/21/2026,Incarnate Word,Nicholls,5,4,0,0,W,Incarnate Word,Incarnate-Word,Nicholls,0,11,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
03/22/2026,Incarnate Word,Nicholls,2,6,0,0,L,Incarnate Word,Incarnate-Word,Nicholls,0,9,"San Antonio, TX / Daniel Sullivan Field",2026,WN2026
03/24/2026,Baylor,Incarnate Word,16,7,0,0,L,Incarnate Word,Incarnate-Word,Baylor,1,9,"Waco, TX / Baylor Ballpark",2026,WN2026
03/27/2026,Lamar,Incarnate Word,5,2,0,0,L,Incarnate Word,Incarnate-Word,Lamar,1,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
