Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,North Carolina,Indiana,9,4,0,0,L,Indiana,Indiana,North-Carolina,1,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/14/2026,North Carolina,Indiana,12,2,0,0,L,Indiana,Indiana,North-Carolina,1,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/14/2026,North Carolina,Indiana,4,3,0,0,L,Indiana,Indiana,North-Carolina,1,11,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/17/2026,Indiana,Bradley,15,3,0,0,W,Indiana,Indiana,Bradley,0,7,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
02/20/2026,LSU,Indiana,14,7,0,1,L,Indiana,Indiana,LSU,0,9,"Jacksonville, FL / VyStar Ballpark",2026,WN2026
02/21/2026,UCF,Indiana,1,6,0,1,W,Indiana,Indiana,UCF,0,9,"Jacksonville, FL / VyStar Ballpark",2026,WN2026
02/22/2026,Notre Dame,Indiana,9,8,0,1,L,Indiana,Indiana,Notre-Dame,0,11,"Jacksonville, FL / VyStar Ballpark",2026,WN2026
02/25/2026,Xavier,Indiana,4,10,0,0,W,Indiana,Indiana,Xavier,1,9,"Cincinnati, OH / J. Page Hayden Field",2026,WN2026
02/27/2026,Western Kentucky,Indiana,4,1,0,0,L,Indiana,Indiana,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/28/2026,Western Kentucky,Indiana,1,3,0,0,W,Indiana,Indiana,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
02/28/2026,Western Kentucky,Indiana,14,12,0,0,L,Indiana,Indiana,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/01/2026,Western Kentucky,Indiana,3,7,0,0,W,Indiana,Indiana,Western-Kentucky,1,9,"Bowling Green, KY / Nick Denes Field",2026,WN2026
03/06/2026,Indiana,Washington,4,2,0,0,W,Indiana,Indiana,Washington,0,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
03/07/2026,Indiana,Washington,2,9,0,0,L,Indiana,Indiana,Washington,0,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
03/08/2026,Indiana,Washington,4,13,0,0,L,Indiana,Indiana,Washington,0,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
03/10/2026,Indiana,Wright State,12,4,0,0,W,Indiana,Indiana,Wright-State,0,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
03/13/2026,Oregon,Indiana,3,2,0,0,L,Indiana,Indiana,Oregon,1,9,"Eugene, OR / PK Park",2026,WN2026
03/14/2026,Oregon,Indiana,5,1,0,0,L,Indiana,Indiana,Oregon,1,9,"Eugene, OR / PK Park",2026,WN2026
03/15/2026,Oregon,Indiana,7,6,0,0,L,Indiana,Indiana,Oregon,1,9,"Eugene, OR / PK Park",2026,WN2026
03/17/2026,Vanderbilt,Indiana,1,5,0,0,W,Indiana,Indiana,Vanderbilt,1,9,"Nashville, TN / Hawkins Field",2026,WN2026
03/20/2026,Indiana,Minnesota,8,6,0,0,W,Indiana,Indiana,Minnesota,0,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
03/21/2026,Indiana,Minnesota,7,2,0,0,W,Indiana,Indiana,Minnesota,0,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
03/22/2026,Indiana,Minnesota,2,14,0,0,L,Indiana,Indiana,Minnesota,0,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
