Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Kansas State,Iowa,15,6,0,1,L,Iowa,Iowa,Kansas-State,0,9,"Scottsdale, AZ / Goodyear Ballpark",2026,WN2026
02/14/2026,Air Force,Iowa,3,4,0,1,W,Iowa,Iowa,Air-Force,0,9,"Scottsdale, AZ / Salt River Fields",2026,WN2026
02/15/2026,Northeastern,Iowa,13,21,0,1,W,Iowa,Iowa,Northeastern,0,9,"Scottsdale, AZ",2026,WN2026
02/20/2026,FAU,Iowa,2,7,0,0,W,Iowa,Iowa,FAU,1,9,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
02/21/2026,FAU,Iowa,1,6,0,0,W,Iowa,Iowa,FAU,1,9,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
02/22/2026,FAU,Iowa,3,2,0,0,L,Iowa,Iowa,FAU,1,9,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
02/27/2026,Alabama,Iowa,12,2,0,1,L,Iowa,Iowa,Alabama,0,9,"Frisco, TX / Riders Field",2026,WN2026
02/28/2026,Houston,Iowa,4,6,0,1,W,Iowa,Iowa,Houston,0,9,"Frisco, TX / Riders Field",2026,WN2026
03/01/2026,Oregon State,Iowa,4,3,0,1,L,Iowa,Iowa,Oregon-State,0,9,"Frisco, TX / Riders Field",2026,WN2026
03/06/2026,Iowa,Lindenwood,11,6,0,0,W,Iowa,Iowa,Lindenwood,0,9,"Iowa City, IA / Duane Banks Field",2026,WN2026
03/07/2026,Iowa,Lindenwood,3,4,0,0,L,Iowa,Iowa,Lindenwood,0,9,"Iowa City, IA / Duane Banks Field",2026,WN2026
03/08/2026,Iowa,Lindenwood,10,9,0,0,W,Iowa,Iowa,Lindenwood,0,10,"Iowa City, IA / Duane Banks Field",2026,WN2026
03/10/2026,Iowa,Saint Thomas,7,2,0,0,W,Iowa,Iowa,Saint-Thomas,0,9,"Iowa City, IA / Duane Banks Field",2026,WN2026
03/13/2026,Penn State,Iowa,11,6,0,0,L,Iowa,Iowa,Penn-State,1,9,"University Park, PA / Medlar Field at Lubrano Park",2026,WN2026
03/14/2026,Penn State,Iowa,4,13,0,0,W,Iowa,Iowa,Penn-State,1,9,"University Park, PA / Medlar Field at Lubrano Park",2026,WN2026
03/15/2026,Penn State,Iowa,4,12,0,0,W,Iowa,Iowa,Penn-State,1,9,"University Park, PA / Medlar Field at Lubrano Park",2026,WN2026
03/20/2026,Michigan State,Iowa,2,0,0,0,L,Iowa,Iowa,Michigan-State,1,9,"East Lansing, MI / McLane Stadium at Kobs Field",2026,WN2026
03/21/2026,Michigan State,Iowa,15,5,0,0,L,Iowa,Iowa,Michigan-State,1,8,"East Lansing, MI / McLane Stadium at Kobs Field",2026,WN2026
03/21/2026,Michigan State,Iowa,3,8,0,0,W,Iowa,Iowa,Michigan-State,1,9,"East Lansing, MI / McLane Stadium at Kobs Field",2026,WN2026
03/24/2026,Illinois State,Iowa,0,11,0,0,W,Iowa,Iowa,Illinois-State,1,9,"Normal, IL / Duffy Bass Field",2026,WN2026
