Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Southeastern Louisiana,Kent State,3,8,0,0,W,Kent State,Kent-State,Southeastern-Louisiana,1,9,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
02/14/2026,Southeastern Louisiana,Kent State,2,11,0,0,W,Kent State,Kent-State,Southeastern-Louisiana,1,9,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
02/15/2026,Southeastern Louisiana,Kent State,7,14,0,0,W,Kent State,Kent-State,Southeastern-Louisiana,1,9,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
02/16/2026,LSU,Kent State,10,7,0,0,L,Kent State,Kent-State,LSU,1,9,"Baton Rouge, LA / Alex Box Stadium",2026,WN2026
02/20/2026,Tennessee,Kent State,4,3,0,0,L,Kent State,Kent-State,Tennessee,1,9,"Knoxville, TN / Lindsey Nelson Stadium",2026,WN2026
02/21/2026,Tennessee,Kent State,1,2,0,0,W,Kent State,Kent-State,Tennessee,1,9,"Knoxville, TN / Lindsey Nelson Stadium",2026,WN2026
02/22/2026,Tennessee,Kent State,5,9,0,0,W,Kent State,Kent-State,Tennessee,1,9,"Knoxville, TN / Lindsey Nelson Stadium",2026,WN2026
02/25/2026,Wright State,Kent State,8,1,0,0,L,Kent State,Kent-State,Wright-State,1,9,"Dayton, OH / Nischwitz Stadium",2026,WN2026
02/27/2026,Kent State,Rhode Island,8,7,0,0,W,Kent State,Kent-State,Rhode-Island,0,13,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
02/28/2026,Kent State,Rhode Island,7,1,0,0,W,Kent State,Kent-State,Rhode-Island,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
02/28/2026,Kent State,Rhode Island,12,3,0,0,W,Kent State,Kent-State,Rhode-Island,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/04/2026,Kent State,Saint Bonaventure,14,9,0,0,W,Kent State,Kent-State,Saint-Bonaventure,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/06/2026,Kent State,Bowling Green,8,1,0,0,W,Kent State,Kent-State,Bowling-Green,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/07/2026,Kent State,Bowling Green,2,7,0,0,L,Kent State,Kent-State,Bowling-Green,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/08/2026,Kent State,Bowling Green,13,1,0,0,W,Kent State,Kent-State,Bowling-Green,0,7,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/10/2026,Ohio State,Kent State,5,8,0,0,W,Kent State,Kent-State,Ohio-State,1,9,"Columbus, OH / Bill Davis Stadium",2026,WN2026
03/13/2026,Kent State,Central Michigan,11,10,0,0,W,Kent State,Kent-State,Central-Michigan,0,10,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/14/2026,Kent State,Central Michigan,3,2,0,0,W,Kent State,Kent-State,Central-Michigan,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/15/2026,Kent State,Central Michigan,6,4,0,0,W,Kent State,Kent-State,Central-Michigan,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/20/2026,UMass,Kent State,3,14,0,0,W,Kent State,Kent-State,UMass,1,8,"Hartford, CT / Murren Family Field",2026,WN2026
03/21/2026,UMass,Kent State,3,9,0,0,W,Kent State,Kent-State,UMass,1,9,"Hartford, CT / Murren Family Field",2026,WN2026
03/22/2026,UMass,Kent State,8,9,0,0,W,Kent State,Kent-State,UMass,1,9,"Hartford, CT / Murren Family Field",2026,WN2026
03/24/2026,Kent State,Pittsburgh,4,13,0,0,L,Kent State,Kent-State,Pittsburgh,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
03/27/2026,Kent State,Miami (OH),5,4,0,0,W,Kent State,Kent-State,Miami-OH,0,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
