Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,UNCG,Kentucky,2,13,0,0,W,Kentucky,Kentucky,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
02/14/2026,UNCG,Kentucky,3,11,0,0,W,Kentucky,Kentucky,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
02/14/2026,UNCG,Kentucky,6,10,0,0,W,Kentucky,Kentucky,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
02/17/2026,Kentucky,Morehead State,6,8,0,0,L,Kentucky,Kentucky,Morehead-State,0,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
02/20/2026,Evansville,Kentucky,2,9,0,0,W,Kentucky,Kentucky,Evansville,1,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
02/21/2026,Evansville,Kentucky,3,5,0,0,W,Kentucky,Kentucky,Evansville,1,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
02/21/2026,Evansville,Kentucky,1,0,0,0,L,Kentucky,Kentucky,Evansville,1,9,"Evansville, IN / Charles H. Braun Stadium",2026,WN2026
02/25/2026,Kentucky,Western Kentucky,13,9,0,0,W,Kentucky,Kentucky,Western-Kentucky,0,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
02/27/2026,Kentucky,Saint John's,3,1,0,0,W,Kentucky,Kentucky,Saint-Johns,0,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
02/28/2026,Kentucky,Saint John's,3,0,0,0,W,Kentucky,Kentucky,Saint-Johns,0,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
03/01/2026,Kentucky,Saint John's,3,1,0,0,W,Kentucky,Kentucky,Saint-Johns,0,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
03/03/2026,Eastern Kentucky,Kentucky,0,10,0,0,W,Kentucky,Kentucky,Eastern-Kentucky,1,7,"Richmond, KY / Turkey Hughes Field",2026,WN2026
