Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Longwood,NJIT,10,1,0,0,W,Longwood,Longwood,NJIT,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/14/2026,Longwood,NJIT,3,2,0,0,W,Longwood,Longwood,NJIT,0,15,"Farmville, VA / Bolding Stadium",2026,WN2026
02/14/2026,Longwood,NJIT,15,0,0,0,W,Longwood,Longwood,NJIT,0,7,"Farmville, VA / Bolding Stadium",2026,WN2026
02/18/2026,North Carolina,Longwood,5,3,0,0,L,Longwood,Longwood,North-Carolina,1,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/20/2026,Longwood,UMBC,6,4,0,0,W,Longwood,Longwood,UMBC,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/21/2026,Longwood,UMBC,4,3,0,0,W,Longwood,Longwood,UMBC,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/21/2026,Longwood,UMBC,17,11,0,0,W,Longwood,Longwood,UMBC,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/24/2026,Elon,Longwood,3,8,0,0,W,Longwood,Longwood,Elon,1,9,"Elon, NC / Walter C. Latham Park",2026,WN2026
02/27/2026,Longwood,Youngstown State,1,2,0,0,L,Longwood,Longwood,Youngstown-State,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/28/2026,Longwood,Youngstown State,9,3,0,0,W,Longwood,Longwood,Youngstown-State,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/28/2026,Longwood,Youngstown State,6,3,0,0,W,Longwood,Longwood,Youngstown-State,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
03/01/2026,Longwood,Youngstown State,6,4,0,0,W,Longwood,Longwood,Youngstown-State,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
03/03/2026,Richmond,Longwood,4,9,0,0,W,Longwood,Longwood,Richmond,1,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
03/06/2026,Alabama State,Longwood,1,16,0,0,W,Longwood,Longwood,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
03/07/2026,Alabama State,Longwood,9,3,0,0,L,Longwood,Longwood,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
03/07/2026,Alabama State,Longwood,9,3,0,0,L,Longwood,Longwood,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
03/10/2026,Longwood,George Mason,11,1,0,0,W,Longwood,Longwood,George-Mason,0,8,"Farmville, VA / Bolding Stadium",2026,WN2026
03/13/2026,Gardner-Webb,Longwood,1,3,0,0,W,Longwood,Longwood,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
03/14/2026,Gardner-Webb,Longwood,7,2,0,0,L,Longwood,Longwood,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
03/15/2026,Gardner-Webb,Longwood,9,4,0,0,L,Longwood,Longwood,Gardner-Webb,1,9,"Boiling Springs, NC / John Henry Moss Stadium",2026,WN2026
03/17/2026,Longwood,William & Mary,8,6,0,0,W,Longwood,Longwood,William-Mary,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
03/20/2026,Longwood,South Carolina Upstate,4,5,0,0,L,Longwood,Longwood,South-Carolina-Upstate,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
03/21/2026,Longwood,South Carolina Upstate,5,4,0,0,W,Longwood,Longwood,South-Carolina-Upstate,0,10,"Farmville, VA / Bolding Stadium",2026,WN2026
03/22/2026,Longwood,South Carolina Upstate,12,11,0,0,W,Longwood,Longwood,South-Carolina-Upstate,0,9,"Farmville, VA / Bolding Stadium",2026,WN2026
03/24/2026,George Mason,Longwood,14,4,0,0,L,Longwood,Longwood,George-Mason,1,7,"Fairfax, VA / Spuhler Field",2026,WN2026
03/27/2026,Radford,Longwood,4,3,0,0,L,Longwood,Longwood,Radford,1,9,"Radford, VA / Sherman Carter Memorial Stadium",2026,WN2026
03/28/2026,Radford,Longwood,10,2,0,0,L,Longwood,Longwood,Radford,1,9,"Radford, VA / Sherman Carter Memorial Stadium",2026,WN2026
03/29/2026,Radford,Longwood,5,6,0,0,W,Longwood,Longwood,Radford,1,9,"Radford, VA / Sherman Carter Memorial Stadium",2026,WN2026
03/31/2026,VCU,Longwood,6,1,0,0,L,Longwood,Longwood,VCU,1,9,"Richmond, VA / The Diamond",2026,WN2026
04/02/2026,The Citadel,Longwood,6,3,0,0,L,Longwood,Longwood,The-Citadel,1,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
04/03/2026,The Citadel,Longwood,8,4,0,0,L,Longwood,Longwood,The-Citadel,1,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
