Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Loyola-Marymount,Tulane,3,12,0,0,L,Loyola-Marymount,Loyola-Marymount,Tulane,0,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/14/2026,Loyola-Marymount,Tulane,6,4,0,0,W,Loyola-Marymount,Loyola-Marymount,Tulane,0,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/15/2026,Loyola-Marymount,Tulane,2,6,0,0,L,Loyola-Marymount,Loyola-Marymount,Tulane,0,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/18/2026,USC,Loyola-Marymount,14,4,0,0,L,Loyola-Marymount,Loyola-Marymount,USC,1,7,"Los Angeles, CA / Dedeaux Field",2026,WN2026
02/20/2026,Loyola-Marymount,Washington,3,8,0,0,L,Loyola-Marymount,Loyola-Marymount,Washington,0,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/21/2026,Loyola-Marymount,Washington,7,1,0,0,W,Loyola-Marymount,Loyola-Marymount,Washington,0,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/22/2026,Loyola-Marymount,Washington,7,6,0,0,W,Loyola-Marymount,Loyola-Marymount,Washington,0,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/23/2026,Loyola-Marymount,TCU,7,17,0,0,L,Loyola-Marymount,Loyola-Marymount,TCU,0,7,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/24/2026,Loyola-Marymount,UC Santa Barbara,3,5,0,0,L,Loyola-Marymount,Loyola-Marymount,UC-Santa-Barbara,0,11,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
02/27/2026,Wake Forest,Loyola-Marymount,12,2,0,0,L,Loyola-Marymount,Loyola-Marymount,Wake-Forest,1,8,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
02/28/2026,Davidson,Loyola-Marymount,1,11,0,1,W,Loyola-Marymount,Loyola-Marymount,Davidson,0,7,"Winston-Salem, NC",2026,WN2026
02/28/2026,Wake Forest,Loyola-Marymount,15,4,0,0,L,Loyola-Marymount,Loyola-Marymount,Wake-Forest,1,7,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/01/2026,Davidson,Loyola-Marymount,1,11,0,1,W,Loyola-Marymount,Loyola-Marymount,Davidson,0,8,"Winston-Salem, NC",2026,WN2026
03/02/2026,Loyola-Marymount,Utah,4,13,0,0,L,Loyola-Marymount,Loyola-Marymount,Utah,0,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
03/03/2026,UC Santa Barbara,Loyola-Marymount,11,1,0,0,L,Loyola-Marymount,Loyola-Marymount,UC-Santa-Barbara,1,8,"Santa Barbara, CA / Caesar Uyesaka Stadium",2026,WN2026
03/06/2026,Arizona State,Loyola-Marymount,12,4,0,0,L,Loyola-Marymount,Loyola-Marymount,Arizona-State,1,9,"Phoenix, AZ / Phoenix Municipal Stadium",2026,WN2026
03/07/2026,Arizona State,Loyola-Marymount,9,1,0,0,L,Loyola-Marymount,Loyola-Marymount,Arizona-State,1,9,"Phoenix, AZ / Phoenix Municipal Stadium",2026,WN2026
03/08/2026,Arizona State,Loyola-Marymount,29,4,0,0,L,Loyola-Marymount,Loyola-Marymount,Arizona-State,1,9,"Phoenix, AZ / Phoenix Municipal Stadium",2026,WN2026
03/10/2026,Loyola-Marymount,California Baptist,7,2,0,0,W,Loyola-Marymount,Loyola-Marymount,California-Baptist,0,9,"Los Angeles, CA / George C. Page Stadium",2026,WN2026
03/13/2026,Abilene Christian,Loyola-Marymount,0,3,0,0,W,Loyola-Marymount,Loyola-Marymount,Abilene-Christian,1,9,"Abilene, TX / Crutcher Scott Field",2026,WN2026
