Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/18/2026,UNCW,Merrimack,10,0,0,0,L,Merrimack,Merrimack,UNCW,1,7,"Wilmington, NC / Brooks Field",2026,WN2026
02/20/2026,Ball State,Merrimack,5,9,0,1,W,Merrimack,Merrimack,Ball-State,0,9,"Charleston, SC / Shipyard Park",2026,WN2026
02/21/2026,Seton Hall,Merrimack,11,10,0,1,L,Merrimack,Merrimack,Seton-Hall,0,11,"Charleston, SC / Shipyard Park",2026,WN2026
02/22/2026,Ball State,Merrimack,14,6,0,1,L,Merrimack,Merrimack,Ball-State,0,9,"Charleston, SC / Shipyard Park",2026,WN2026
02/27/2026,Bucknell,Merrimack,2,24,0,0,W,Merrimack,Merrimack,Bucknell,1,9,"Lewisburg, PA / Eugene B. Depew Field",2026,WN2026
02/28/2026,Bucknell,Merrimack,6,5,0,0,L,Merrimack,Merrimack,Bucknell,1,9,"Lewisburg, PA / Eugene B. Depew Field",2026,WN2026
02/28/2026,Bucknell,Merrimack,3,2,0,0,L,Merrimack,Merrimack,Bucknell,1,7,"Lewisburg, PA / Eugene B. Depew Field",2026,WN2026
03/07/2026,Merrimack,Niagara,8,7,0,0,W,Merrimack,Merrimack,Niagara,0,9,"Andover, MA / Warrior Baseball Diamond",2026,WN2026
03/07/2026,Merrimack,Niagara,0,4,0,0,L,Merrimack,Merrimack,Niagara,0,9,"Andover, MA / Warrior Baseball Diamond",2026,WN2026
03/08/2026,Merrimack,Niagara,6,4,0,0,W,Merrimack,Merrimack,Niagara,0,9,"Andover, MA / Warrior Baseball Diamond",2026,WN2026
03/10/2026,Army,Merrimack,10,9,0,0,L,Merrimack,Merrimack,Army,1,9,"West Point, NY / Doubleday Field",2026,WN2026
03/11/2026,Army,Merrimack,4,8,0,0,W,Merrimack,Merrimack,Army,1,9,"West Point, NY / Doubleday Field",2026,WN2026
03/13/2026,Iona,Merrimack,3,4,0,0,W,Merrimack,Merrimack,Iona,1,9,"New Rochelle, NY / City Park",2026,WN2026
