Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Middle Tennessee,Bellarmine,8,2,0,0,W,Middle Tennessee,Middle-Tennessee,Bellarmine,0,9,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/14/2026,Middle Tennessee,Bellarmine,3,6,0,0,L,Middle Tennessee,Middle-Tennessee,Bellarmine,0,9,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/14/2026,Middle Tennessee,Bellarmine,15,5,0,0,W,Middle Tennessee,Middle-Tennessee,Bellarmine,0,8,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/17/2026,Middle Tennessee,Alabama A&M,19,2,0,0,W,Middle Tennessee,Middle-Tennessee,Alabama-AM,0,7,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/20/2026,Middle Tennessee,Saint Bonaventure,2,1,0,0,W,Middle Tennessee,Middle-Tennessee,Saint-Bonaventure,0,9,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/21/2026,Middle Tennessee,Saint Bonaventure,5,6,0,0,L,Middle Tennessee,Middle-Tennessee,Saint-Bonaventure,0,9,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/22/2026,Middle Tennessee,Saint Bonaventure,7,0,0,0,W,Middle Tennessee,Middle-Tennessee,Saint-Bonaventure,0,9,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/24/2026,Middle Tennessee,Tennessee Tech,11,1,0,0,W,Middle Tennessee,Middle-Tennessee,Tennessee-Tech,0,8,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/27/2026,Middle Tennessee,Illinois State,13,3,0,0,W,Middle Tennessee,Middle-Tennessee,Illinois-State,0,7,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/28/2026,Middle Tennessee,Illinois State,8,2,0,0,W,Middle Tennessee,Middle-Tennessee,Illinois-State,0,9,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
