Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Richmond,Monmouth,3,4,0,0,W,Monmouth,Monmouth,Richmond,1,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/14/2026,Richmond,Monmouth,7,5,0,0,L,Monmouth,Monmouth,Richmond,1,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/14/2026,Richmond,Monmouth,10,8,0,0,L,Monmouth,Monmouth,Richmond,1,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
02/20/2026,Virginia,Monmouth,21,8,0,1,L,Monmouth,Monmouth,Virginia,0,8,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/21/2026,North Dakota State,Monmouth,5,1,0,1,L,Monmouth,Monmouth,North-Dakota-State,0,9,"Deland, FL / Melching Field at Conrad Park",2026,WN2026
02/22/2026,Stetson,Monmouth,14,8,0,0,L,Monmouth,Monmouth,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/28/2026,UMBC,Monmouth,4,3,0,0,L,Monmouth,Monmouth,UMBC,1,7,"Catonsville, MD / Alumni Field",2026,WN2026
02/28/2026,UMBC,Monmouth,10,9,0,0,L,Monmouth,Monmouth,UMBC,1,9,"Catonsville, MD / Alumni Field",2026,WN2026
03/01/2026,UMBC,Monmouth,0,13,0,0,W,Monmouth,Monmouth,UMBC,1,8,"Catonsville, MD / Alumni Field",2026,WN2026
03/06/2026,Towson,Monmouth,5,12,0,0,W,Monmouth,Monmouth,Towson,1,9,"Towson, MD / John B. Schuerholz Park",2026,WN2026
03/07/2026,Towson,Monmouth,1,4,0,0,W,Monmouth,Monmouth,Towson,1,9,"Towson, MD / John B. Schuerholz Park",2026,WN2026
03/08/2026,Towson,Monmouth,4,12,0,0,W,Monmouth,Monmouth,Towson,1,9,"Towson, MD / John B. Schuerholz Park",2026,WN2026
03/11/2026,Fairleigh Dickinson,Monmouth,14,15,0,0,W,Monmouth,Monmouth,Fairleigh-Dickinson,1,9,"Teaneck, NJ / Naimoli Family Baseball Complex",2026,WN2026
03/13/2026,Monmouth,Hofstra,5,4,0,0,W,Monmouth,Monmouth,Hofstra,0,9,"West Long Branch, NJ / Monmouth Baseball Field",2026,WN2026
03/14/2026,Monmouth,Hofstra,4,5,0,0,L,Monmouth,Monmouth,Hofstra,0,9,"West Long Branch, NJ / Monmouth Baseball Field",2026,WN2026
03/15/2026,Monmouth,Hofstra,19,9,0,0,W,Monmouth,Monmouth,Hofstra,0,7,"West Long Branch, NJ / Monmouth Baseball Field",2026,WN2026
03/17/2026,Rutgers,Monmouth,13,3,0,0,L,Monmouth,Monmouth,Rutgers,1,7,"Piscataway, NJ / Bainton Field",2026,WN2026
03/20/2026,Monmouth,Stony Brook,10,2,0,0,W,Monmouth,Monmouth,Stony-Brook,0,9,"West Long Branch, NJ / Monmouth Baseball Field",2026,WN2026
03/21/2026,Monmouth,Stony Brook,8,5,0,0,W,Monmouth,Monmouth,Stony-Brook,0,9,"West Long Branch, NJ / Monmouth Baseball Field",2026,WN2026
03/22/2026,Monmouth,Stony Brook,7,10,0,0,L,Monmouth,Monmouth,Stony-Brook,0,9,"West Long Branch, NJ / Monmouth Baseball Field",2026,WN2026
03/24/2026,Monmouth,Lafayette,6,1,0,0,W,Monmouth,Monmouth,Lafayette,0,9,"West Long Branch, NJ / Monmouth Baseball Field",2026,WN2026
03/27/2026,Elon,Monmouth,3,6,0,0,W,Monmouth,Monmouth,Elon,1,9,"Elon, NC / Walter C. Latham Park",2026,WN2026
03/28/2026,Elon,Monmouth,7,9,0,0,W,Monmouth,Monmouth,Elon,1,9,"Elon, NC / Walter C. Latham Park",2026,WN2026
03/29/2026,Elon,Monmouth,2,8,0,0,W,Monmouth,Monmouth,Elon,1,9,"Elon, NC / Walter C. Latham Park",2026,WN2026
