Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Longwood,NJIT,10,1,0,0,L,NJIT,NJIT,Longwood,1,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/14/2026,Longwood,NJIT,3,2,0,0,L,NJIT,NJIT,Longwood,1,15,"Farmville, VA / Bolding Stadium",2026,WN2026
02/14/2026,Longwood,NJIT,15,0,0,0,L,NJIT,NJIT,Longwood,1,7,"Farmville, VA / Bolding Stadium",2026,WN2026
02/20/2026,Presbyterian College,NJIT,2,14,0,0,W,NJIT,NJIT,Presbyterian-College,1,9,"Clinton, SC / Presbyterian Baseball Complex",2026,WN2026
02/21/2026,Wofford,NJIT,1,0,0,0,L,NJIT,NJIT,Wofford,1,9,"Spartanburg, SC / Russell C. King Field",2026,WN2026
02/22/2026,South Carolina Upstate,NJIT,17,1,0,0,L,NJIT,NJIT,South-Carolina-Upstate,1,7,"Spartanburg, SC / Cleveland S. Harley Baseball Park",2026,WN2026
02/28/2026,Iona,NJIT,0,8,0,1,W,NJIT,NJIT,Iona,0,9,"Teaneck, NJ / Naimoli Family Baseball Complex",2026,WN2026
02/28/2026,Iona,NJIT,2,10,0,1,W,NJIT,NJIT,Iona,0,9,"Teaneck, NJ / Naimoli Family Baseball Complex",2026,WN2026
03/06/2026,NJIT,Saint Peter's,13,3,0,0,W,NJIT,NJIT,Saint-Peters,0,7,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
03/07/2026,NJIT,Saint Peter's,2,4,0,0,L,NJIT,NJIT,Saint-Peters,0,10,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
03/07/2026,NJIT,Saint Peter's,8,4,0,0,W,NJIT,NJIT,Saint-Peters,0,9,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
03/08/2026,NJIT,Saint Peter's,8,4,0,0,W,NJIT,NJIT,Saint-Peters,0,9,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
03/11/2026,NJIT,Seton Hall,5,8,0,0,L,NJIT,NJIT,Seton-Hall,0,9,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
03/13/2026,NJIT,Niagara,3,6,0,0,L,NJIT,NJIT,Niagara,0,9,"Little Falls, NJ / Yogi Berra Stadium",2026,WN2026
