Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,North Carolina,Indiana,9,4,0,0,W,North Carolina,North-Carolina,Indiana,0,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/14/2026,North Carolina,Indiana,12,2,0,0,W,North Carolina,North-Carolina,Indiana,0,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/14/2026,North Carolina,Indiana,4,3,0,0,W,North Carolina,North-Carolina,Indiana,0,11,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/17/2026,North Carolina,Richmond,10,0,0,0,W,North Carolina,North-Carolina,Richmond,0,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/18/2026,North Carolina,Longwood,5,3,0,0,W,North Carolina,North-Carolina,Longwood,0,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/20/2026,East Carolina,North Carolina,0,10,0,0,W,North Carolina,North-Carolina,East-Carolina,1,9,"Greenville, NC / Clark-LeClair Stadium",2026,WN2026
02/21/2026,East Carolina,North Carolina,10,3,0,1,L,North Carolina,North-Carolina,East-Carolina,0,9,"Durham, NC / Jack Coombs Field",2026,WN2026
02/24/2026,North Carolina,North Carolina A&T,9,1,0,0,W,North Carolina,North-Carolina,North-Carolina-AT,0,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/25/2026,North Carolina,VCU,13,3,0,0,W,North Carolina,North-Carolina,VCU,0,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/27/2026,North Carolina,Le Moyne,16,3,0,0,W,North Carolina,North-Carolina,Le-Moyne,0,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/28/2026,North Carolina,Le Moyne,12,2,0,0,W,North Carolina,North-Carolina,Le-Moyne,0,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/01/2026,North Carolina,Le Moyne,21,1,0,0,W,North Carolina,North-Carolina,Le-Moyne,0,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/03/2026,North Carolina,Elon,5,1,0,0,W,North Carolina,North-Carolina,Elon,0,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/06/2026,North Carolina,Virginia,3,13,0,0,L,North Carolina,North-Carolina,Virginia,0,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/07/2026,North Carolina,Virginia,2,9,0,0,L,North Carolina,North-Carolina,Virginia,0,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/07/2026,North Carolina,Virginia,8,7,0,0,W,North Carolina,North-Carolina,Virginia,0,12,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/10/2026,North Carolina,Bucknell,13,3,0,0,W,North Carolina,North-Carolina,Bucknell,0,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/13/2026,California,North Carolina,1,8,0,0,W,North Carolina,North-Carolina,California,1,9,"Berkeley, CA / Evans Diamond",2026,WN2026
03/14/2026,California,North Carolina,2,6,0,0,W,North Carolina,North-Carolina,California,1,9,"Berkeley, CA / Evans Diamond",2026,WN2026
03/15/2026,California,North Carolina,2,10,0,0,W,North Carolina,North-Carolina,California,1,9,"Berkeley, CA / Evans Diamond",2026,WN2026
03/18/2026,North Carolina,UNCG,8,2,0,0,W,North Carolina,North-Carolina,UNCG,0,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/20/2026,North Carolina,Louisville,11,1,0,0,W,North Carolina,North-Carolina,Louisville,0,8,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/21/2026,North Carolina,Louisville,0,2,0,0,L,North Carolina,North-Carolina,Louisville,0,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
03/22/2026,North Carolina,Louisville,7,6,0,0,W,North Carolina,North-Carolina,Louisville,0,9,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
