Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Northwestern State,UTA,3,2,0,0,W,Northwestern State,Northwestern-State,UTA,0,14,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
02/14/2026,Northwestern State,UTA,8,3,0,0,W,Northwestern State,Northwestern-State,UTA,0,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
02/15/2026,Northwestern State,UTA,10,3,0,0,W,Northwestern State,Northwestern-State,UTA,0,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
02/17/2026,Northwestern State,ULM,13,10,0,0,W,Northwestern State,Northwestern-State,ULM,0,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
02/20/2026,Central Arkansas,Northwestern State,5,4,0,0,L,Northwestern State,Northwestern-State,Central-Arkansas,1,9,"Conway, AR / Bear Stadium",2026,WN2026
02/21/2026,Central Arkansas,Northwestern State,3,2,0,0,L,Northwestern State,Northwestern-State,Central-Arkansas,1,9,"Conway, AR / Bear Stadium",2026,WN2026
02/21/2026,Central Arkansas,Northwestern State,2,5,0,0,W,Northwestern State,Northwestern-State,Central-Arkansas,1,15,"Conway, AR / Bear Stadium",2026,WN2026
02/22/2026,Central Arkansas,Northwestern State,13,5,0,0,L,Northwestern State,Northwestern-State,Central-Arkansas,1,9,"Conway, AR / Bear Stadium",2026,WN2026
02/24/2026,Louisiana Tech,Northwestern State,5,2,0,0,L,Northwestern State,Northwestern-State,Louisiana-Tech,1,9,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
02/27/2026,Northwestern State,Southeastern Louisiana,5,7,0,0,L,Northwestern State,Northwestern-State,Southeastern-Louisiana,0,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
02/28/2026,Northwestern State,Southeastern Louisiana,1,5,0,0,L,Northwestern State,Northwestern-State,Southeastern-Louisiana,0,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
03/01/2026,Northwestern State,Southeastern Louisiana,5,4,0,0,W,Northwestern State,Northwestern-State,Southeastern-Louisiana,0,9,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
03/03/2026,Northwestern State,Grambling State,13,1,0,0,W,Northwestern State,Northwestern-State,Grambling-State,0,7,"Natchitoches, LA / H. Alvin Brown-C. C. Stroud Field",2026,WN2026
