Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Ole Miss,Nevada,11,3,0,0,W,Ole Miss,Ole-Miss,Nevada,0,9,"Oxford, MS / Swayze Field",2026,WN2026
02/14/2026,Ole Miss,Nevada,5,1,0,0,W,Ole Miss,Ole-Miss,Nevada,0,9,"Oxford, MS / Swayze Field",2026,WN2026
02/15/2026,Ole Miss,Nevada,13,2,0,0,W,Ole Miss,Ole-Miss,Nevada,0,7,"Oxford, MS / Swayze Field",2026,WN2026
02/17/2026,Ole Miss,Arkansas State,7,6,0,0,W,Ole Miss,Ole-Miss,Arkansas-State,0,9,"Oxford, MS / Swayze Field",2026,WN2026
02/18/2026,Ole Miss,Jackson State,18,3,0,0,W,Ole Miss,Ole-Miss,Jackson-State,0,7,"Oxford, MS / Swayze Field",2026,WN2026
02/20/2026,Ole Miss,Missouri State,11,6,0,0,W,Ole Miss,Ole-Miss,Missouri-State,0,9,"Oxford, MS / Swayze Field",2026,WN2026
02/21/2026,Ole Miss,Missouri State,6,3,0,0,W,Ole Miss,Ole-Miss,Missouri-State,0,9,"Oxford, MS / Swayze Field",2026,WN2026
02/22/2026,Ole Miss,Missouri State,3,2,0,0,W,Ole Miss,Ole-Miss,Missouri-State,0,9,"Oxford, MS / Swayze Field",2026,WN2026
02/24/2026,Ole Miss,Southeast Missouri,13,3,0,0,W,Ole Miss,Ole-Miss,Southeast-Missouri,0,7,"Oxford, MS / Swayze Field",2026,WN2026
02/27/2026,Baylor,Ole Miss,6,5,0,1,L,Ole Miss,Ole-Miss,Baylor,0,10,"Houston, TX / Daikin Park",2026,WN2026
02/28/2026,Ohio State,Ole Miss,0,8,0,1,W,Ole Miss,Ole-Miss,Ohio-State,0,9,"Houston, TX / Daikin Park",2026,WN2026
03/01/2026,Coastal Carolina,Ole Miss,9,2,0,1,L,Ole Miss,Ole-Miss,Coastal-Carolina,0,9,"Houston, TX / Daikin Park",2026,WN2026
03/03/2026,Ole Miss,Memphis,7,1,0,0,W,Ole Miss,Ole-Miss,Memphis,0,9,"Oxford, MS / Swayze Field",2026,WN2026
03/04/2026,Ole Miss,North Alabama,8,5,0,0,W,Ole Miss,Ole-Miss,North-Alabama,0,9,"Oxford, MS / Swayze Field",2026,WN2026
03/06/2026,Ole Miss,Evansville,7,2,0,0,W,Ole Miss,Ole-Miss,Evansville,0,9,"Oxford, MS / Swayze Field",2026,WN2026
03/06/2026,Ole Miss,Evansville,14,2,0,0,W,Ole Miss,Ole-Miss,Evansville,0,7,"Oxford, MS / Swayze Field",2026,WN2026
