Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,North Florida,Sacred Heart,2,7,0,0,W,Sacred Heart,Sacred-Heart,North-Florida,1,9,"Jacksonville, FL / Harmon Stadium",2026,WN2026
02/14/2026,North Florida,Sacred Heart,16,3,0,0,L,Sacred Heart,Sacred-Heart,North-Florida,1,9,"Jacksonville, FL / Harmon Stadium",2026,WN2026
02/15/2026,North Florida,Sacred Heart,12,2,0,0,L,Sacred Heart,Sacred-Heart,North-Florida,1,7,"Jacksonville, FL / Harmon Stadium",2026,WN2026
02/20/2026,East Tennessee State,Sacred Heart,10,0,0,0,L,Sacred Heart,Sacred-Heart,East-Tennessee-State,1,9,"Johnson City, TN / Thomas Stadium",2026,WN2026
02/21/2026,East Tennessee State,Sacred Heart,26,3,0,0,L,Sacred Heart,Sacred-Heart,East-Tennessee-State,1,9,"Johnson City, TN / Thomas Stadium",2026,WN2026
02/21/2026,East Tennessee State,Sacred Heart,11,8,0,0,L,Sacred Heart,Sacred-Heart,East-Tennessee-State,1,9,"Johnson City, TN / Thomas Stadium",2026,WN2026
02/27/2026,North Carolina State,Sacred Heart,17,4,0,0,L,Sacred Heart,Sacred-Heart,North-Carolina-State,1,7,"Raleigh, NC / Doak Field",2026,WN2026
02/28/2026,North Carolina State,Sacred Heart,15,5,0,0,L,Sacred Heart,Sacred-Heart,North-Carolina-State,1,7,"Raleigh, NC / Doak Field",2026,WN2026
03/01/2026,North Carolina State,Sacred Heart,13,0,0,0,L,Sacred Heart,Sacred-Heart,North-Carolina-State,1,7,"Raleigh, NC / Doak Field",2026,WN2026
03/06/2026,Sacred Heart,Rider,1,5,0,0,L,Sacred Heart,Sacred-Heart,Rider,0,9,"Fairfield, CT / Veterans Park",2026,WN2026
03/07/2026,Sacred Heart,Rider,3,9,0,0,L,Sacred Heart,Sacred-Heart,Rider,0,9,"Fairfield, CT / Veterans Park",2026,WN2026
03/08/2026,Sacred Heart,Rider,5,4,0,0,W,Sacred Heart,Sacred-Heart,Rider,0,9,"Fairfield, CT / Veterans Park",2026,WN2026
03/10/2026,Yale,Sacred Heart,4,2,0,0,L,Sacred Heart,Sacred-Heart,Yale,1,9,"West Haven, CT / George H.W. Bush 48 Field",2026,WN2026
