Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,McNeese,Sam Houston State,9,8,0,0,L,Sam Houston State,Sam-Houston-State,McNeese,1,11,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/14/2026,McNeese,Sam Houston State,2,11,0,0,W,Sam Houston State,Sam-Houston-State,McNeese,1,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/15/2026,McNeese,Sam Houston State,5,8,0,0,W,Sam Houston State,Sam-Houston-State,McNeese,1,9,"Lake Charles, LA / Joe Miller Ballpark",2026,WN2026
02/17/2026,Houston Christian,Sam Houston State,3,4,0,0,W,Sam Houston State,Sam-Houston-State,Houston-Christian,1,9,"Houston, TX / Husky Field",2026,WN2026
02/20/2026,Sam Houston State,UIC,0,2,0,0,L,Sam Houston State,Sam-Houston-State,UIC,0,9,"Huntsville, TX / Elliot T. Bowers Stadium",2026,WN2026
02/21/2026,Sam Houston State,UIC,1,2,0,0,L,Sam Houston State,Sam-Houston-State,UIC,0,9,"Huntsville, TX / Elliot T. Bowers Stadium",2026,WN2026
02/22/2026,Sam Houston State,UIC,6,4,0,0,W,Sam Houston State,Sam-Houston-State,UIC,0,9,"Huntsville, TX / Elliot T. Bowers Stadium",2026,WN2026
02/24/2026,Sam Houston State,Houston,4,5,0,0,L,Sam Houston State,Sam-Houston-State,Houston,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
02/27/2026,Oklahoma State,Sam Houston State,5,1,0,0,L,Sam Houston State,Sam-Houston-State,Oklahoma-State,1,9,"Stillwater, OK / O'Brate Stadium",2026,WN2026
02/28/2026,Oklahoma State,Sam Houston State,20,0,0,0,L,Sam Houston State,Sam-Houston-State,Oklahoma-State,1,9,"Stillwater, OK / O'Brate Stadium",2026,WN2026
03/01/2026,Oklahoma State,Sam Houston State,1,0,0,0,L,Sam Houston State,Sam-Houston-State,Oklahoma-State,1,9,"Stillwater, OK / O'Brate Stadium",2026,WN2026
03/03/2026,Houston,Sam Houston State,2,5,0,0,W,Sam Houston State,Sam-Houston-State,Houston,1,9,"Houston, TX / Schroeder Park",2026,WN2026
03/06/2026,Sam Houston State,Prairie View A&M,4,1,0,0,W,Sam Houston State,Sam-Houston-State,Prairie-View-AM,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/06/2026,Sam Houston State,Prairie View A&M,13,3,0,0,W,Sam Houston State,Sam-Houston-State,Prairie-View-AM,0,7,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/07/2026,Sam Houston State,Prairie View A&M,16,1,0,0,W,Sam Houston State,Sam-Houston-State,Prairie-View-AM,0,7,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/10/2026,Baylor,Sam Houston State,13,5,0,0,L,Sam Houston State,Sam-Houston-State,Baylor,1,9,"Waco, TX / Baylor Ballpark",2026,WN2026
03/13/2026,Sam Houston State,Jacksonville State,1,3,0,0,L,Sam Houston State,Sam-Houston-State,Jacksonville-State,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/14/2026,Sam Houston State,Jacksonville State,7,18,0,0,L,Sam Houston State,Sam-Houston-State,Jacksonville-State,0,7,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/15/2026,Sam Houston State,Jacksonville State,3,4,0,0,L,Sam Houston State,Sam-Houston-State,Jacksonville-State,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/17/2026,Lamar,Sam Houston State,4,7,0,0,W,Sam Houston State,Sam-Houston-State,Lamar,1,9,"Beaumont, TX / Vincent-Beck Stadium",2026,WN2026
03/20/2026,FIU,Sam Houston State,2,3,0,0,W,Sam Houston State,Sam-Houston-State,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/21/2026,FIU,Sam Houston State,12,11,0,0,L,Sam Houston State,Sam-Houston-State,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/22/2026,FIU,Sam Houston State,1,7,0,0,W,Sam Houston State,Sam-Houston-State,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/24/2026,Sam Houston State,UTA,7,5,0,0,W,Sam Houston State,Sam-Houston-State,UTA,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/27/2026,Sam Houston State,Western Kentucky,1,0,0,0,W,Sam Houston State,Sam-Houston-State,Western-Kentucky,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/28/2026,Sam Houston State,Western Kentucky,11,5,0,0,W,Sam Houston State,Sam-Houston-State,Western-Kentucky,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/29/2026,Sam Houston State,Western Kentucky,2,8,0,0,L,Sam Houston State,Sam-Houston-State,Western-Kentucky,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
03/31/2026,Texas A&M,Sam Houston State,16,2,0,0,L,Sam Houston State,Sam-Houston-State,Texas-AM,1,7,"College Station, TX / Blue Bell Park",2026,WN2026
04/03/2026,Missouri State,Sam Houston State,9,8,0,0,L,Sam Houston State,Sam-Houston-State,Missouri-State,1,9,"Springfield, MO / Hammons Field",2026,WN2026
04/04/2026,Missouri State,Sam Houston State,15,5,0,0,L,Sam Houston State,Sam-Houston-State,Missouri-State,1,7,"Springfield, MO / Hammons Field",2026,WN2026
04/05/2026,Missouri State,Sam Houston State,12,0,0,0,L,Sam Houston State,Sam-Houston-State,Missouri-State,1,7,"Springfield, MO / Hammons Field",2026,WN2026
04/07/2026,Sam Houston State,Houston,4,5,0,0,L,Sam Houston State,Sam-Houston-State,Houston,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
04/10/2026,Sam Houston State,Dallas Baptist,4,6,0,0,L,Sam Houston State,Sam-Houston-State,Dallas-Baptist,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
04/11/2026,Sam Houston State,Dallas Baptist,3,14,0,0,L,Sam Houston State,Sam-Houston-State,Dallas-Baptist,0,7,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
04/12/2026,Sam Houston State,Dallas Baptist,4,5,0,0,L,Sam Houston State,Sam-Houston-State,Dallas-Baptist,0,10,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
04/14/2026,Sam Houston State,UTRGV,5,8,0,0,L,Sam Houston State,Sam-Houston-State,UTRGV,0,10,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
04/15/2026,Rice,Sam Houston State,5,3,0,0,L,Sam Houston State,Sam-Houston-State,Rice,1,9,"Houston, TX / Reckling Park",2026,WN2026
04/17/2026,New Mexico State,Sam Houston State,7,8,0,0,W,Sam Houston State,Sam-Houston-State,New-Mexico-State,1,9,"Las Cruces, NM / Presley Askew Field",2026,WN2026
04/18/2026,New Mexico State,Sam Houston State,3,4,0,0,W,Sam Houston State,Sam-Houston-State,New-Mexico-State,1,9,"Las Cruces, NM / Presley Askew Field",2026,WN2026
04/19/2026,New Mexico State,Sam Houston State,10,12,0,0,W,Sam Houston State,Sam-Houston-State,New-Mexico-State,1,9,"Las Cruces, NM / Presley Askew Field",2026,WN2026
04/21/2026,Sam Houston State,Baylor,7,5,0,0,W,Sam Houston State,Sam-Houston-State,Baylor,0,9,"Huntsville, TX / Don Sanders Stadium",2026,WN2026
