Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,San Francisco,Western Illinois,2,0,0,0,W,San Francisco,San-Francisco,Western-Illinois,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/14/2026,San Francisco,Western Illinois,5,4,0,0,W,San Francisco,San-Francisco,Western-Illinois,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/14/2026,San Francisco,Western Illinois,10,6,0,0,W,San Francisco,San-Francisco,Western-Illinois,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/18/2026,San Francisco,UC Davis,1,2,0,0,L,San Francisco,San-Francisco,UC-Davis,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/20/2026,San Jose State,San Francisco,6,7,0,0,W,San Francisco,San-Francisco,San-Jose-State,1,13,"San Jose, CA / Excite Ballpark",2026,WN2026
02/21/2026,San Jose State,San Francisco,7,3,0,0,L,San Francisco,San-Francisco,San-Jose-State,1,9,"San Jose, CA / Excite Ballpark",2026,WN2026
02/22/2026,San Francisco,San Jose State,9,3,0,0,W,San Francisco,San-Francisco,San-Jose-State,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/26/2026,San Francisco,California Baptist,2,16,0,0,L,San Francisco,San-Francisco,California-Baptist,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/27/2026,San Francisco,California Baptist,1,7,0,0,L,San Francisco,San-Francisco,California-Baptist,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/28/2026,San Francisco,California Baptist,3,2,0,0,W,San Francisco,San-Francisco,California-Baptist,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/01/2026,San Francisco,California Baptist,1,2,0,0,L,San Francisco,San-Francisco,California-Baptist,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/06/2026,San Francisco,UMass-Lowell,8,5,0,0,W,San Francisco,San-Francisco,UMass-Lowell,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/07/2026,San Francisco,UMass-Lowell,7,18,0,0,L,San Francisco,San-Francisco,UMass-Lowell,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/08/2026,San Francisco,UMass-Lowell,4,6,0,0,L,San Francisco,San-Francisco,UMass-Lowell,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/09/2026,San Francisco,UMass-Lowell,8,2,0,0,W,San Francisco,San-Francisco,UMass-Lowell,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/13/2026,UC Riverside,San Francisco,7,3,0,0,L,San Francisco,San-Francisco,UC-Riverside,1,9,"Riverside, CA / Riverside Sports Complex",2026,WN2026
03/14/2026,UC Riverside,San Francisco,4,6,0,0,W,San Francisco,San-Francisco,UC-Riverside,1,9,"Riverside, CA / Riverside Sports Complex",2026,WN2026
03/15/2026,UC Riverside,San Francisco,6,5,0,0,L,San Francisco,San-Francisco,UC-Riverside,1,10,"Riverside, CA / Riverside Sports Complex",2026,WN2026
03/17/2026,San Francisco,Sacramento State,3,8,0,0,L,San Francisco,San-Francisco,Sacramento-State,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/20/2026,San Francisco,Santa Clara,2,1,0,0,W,San Francisco,San-Francisco,Santa-Clara,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/21/2026,San Francisco,Santa Clara,2,1,0,0,W,San Francisco,San-Francisco,Santa-Clara,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/22/2026,San Francisco,Santa Clara,6,5,0,0,W,San Francisco,San-Francisco,Santa-Clara,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/24/2026,Nevada,San Francisco,14,9,0,0,L,San Francisco,San-Francisco,Nevada,1,9,"Reno, NV / William Peccole Park",2026,WN2026
03/27/2026,San Francisco,Seattle University,8,4,0,0,W,San Francisco,San-Francisco,Seattle-University,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/28/2026,San Francisco,Seattle University,6,5,0,0,W,San Francisco,San-Francisco,Seattle-University,0,10,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
03/29/2026,San Francisco,Seattle University,8,5,0,0,W,San Francisco,San-Francisco,Seattle-University,0,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
