Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Long Beach State,San Jose State,0,8,0,0,W,San Jose State,San-Jose-State,Long-Beach-State,1,9,"Long Beach, CA / Blair Field",2026,WN2026
02/14/2026,Long Beach State,San Jose State,12,3,0,0,L,San Jose State,San-Jose-State,Long-Beach-State,1,9,"Long Beach, CA / Blair Field",2026,WN2026
02/15/2026,Long Beach State,San Jose State,2,3,0,0,W,San Jose State,San-Jose-State,Long-Beach-State,1,9,"Long Beach, CA / Blair Field",2026,WN2026
02/18/2026,Santa Clara,San Jose State,8,6,0,0,L,San Jose State,San-Jose-State,Santa-Clara,1,9,"Santa Clara, CA / Stephen Schott Stadium",2026,WN2026
02/20/2026,San Jose State,San Francisco,6,7,0,0,L,San Jose State,San-Jose-State,San-Francisco,0,13,"San Jose, CA / Excite Ballpark",2026,WN2026
02/21/2026,San Jose State,San Francisco,7,3,0,0,W,San Jose State,San-Jose-State,San-Francisco,0,9,"San Jose, CA / Excite Ballpark",2026,WN2026
02/22/2026,San Francisco,San Jose State,9,3,0,0,L,San Jose State,San-Jose-State,San-Francisco,1,9,"San Francisco, CA / Dante Benedetti Diamond",2026,WN2026
02/27/2026,Saint Mary's College,San Jose State,5,4,0,0,L,San Jose State,San-Jose-State,Saint-Marys-College,1,13,"Moraga, CA / Louis Guisto Field",2026,WN2026
02/27/2026,Saint Mary's College,San Jose State,15,5,0,0,L,San Jose State,San-Jose-State,Saint-Marys-College,1,7,"Moraga, CA / Louis Guisto Field",2026,WN2026
02/28/2026,San Jose State,Saint Mary's College,8,0,0,0,W,San Jose State,San-Jose-State,Saint-Marys-College,0,9,"San Jose, CA / Excite Ballpark",2026,WN2026
03/01/2026,San Jose State,Saint Mary's College,4,13,0,0,L,San Jose State,San-Jose-State,Saint-Marys-College,0,9,"San Jose, CA / Excite Ballpark",2026,WN2026
03/03/2026,San Jose State,Pacific,5,11,0,0,L,San Jose State,San-Jose-State,Pacific,0,9,"San Jose, CA / Excite Ballpark",2026,WN2026
03/06/2026,San Jose State,Pittsburgh,1,20,0,0,L,San Jose State,San-Jose-State,Pittsburgh,0,7,"San Jose, CA / Excite Ballpark",2026,WN2026
