Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,South Alabama,South Carolina Upstate,16,7,0,0,W,South Alabama,South-Alabama,South-Carolina-Upstate,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
02/14/2026,South Alabama,South Carolina Upstate,7,10,0,0,L,South Alabama,South-Alabama,South-Carolina-Upstate,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
02/15/2026,South Alabama,South Carolina Upstate,7,3,0,0,W,South Alabama,South-Alabama,South-Carolina-Upstate,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
02/17/2026,Nicholls,South Alabama,5,7,0,0,W,South Alabama,South-Alabama,Nicholls,1,9,"Thibodaux, LA / Ben Meyer Diamond at Ray E. Didier Field",2026,WN2026
02/20/2026,Charleston,South Alabama,2,16,0,0,W,South Alabama,South-Alabama,Charleston,1,7,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/21/2026,Charleston,South Alabama,1,3,0,0,W,South Alabama,South-Alabama,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/22/2026,Charleston,South Alabama,7,6,0,0,L,South Alabama,South-Alabama,Charleston,1,9,"Mount Pleasant, SC / CofC Baseball Stadium at Patriot's Point",2026,WN2026
02/24/2026,Southeastern Louisiana,South Alabama,7,9,0,0,W,South Alabama,South-Alabama,Southeastern-Louisiana,1,9,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
02/25/2026,South Alabama,Tulane,2,15,0,0,L,South Alabama,South-Alabama,Tulane,0,8,"Mobile, AL / Eddie Stanky Field",2026,WN2026
02/27/2026,South Alabama,West Georgia,7,4,0,0,W,South Alabama,South-Alabama,West-Georgia,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
02/28/2026,South Alabama,West Georgia,21,6,0,0,W,South Alabama,South-Alabama,West-Georgia,0,7,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/01/2026,South Alabama,West Georgia,2,1,0,0,W,South Alabama,South-Alabama,West-Georgia,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/03/2026,UAB,South Alabama,1,11,0,1,W,South Alabama,South-Alabama,UAB,0,8,"Montgomery, AL / Riverwalk Stadium",2026,WN2026
03/06/2026,South Alabama,Louisiana Tech,9,3,0,0,W,South Alabama,South-Alabama,Louisiana-Tech,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/07/2026,South Alabama,Louisiana Tech,2,6,0,0,L,South Alabama,South-Alabama,Louisiana-Tech,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/08/2026,South Alabama,Louisiana Tech,1,6,0,0,L,South Alabama,South-Alabama,Louisiana-Tech,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/11/2026,South Alabama,Southeastern Louisiana,10,3,0,0,W,South Alabama,South-Alabama,Southeastern-Louisiana,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/13/2026,Louisiana,South Alabama,2,3,0,0,W,South Alabama,South-Alabama,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
03/14/2026,Louisiana,South Alabama,4,3,0,0,L,South Alabama,South-Alabama,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
03/15/2026,Louisiana,South Alabama,3,1,0,0,L,South Alabama,South-Alabama,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
03/17/2026,South Alabama,Alabama,6,3,0,0,W,South Alabama,South-Alabama,Alabama,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/20/2026,South Alabama,ULM,5,4,0,0,W,South Alabama,South-Alabama,ULM,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/21/2026,South Alabama,ULM,6,9,0,0,L,South Alabama,South-Alabama,ULM,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/22/2026,South Alabama,ULM,16,4,0,0,W,South Alabama,South-Alabama,ULM,0,7,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/24/2026,Auburn,South Alabama,10,0,0,1,L,South Alabama,South-Alabama,Auburn,0,8,"Montgomery, AL / Riverwalk Stadium",2026,WN2026
03/27/2026,South Alabama,Old Dominion,10,3,0,0,W,South Alabama,South-Alabama,Old-Dominion,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/28/2026,South Alabama,Old Dominion,0,2,0,0,L,South Alabama,South-Alabama,Old-Dominion,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/29/2026,South Alabama,Old Dominion,12,1,0,0,W,South Alabama,South-Alabama,Old-Dominion,0,7,"Mobile, AL / Eddie Stanky Field",2026,WN2026
03/31/2026,South Alabama,New Orleans,1,2,0,0,L,South Alabama,South-Alabama,New-Orleans,0,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
04/02/2026,Coastal Carolina,South Alabama,12,2,0,0,L,South Alabama,South-Alabama,Coastal-Carolina,1,7,"Conway, SC / Springs Brooks Stadium",2026,WN2026
04/03/2026,Coastal Carolina,South Alabama,2,15,0,0,W,South Alabama,South-Alabama,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
04/04/2026,Coastal Carolina,South Alabama,8,7,0,0,L,South Alabama,South-Alabama,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
04/08/2026,Alabama State,South Alabama,7,5,0,0,L,South Alabama,South-Alabama,Alabama-State,1,9,"Montgomery, AL / Wheeler-Watkins Baseball Complex",2026,WN2026
