Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,South Carolina,Northern Kentucky,5,2,0,0,W,South Carolina,South-Carolina,Northern-Kentucky,0,9,"Columbia, SC / Founders Park",2026,WN2026
02/13/2026,South Carolina,Northern Kentucky,6,5,0,0,W,South Carolina,South-Carolina,Northern-Kentucky,0,9,"Columbia, SC / Founders Park",2026,WN2026
02/14/2026,South Carolina,Northern Kentucky,2,3,0,0,L,South Carolina,South-Carolina,Northern-Kentucky,0,9,"Columbia, SC / Founders Park",2026,WN2026
02/17/2026,Wofford,South Carolina,2,8,0,0,W,South Carolina,South-Carolina,Wofford,1,9,"Spartanburg, SC / Fifth Third Park",2026,WN2026
02/18/2026,South Carolina,Gardner-Webb,12,2,0,0,W,South Carolina,South-Carolina,Gardner-Webb,0,8,"Columbia, SC / Founders Park",2026,WN2026
02/20/2026,South Carolina,Army,5,9,0,0,L,South Carolina,South-Carolina,Army,0,9,"Columbia, SC / Founders Park",2026,WN2026
02/21/2026,South Carolina,Navy,8,0,0,0,W,South Carolina,South-Carolina,Navy,0,9,"Columbia, SC / Founders Park",2026,WN2026
02/22/2026,South Carolina,Air Force,4,2,0,0,W,South Carolina,South-Carolina,Air-Force,0,9,"Columbia, SC / Founders Park",2026,WN2026
02/25/2026,South Carolina,Queens,8,9,0,0,L,South Carolina,South-Carolina,Queens,0,9,"Columbia, SC / Founders Park",2026,WN2026
02/27/2026,South Carolina,Clemson,7,0,0,0,W,South Carolina,South-Carolina,Clemson,0,9,"Columbia, SC / Founders Park",2026,WN2026
02/28/2026,Clemson,South Carolina,4,1,0,1,L,South Carolina,South-Carolina,Clemson,0,9,"Columbia, SC / Segra Park",2026,WN2026
03/01/2026,Clemson,South Carolina,7,2,0,0,L,South Carolina,South-Carolina,Clemson,1,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
03/03/2026,South Carolina,South Carolina Upstate,12,3,0,0,W,South Carolina,South-Carolina,South-Carolina-Upstate,0,9,"Columbia, SC / Founders Park",2026,WN2026
03/04/2026,South Carolina,Charleston Southern,4,1,0,0,W,South Carolina,South-Carolina,Charleston-Southern,0,9,"Columbia, SC / Founders Park",2026,WN2026
03/07/2026,South Carolina,Princeton,10,7,0,0,W,South Carolina,South-Carolina,Princeton,0,9,"Columbia, SC / Founders Park",2026,WN2026
03/07/2026,South Carolina,Princeton,4,3,0,0,W,South Carolina,South-Carolina,Princeton,0,9,"Columbia, SC / Founders Park",2026,WN2026
03/08/2026,South Carolina,Princeton,13,1,0,0,W,South Carolina,South-Carolina,Princeton,0,7,"Columbia, SC / Founders Park",2026,WN2026
03/10/2026,The Citadel,South Carolina,8,3,0,0,L,South Carolina,South-Carolina,The-Citadel,1,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
03/13/2026,Florida,South Carolina,1,0,0,0,L,South Carolina,South-Carolina,Florida,1,10,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
03/14/2026,Florida,South Carolina,3,0,0,0,L,South Carolina,South-Carolina,Florida,1,9,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
03/15/2026,Florida,South Carolina,13,3,0,0,L,South Carolina,South-Carolina,Florida,1,7,"Gainesville, FL / Condron Family Ballpark",2026,WN2026
03/17/2026,South Carolina,Charlotte,8,11,0,0,L,South Carolina,South-Carolina,Charlotte,0,9,"Columbia, SC / Founders Park",2026,WN2026
03/20/2026,South Carolina,Arkansas,6,22,0,0,L,South Carolina,South-Carolina,Arkansas,0,7,"Columbia, SC / Founders Park",2026,WN2026
03/21/2026,South Carolina,Arkansas,2,3,0,0,L,South Carolina,South-Carolina,Arkansas,0,10,"Columbia, SC / Founders Park",2026,WN2026
03/22/2026,South Carolina,Arkansas,9,4,0,0,W,South Carolina,South-Carolina,Arkansas,0,9,"Columbia, SC / Founders Park",2026,WN2026
03/24/2026,North Carolina,South Carolina,9,1,0,1,L,South Carolina,South-Carolina,North-Carolina,0,9,"Charlotte, NC / Truist Field",2026,WN2026
03/27/2026,Georgia,South Carolina,5,2,0,0,L,South Carolina,South-Carolina,Georgia,1,9,"Athens, GA / Foley Field",2026,WN2026
03/28/2026,Georgia,South Carolina,3,1,0,0,L,South Carolina,South-Carolina,Georgia,1,9,"Athens, GA / Foley Field",2026,WN2026
03/29/2026,Georgia,South Carolina,9,7,0,0,L,South Carolina,South-Carolina,Georgia,1,9,"Athens, GA / Foley Field",2026,WN2026
03/31/2026,South Carolina,Wofford,11,1,0,0,W,South Carolina,South-Carolina,Wofford,0,7,"Columbia, SC / Founders Park",2026,WN2026
04/02/2026,South Carolina,Texas,9,1,0,0,W,South Carolina,South-Carolina,Texas,0,9,"Columbia, SC / Founders Park",2026,WN2026
04/03/2026,South Carolina,Texas,3,5,0,0,L,South Carolina,South-Carolina,Texas,0,9,"Columbia, SC / Founders Park",2026,WN2026
04/04/2026,South Carolina,Texas,1,4,0,0,L,South Carolina,South-Carolina,Texas,0,9,"Columbia, SC / Founders Park",2026,WN2026
04/07/2026,South Carolina,Charleston,4,6,0,0,L,South Carolina,South-Carolina,Charleston,0,9,"Columbia, SC / Founders Park",2026,WN2026
04/09/2026,Missouri,South Carolina,1,5,0,0,W,South Carolina,South-Carolina,Missouri,1,9,"Columbia, MO / Taylor Stadium",2026,WN2026
04/10/2026,Missouri,South Carolina,0,1,0,0,W,South Carolina,South-Carolina,Missouri,1,9,"Columbia, MO / Taylor Stadium",2026,WN2026
04/11/2026,Missouri,South Carolina,4,6,0,0,W,South Carolina,South-Carolina,Missouri,1,9,"Columbia, MO / Taylor Stadium",2026,WN2026
04/14/2026,South Carolina,Davidson,8,6,0,0,W,South Carolina,South-Carolina,Davidson,0,9,"Columbia, SC / Founders Park",2026,WN2026
04/17/2026,South Carolina,Mississippi State,3,5,0,0,L,South Carolina,South-Carolina,Mississippi-State,0,9,"Columbia, SC / Founders Park",2026,WN2026
04/18/2026,South Carolina,Mississippi State,0,9,0,0,L,South Carolina,South-Carolina,Mississippi-State,0,9,"Columbia, SC / Founders Park",2026,WN2026
04/19/2026,South Carolina,Mississippi State,3,4,0,0,L,South Carolina,South-Carolina,Mississippi-State,0,11,"Columbia, SC / Founders Park",2026,WN2026
