Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Southern Miss,UC Santa Barbara,1,5,0,0,L,Southern Miss,Southern-Miss,UC-Santa-Barbara,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
02/14/2026,Southern Miss,UC Santa Barbara,8,6,0,0,W,Southern Miss,Southern-Miss,UC-Santa-Barbara,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
02/15/2026,Southern Miss,UC Santa Barbara,6,5,0,0,W,Southern Miss,Southern-Miss,UC-Santa-Barbara,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
02/17/2026,Southeastern Louisiana,Southern Miss,1,3,0,0,W,Southern Miss,Southern-Miss,Southeastern-Louisiana,1,9,"Hammond, LA / Pat Kenelly Diamond at Alumni Field",2026,WN2026
02/20/2026,Purdue,Southern Miss,4,5,0,1,W,Southern Miss,Southern-Miss,Purdue,0,9,"Round Rock, TX / Dell Diamond",2026,WN2026
02/21/2026,Oregon State,Southern Miss,4,9,0,1,W,Southern Miss,Southern-Miss,Oregon-State,0,9,"Round Rock, TX / Dell Diamond",2026,WN2026
02/22/2026,Baylor,Southern Miss,1,5,0,1,W,Southern Miss,Southern-Miss,Baylor,0,9,"Round Rock, TX / Dell Diamond",2026,WN2026
02/24/2026,Southern Miss,Alabama,14,4,0,0,W,Southern Miss,Southern-Miss,Alabama,0,8,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
02/27/2026,Louisiana Tech,Southern Miss,3,8,0,0,W,Southern Miss,Southern-Miss,Louisiana-Tech,1,9,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
02/28/2026,Louisiana Tech,Southern Miss,0,11,0,0,W,Southern Miss,Southern-Miss,Louisiana-Tech,1,7,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
03/01/2026,Louisiana Tech,Southern Miss,2,6,0,0,W,Southern Miss,Southern-Miss,Louisiana-Tech,1,9,"Ruston, LA / J. C. Love Field at Pat Patterson Park",2026,WN2026
03/03/2026,Southern Miss,Mississippi State,7,6,0,0,W,Southern Miss,Southern-Miss,Mississippi-State,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/04/2026,Southern Miss,Nicholls,2,3,0,0,L,Southern Miss,Southern-Miss,Nicholls,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/06/2026,Southern Miss,North Alabama,9,4,0,0,W,Southern Miss,Southern-Miss,North-Alabama,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/07/2026,Southern Miss,North Alabama,6,1,0,0,W,Southern Miss,Southern-Miss,North-Alabama,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/08/2026,Southern Miss,North Alabama,9,2,0,0,W,Southern Miss,Southern-Miss,North-Alabama,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/10/2026,Southern Miss,Ole Miss,2,1,0,0,W,Southern Miss,Southern-Miss,Ole-Miss,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/13/2026,Arkansas State,Southern Miss,8,5,0,0,L,Southern Miss,Southern-Miss,Arkansas-State,1,9,"Jonesboro, AR / Tomlinson Stadium-Kell Field",2026,WN2026
03/14/2026,Arkansas State,Southern Miss,1,7,0,0,W,Southern Miss,Southern-Miss,Arkansas-State,1,9,"Jonesboro, AR / Tomlinson Stadium-Kell Field",2026,WN2026
03/15/2026,Arkansas State,Southern Miss,5,2,0,0,L,Southern Miss,Southern-Miss,Arkansas-State,1,9,"Jonesboro, AR / Tomlinson Stadium-Kell Field",2026,WN2026
03/17/2026,Nicholls,Southern Miss,0,4,0,1,W,Southern Miss,Southern-Miss,Nicholls,0,9,"Biloxi, MS / Keesler Federal Park",2026,WN2026
03/20/2026,Southern Miss,Troy,5,6,0,0,L,Southern Miss,Southern-Miss,Troy,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/21/2026,Southern Miss,Troy,11,5,0,0,W,Southern Miss,Southern-Miss,Troy,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/22/2026,Southern Miss,Troy,5,4,0,0,W,Southern Miss,Southern-Miss,Troy,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/24/2026,Mississippi State,Southern Miss,12,0,0,0,L,Southern Miss,Southern-Miss,Mississippi-State,1,7,"Starkville, MS / Dudy Noble Field at Polk-DeMent Stadium",2026,WN2026
03/27/2026,Southern Miss,Appalachian State,6,5,0,0,W,Southern Miss,Southern-Miss,Appalachian-State,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/28/2026,Southern Miss,Appalachian State,2,6,0,0,L,Southern Miss,Southern-Miss,Appalachian-State,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/29/2026,Southern Miss,Appalachian State,13,4,0,0,W,Southern Miss,Southern-Miss,Appalachian-State,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
03/31/2026,Southern Miss,Southeastern Louisiana,1,5,0,0,L,Southern Miss,Southern-Miss,Southeastern-Louisiana,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
04/02/2026,Old Dominion,Southern Miss,4,10,0,0,W,Southern Miss,Southern-Miss,Old-Dominion,1,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
04/03/2026,Old Dominion,Southern Miss,10,8,0,0,L,Southern Miss,Southern-Miss,Old-Dominion,1,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
04/04/2026,Old Dominion,Southern Miss,7,8,0,0,W,Southern Miss,Southern-Miss,Old-Dominion,1,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
04/07/2026,Southern Miss,New Orleans,3,2,0,0,W,Southern Miss,Southern-Miss,New-Orleans,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
04/10/2026,Louisiana,Southern Miss,1,8,0,0,W,Southern Miss,Southern-Miss,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
04/11/2026,Louisiana,Southern Miss,8,4,0,0,L,Southern Miss,Southern-Miss,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
04/12/2026,Louisiana,Southern Miss,6,5,0,0,L,Southern Miss,Southern-Miss,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
04/14/2026,Ole Miss,Southern Miss,10,3,0,1,L,Southern Miss,Southern-Miss,Ole-Miss,0,9,"Pearl, MS / Trustmark Park",2026,WN2026
04/17/2026,Southern Miss,Texas State,8,2,0,0,W,Southern Miss,Southern-Miss,Texas-State,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
04/18/2026,Southern Miss,Texas State,6,3,0,0,W,Southern Miss,Southern-Miss,Texas-State,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
04/19/2026,Southern Miss,Texas State,5,4,0,0,W,Southern Miss,Southern-Miss,Texas-State,0,10,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
04/21/2026,Southern Miss,Tulane,5,4,0,0,W,Southern Miss,Southern-Miss,Tulane,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
04/24/2026,South Alabama,Southern Miss,3,4,0,0,W,Southern Miss,Southern-Miss,South-Alabama,1,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
04/25/2026,South Alabama,Southern Miss,7,16,0,0,W,Southern Miss,Southern-Miss,South-Alabama,1,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
04/26/2026,South Alabama,Southern Miss,4,3,0,0,L,Southern Miss,Southern-Miss,South-Alabama,1,9,"Mobile, AL / Eddie Stanky Field",2026,WN2026
04/28/2026,Tulane,Southern Miss,7,6,0,0,L,Southern Miss,Southern-Miss,Tulane,1,9,"New Orleans, LA / Greer Field at Turchin Stadium",2026,WN2026
05/02/2026,Southern Miss,ULM,2,1,0,0,W,Southern Miss,Southern-Miss,ULM,0,11,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
05/02/2026,Southern Miss,ULM,3,1,0,0,W,Southern Miss,Southern-Miss,ULM,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
05/03/2026,Southern Miss,ULM,7,3,0,0,W,Southern Miss,Southern-Miss,ULM,0,9,"Hattiesburg, MS / Pete Taylor Park",2026,WN2026
05/08/2026,James Madison,Southern Miss,5,8,0,0,W,Southern Miss,Southern-Miss,James-Madison,1,9,"Harrisonburg, VA / Eagle Field at Veterans Memorial Park / Box Score",2026,WN2026
05/09/2026,James Madison,Southern Miss,1,11,0,0,W,Southern Miss,Southern-Miss,James-Madison,1,8,"Harrisonburg, VA / Eagle Field at Veterans Memorial Park / Box Score",2026,WN2026
05/10/2026,James Madison,Southern Miss,5,10,0,0,W,Southern Miss,Southern-Miss,James-Madison,1,9,"Harrisonburg, VA / Eagle Field at Veterans Memorial Park / Box Score",2026,WN2026
05/14/2026,Southern Miss,Georgia Southern,14,3,0,0,W,Southern Miss,Southern-Miss,Georgia-Southern,0,7,"Hattiesburg, MS / Pete Taylor Park / Box Score",2026,WN2026
05/15/2026,Southern Miss,Georgia Southern,10,1,0,0,W,Southern Miss,Southern-Miss,Georgia-Southern,0,9,"Hattiesburg, MS / Pete Taylor Park / Box Score",2026,WN2026
