Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,The Citadel,Liberty,3,7,0,0,L,The Citadel,The-Citadel,Liberty,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/14/2026,The Citadel,Liberty,4,3,0,0,W,The Citadel,The-Citadel,Liberty,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/15/2026,The Citadel,Liberty,4,5,0,0,L,The Citadel,The-Citadel,Liberty,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/20/2026,The Citadel,Marshall,4,3,0,0,W,The Citadel,The-Citadel,Marshall,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/21/2026,The Citadel,Marshall,11,6,0,0,W,The Citadel,The-Citadel,Marshall,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/22/2026,The Citadel,Army,14,8,0,0,W,The Citadel,The-Citadel,Army,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
02/28/2026,Florida State,The Citadel,6,2,0,0,L,The Citadel,The-Citadel,Florida-State,1,9,"Tallahassee, FL / Mike Martin Field at Dick Howser Stadium",2026,WN2026
02/28/2026,Florida State,The Citadel,2,1,0,0,L,The Citadel,The-Citadel,Florida-State,1,10,"Tallahassee, FL / Mike Martin Field at Dick Howser Stadium",2026,WN2026
03/01/2026,Florida State,The Citadel,2,0,0,0,L,The Citadel,The-Citadel,Florida-State,1,9,"Tallahassee, FL / Mike Martin Field at Dick Howser Stadium",2026,WN2026
03/04/2026,The Citadel,Georgia Southern,7,1,0,0,W,The Citadel,The-Citadel,Georgia-Southern,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
03/06/2026,Kentucky,The Citadel,10,5,0,0,L,The Citadel,The-Citadel,Kentucky,1,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
03/07/2026,Kentucky,The Citadel,12,7,0,0,L,The Citadel,The-Citadel,Kentucky,1,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
03/08/2026,Kentucky,The Citadel,13,5,0,0,L,The Citadel,The-Citadel,Kentucky,1,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
03/10/2026,The Citadel,South Carolina,8,3,0,0,W,The Citadel,The-Citadel,South-Carolina,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
03/13/2026,Tennessee-Martin,The Citadel,3,2,0,0,L,The Citadel,The-Citadel,Tennessee-Martin,1,9,"Martin, TN / Skyhawk Park",2026,WN2026
03/14/2026,Tennessee-Martin,The Citadel,3,22,0,0,W,The Citadel,The-Citadel,Tennessee-Martin,1,7,"Martin, TN / Skyhawk Park",2026,WN2026
03/15/2026,Tennessee-Martin,The Citadel,4,8,0,0,W,The Citadel,The-Citadel,Tennessee-Martin,1,9,"Martin, TN / Skyhawk Park",2026,WN2026
03/17/2026,Georgia,The Citadel,8,5,0,0,L,The Citadel,The-Citadel,Georgia,1,9,"Athens, GA / Foley Field",2026,WN2026
03/18/2026,The Citadel,Clemson,3,9,0,0,L,The Citadel,The-Citadel,Clemson,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
03/20/2026,Mercer,The Citadel,11,0,0,0,L,The Citadel,The-Citadel,Mercer,1,7,"Macon, GA / Claude Smith Field",2026,WN2026
03/21/2026,Mercer,The Citadel,8,4,0,0,L,The Citadel,The-Citadel,Mercer,1,9,"Macon, GA / Claude Smith Field",2026,WN2026
03/22/2026,Mercer,The Citadel,2,3,0,0,W,The Citadel,The-Citadel,Mercer,1,9,"Macon, GA / Claude Smith Field",2026,WN2026
03/25/2026,The Citadel,Presbyterian College,9,4,0,0,W,The Citadel,The-Citadel,Presbyterian-College,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
03/27/2026,The Citadel,Western Carolina,4,3,0,0,W,The Citadel,The-Citadel,Western-Carolina,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
03/28/2026,The Citadel,Western Carolina,13,9,0,0,W,The Citadel,The-Citadel,Western-Carolina,0,9,"Charleston, SC / Joseph P. Riley Jr. Park",2026,WN2026
