Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,UCLA,UC San Diego,8,4,0,0,L,UC San Diego,UC-San-Diego,UCLA,1,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/14/2026,UCLA,UC San Diego,7,2,0,0,L,UC San Diego,UC-San-Diego,UCLA,1,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/15/2026,UCLA,UC San Diego,7,8,0,0,W,UC San Diego,UC-San-Diego,UCLA,1,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/20/2026,UC San Diego,Creighton,8,7,0,0,W,UC San Diego,UC-San-Diego,Creighton,0,9,"La Jolla, CA / Triton Park",2026,WN2026
02/21/2026,UC San Diego,BYU,7,9,0,0,L,UC San Diego,UC-San-Diego,BYU,0,9,"La Jolla, CA / Triton Park",2026,WN2026
02/22/2026,UC San Diego,Western Michigan,2,5,0,0,L,UC San Diego,UC-San-Diego,Western-Michigan,0,9,"La Jolla, CA / Triton Park",2026,WN2026
02/24/2026,UC San Diego,San Diego,8,7,0,0,W,UC San Diego,UC-San-Diego,San-Diego,0,10,"La Jolla, CA / Triton Park",2026,WN2026
02/27/2026,Louisiana,UC San Diego,3,7,0,0,W,UC San Diego,UC-San-Diego,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
02/28/2026,Louisiana,UC San Diego,8,0,0,0,L,UC San Diego,UC-San-Diego,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
03/01/2026,Louisiana,UC San Diego,4,3,0,0,L,UC San Diego,UC-San-Diego,Louisiana,1,9,"Lafayette, LA / M. L. Tigue Moore Field at Russo Park",2026,WN2026
03/05/2026,Cincinnati,UC San Diego,9,5,0,0,L,UC San Diego,UC-San-Diego,Cincinnati,1,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/06/2026,Cincinnati,UC San Diego,16,1,0,0,L,UC San Diego,UC-San-Diego,Cincinnati,1,7,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/07/2026,Cincinnati,UC San Diego,13,3,0,0,L,UC San Diego,UC-San-Diego,Cincinnati,1,7,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/08/2026,Cincinnati,UC San Diego,9,8,0,0,L,UC San Diego,UC-San-Diego,Cincinnati,1,11,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/13/2026,Cal State Northridge,UC San Diego,16,17,0,0,W,UC San Diego,UC-San-Diego,Cal-State-Northridge,1,9,"Northridge, CA / Matador Field",2026,WN2026
03/14/2026,Cal State Northridge,UC San Diego,4,6,0,0,W,UC San Diego,UC-San-Diego,Cal-State-Northridge,1,9,"Northridge, CA / Matador Field",2026,WN2026
03/15/2026,Cal State Northridge,UC San Diego,4,12,0,0,W,UC San Diego,UC-San-Diego,Cal-State-Northridge,1,9,"Northridge, CA / Matador Field",2026,WN2026
03/20/2026,UC San Diego,UC Riverside,12,6,0,0,W,UC San Diego,UC-San-Diego,UC-Riverside,0,9,"La Jolla, CA / Triton Park",2026,WN2026
03/21/2026,UC San Diego,UC Riverside,4,9,0,0,L,UC San Diego,UC-San-Diego,UC-Riverside,0,9,"La Jolla, CA / Triton Park",2026,WN2026
03/22/2026,UC San Diego,UC Riverside,14,10,0,0,W,UC San Diego,UC-San-Diego,UC-Riverside,0,9,"La Jolla, CA / Triton Park",2026,WN2026
03/24/2026,UC San Diego,Oregon,0,6,0,0,L,UC San Diego,UC-San-Diego,Oregon,0,9,"La Jolla, CA / Triton Park",2026,WN2026
03/25/2026,UC San Diego,Oregon,4,12,0,0,L,UC San Diego,UC-San-Diego,Oregon,0,9,"La Jolla, CA / Triton Park",2026,WN2026
