Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,UCLA,UC San Diego,8,4,0,0,W,UCLA,UCLA,UC-San-Diego,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/14/2026,UCLA,UC San Diego,7,2,0,0,W,UCLA,UCLA,UC-San-Diego,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/15/2026,UCLA,UC San Diego,7,8,0,0,L,UCLA,UCLA,UC-San-Diego,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/17/2026,UCLA,Tulane,13,5,0,0,W,UCLA,UCLA,Tulane,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/20/2026,UCLA,TCU,10,2,0,0,W,UCLA,UCLA,TCU,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/21/2026,UCLA,TCU,5,1,0,0,W,UCLA,UCLA,TCU,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/22/2026,UCLA,TCU,15,5,0,0,W,UCLA,UCLA,TCU,0,8,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/24/2026,UCLA,San Diego State,3,4,0,0,L,UCLA,UCLA,San-Diego-State,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
02/27/2026,Tennessee,UCLA,5,12,0,1,W,UCLA,UCLA,Tennessee,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/28/2026,Texas A&M,UCLA,1,11,0,1,W,UCLA,UCLA,Texas-AM,0,7,"Arlington, TX / Globe Life Field",2026,WN2026
03/01/2026,Mississippi State,UCLA,7,8,0,1,W,UCLA,UCLA,Mississippi-State,0,10,"Arlington, TX / Globe Life Field",2026,WN2026
03/03/2026,UCLA,Cal State Fullerton,4,3,0,0,W,UCLA,UCLA,Cal-State-Fullerton,0,10,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
03/06/2026,Ohio State,UCLA,1,11,0,0,W,UCLA,UCLA,Ohio-State,1,9,"Columbus, OH / Bill Davis Stadium",2026,WN2026
03/07/2026,Ohio State,UCLA,6,19,0,0,W,UCLA,UCLA,Ohio-State,1,8,"Columbus, OH / Bill Davis Stadium",2026,WN2026
03/08/2026,Ohio State,UCLA,7,10,0,0,W,UCLA,UCLA,Ohio-State,1,9,"Columbus, OH / Bill Davis Stadium",2026,WN2026
03/10/2026,UCLA,UC Irvine,11,1,0,0,W,UCLA,UCLA,UC-Irvine,0,7,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
03/13/2026,UCLA,Michigan,10,5,0,0,W,UCLA,UCLA,Michigan,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
03/14/2026,UCLA,Michigan,2,0,0,0,W,UCLA,UCLA,Michigan,0,9,"Los Angeles, CA / Jackie Robinson Stadium",2026,WN2026
