Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/20/2026,Longwood,UMBC,6,4,0,0,L,UMBC,UMBC,Longwood,1,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/21/2026,Longwood,UMBC,4,3,0,0,L,UMBC,UMBC,Longwood,1,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/21/2026,Longwood,UMBC,17,11,0,0,L,UMBC,UMBC,Longwood,1,9,"Farmville, VA / Bolding Stadium",2026,WN2026
02/25/2026,Georgetown,UMBC,7,12,0,0,W,UMBC,UMBC,Georgetown,1,9,"Tysons, VA / Capital One Park",2026,WN2026
02/28/2026,UMBC,Monmouth,4,3,0,0,W,UMBC,UMBC,Monmouth,0,7,"Catonsville, MD / Alumni Field",2026,WN2026
02/28/2026,UMBC,Monmouth,10,9,0,0,W,UMBC,UMBC,Monmouth,0,9,"Catonsville, MD / Alumni Field",2026,WN2026
03/01/2026,UMBC,Monmouth,0,13,0,0,L,UMBC,UMBC,Monmouth,0,8,"Catonsville, MD / Alumni Field",2026,WN2026
03/07/2026,Penn,UMBC,7,6,0,0,L,UMBC,UMBC,Penn,1,9,"Philadelphia, PA / Meiklejohn Stadium",2026,WN2026
03/08/2026,Penn,UMBC,1,4,0,0,W,UMBC,UMBC,Penn,1,10,"Philadelphia, PA / Meiklejohn Stadium",2026,WN2026
03/08/2026,Penn,UMBC,10,5,0,0,L,UMBC,UMBC,Penn,1,9,"Philadelphia, PA / Meiklejohn Stadium",2026,WN2026
03/10/2026,UMBC,Mount Saint Mary's,20,4,0,0,W,UMBC,UMBC,Mount-Saint-Marys,0,7,"Catonsville, MD / Alumni Field",2026,WN2026
03/11/2026,UMBC,Delaware State,14,6,0,0,W,UMBC,UMBC,Delaware-State,0,9,"Catonsville, MD / Alumni Field",2026,WN2026
03/13/2026,FAU,UMBC,10,9,0,0,L,UMBC,UMBC,FAU,1,11,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
03/14/2026,FAU,UMBC,3,14,0,0,W,UMBC,UMBC,FAU,1,9,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
03/15/2026,FAU,UMBC,4,3,0,0,L,UMBC,UMBC,FAU,1,10,"Boca Raton, FL / FAU Baseball Stadium",2026,WN2026
03/20/2026,UMBC,Maine,7,5,0,0,W,UMBC,UMBC,Maine,0,9,"Catonsville, MD / Alumni Field",2026,WN2026
03/21/2026,UMBC,Maine,11,5,0,0,W,UMBC,UMBC,Maine,0,9,"Catonsville, MD / Alumni Field",2026,WN2026
03/22/2026,UMBC,Maine,3,4,0,0,L,UMBC,UMBC,Maine,0,9,"Catonsville, MD / Alumni Field",2026,WN2026
03/24/2026,Coppin State,UMBC,14,24,0,0,W,UMBC,UMBC,Coppin-State,1,9,"Hanover, MD / Joe Cannon Stadium",2026,WN2026
03/27/2026,Albany,UMBC,0,2,0,0,W,UMBC,UMBC,Albany,1,7,"Albany, NY / Varsity Field",2026,WN2026
03/27/2026,Albany,UMBC,3,8,0,0,W,UMBC,UMBC,Albany,1,9,"Albany, NY / Varsity Field",2026,WN2026
03/29/2026,Albany,UMBC,6,8,0,0,W,UMBC,UMBC,Albany,1,9,"Albany, NY / Varsity Field",2026,WN2026
03/31/2026,UMBC,George Washington,7,4,0,0,W,UMBC,UMBC,George-Washington,0,9,"Catonsville, MD / Alumni Field",2026,WN2026
04/02/2026,UMBC,Iona,9,8,0,0,W,UMBC,UMBC,Iona,0,9,"Catonsville, MD / Alumni Field",2026,WN2026
04/03/2026,UMBC,Iona,12,2,0,0,W,UMBC,UMBC,Iona,0,7,"Catonsville, MD / Alumni Field",2026,WN2026
04/04/2026,UMBC,Iona,3,4,0,0,L,UMBC,UMBC,Iona,0,10,"Catonsville, MD / Alumni Field",2026,WN2026
