Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Pacific,Utah Valley,2,3,0,0,W,Utah Valley,Utah-Valley,Pacific,1,11,"Stockton, CA / Klein Family Field",2026,WN2026
02/14/2026,Pacific,Utah Valley,6,9,0,0,W,Utah Valley,Utah-Valley,Pacific,1,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/14/2026,Pacific,Utah Valley,13,7,0,0,L,Utah Valley,Utah-Valley,Pacific,1,9,"Stockton, CA / Klein Family Field",2026,WN2026
02/15/2026,Pacific,Utah Valley,3,2,0,0,L,Utah Valley,Utah-Valley,Pacific,1,10,"Stockton, CA / Klein Family Field",2026,WN2026
02/21/2026,Nevada,Utah Valley,7,4,0,0,L,Utah Valley,Utah-Valley,Nevada,1,9,"Reno, NV / William Peccole Park",2026,WN2026
02/21/2026,Nevada,Utah Valley,9,5,0,0,L,Utah Valley,Utah-Valley,Nevada,1,9,"Reno, NV / William Peccole Park",2026,WN2026
02/22/2026,Nevada,Utah Valley,5,3,0,0,L,Utah Valley,Utah-Valley,Nevada,1,10,"Reno, NV / William Peccole Park",2026,WN2026
02/27/2026,Utah Valley,UC Riverside,9,10,0,0,L,Utah Valley,Utah-Valley,UC-Riverside,0,9,"Orem, UT / UCCU Ballpark",2026,WN2026
02/28/2026,Utah Valley,UC Riverside,11,3,0,0,W,Utah Valley,Utah-Valley,UC-Riverside,0,9,"Orem, UT / UCCU Ballpark",2026,WN2026
02/28/2026,Utah Valley,UC Riverside,7,2,0,0,W,Utah Valley,Utah-Valley,UC-Riverside,0,9,"Orem, UT / UCCU Ballpark",2026,WN2026
03/01/2026,Utah Valley,UC Riverside,13,2,0,0,W,Utah Valley,Utah-Valley,UC-Riverside,0,7,"Orem, UT / UCCU Ballpark",2026,WN2026
03/06/2026,Utah Valley,Northern Colorado,11,6,0,0,W,Utah Valley,Utah-Valley,Northern-Colorado,0,9,"Orem, UT / UCCU Ballpark",2026,WN2026
