Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,VCU,Holy Cross,2,1,0,0,W,VCU,VCU,Holy-Cross,0,9,"Richmond, VA / The Diamond",2026,WN2026
02/14/2026,VCU,Holy Cross,14,1,0,0,W,VCU,VCU,Holy-Cross,0,7,"Richmond, VA / The Diamond",2026,WN2026
02/14/2026,VCU,Holy Cross,19,7,0,0,W,VCU,VCU,Holy-Cross,0,9,"Richmond, VA / The Diamond",2026,WN2026
02/20/2026,Coastal Carolina,VCU,13,2,0,0,L,VCU,VCU,Coastal-Carolina,1,8,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/20/2026,Illinois,VCU,9,4,0,1,L,VCU,VCU,Illinois,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/21/2026,Illinois,VCU,2,3,0,1,W,VCU,VCU,Illinois,0,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/22/2026,Coastal Carolina,VCU,6,3,0,0,L,VCU,VCU,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
02/25/2026,North Carolina,VCU,13,3,0,0,L,VCU,VCU,North-Carolina,1,7,"Chapel Hill, NC / Boshamer Stadium",2026,WN2026
02/27/2026,Virginia,VCU,5,3,0,0,L,VCU,VCU,Virginia,1,9,"Charlottesville, VA / Davenport Field",2026,WN2026
02/28/2026,Virginia,VCU,7,6,0,0,L,VCU,VCU,Virginia,1,11,"Charlottesville, VA / Davenport Field",2026,WN2026
03/01/2026,VCU,Virginia,3,5,0,0,L,VCU,VCU,Virginia,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/03/2026,VCU,William & Mary,9,2,0,0,W,VCU,VCU,William-Mary,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/04/2026,VCU,Old Dominion,10,12,0,0,L,VCU,VCU,Old-Dominion,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/06/2026,VCU,Army,4,3,0,0,W,VCU,VCU,Army,0,10,"Richmond, VA / The Diamond",2026,WN2026
03/07/2026,VCU,Army,11,3,0,0,W,VCU,VCU,Army,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/08/2026,VCU,Army,11,3,0,0,W,VCU,VCU,Army,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/13/2026,VCU,La Salle,6,2,0,0,W,VCU,VCU,La-Salle,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/14/2026,VCU,La Salle,4,3,0,0,W,VCU,VCU,La-Salle,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/15/2026,VCU,La Salle,8,4,0,0,W,VCU,VCU,La-Salle,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/18/2026,Virginia Tech,VCU,11,8,0,0,L,VCU,VCU,Virginia-Tech,1,9,"Blacksburg, VA / English Field",2026,WN2026
03/20/2026,Dayton,VCU,7,17,0,0,W,VCU,VCU,Dayton,1,9,"Dayton, OH / Woerner Field",2026,WN2026
03/21/2026,Dayton,VCU,2,5,0,0,W,VCU,VCU,Dayton,1,10,"Dayton, OH / Woerner Field",2026,WN2026
03/22/2026,Dayton,VCU,14,12,0,0,L,VCU,VCU,Dayton,1,9,"Dayton, OH / Woerner Field",2026,WN2026
03/24/2026,VCU,Norfolk State,3,5,0,0,L,VCU,VCU,Norfolk-State,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/27/2026,VCU,Saint Bonaventure,4,2,0,0,W,VCU,VCU,Saint-Bonaventure,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/28/2026,VCU,Saint Bonaventure,13,3,0,0,W,VCU,VCU,Saint-Bonaventure,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/29/2026,VCU,Saint Bonaventure,6,5,0,0,W,VCU,VCU,Saint-Bonaventure,0,9,"Richmond, VA / The Diamond",2026,WN2026
03/31/2026,VCU,Longwood,6,1,0,0,W,VCU,VCU,Longwood,0,9,"Richmond, VA / The Diamond",2026,WN2026
04/03/2026,Rhode Island,VCU,5,1,0,0,L,VCU,VCU,Rhode-Island,1,9,"Kingston, RI / Bill Beck Field",2026,WN2026
04/04/2026,Rhode Island,VCU,4,2,0,0,L,VCU,VCU,Rhode-Island,1,9,"Kingston, RI / Bill Beck Field",2026,WN2026
04/04/2026,Rhode Island,VCU,7,5,0,0,L,VCU,VCU,Rhode-Island,1,10,"Kingston, RI / Bill Beck Field",2026,WN2026
04/07/2026,Longwood,VCU,4,6,0,0,W,VCU,VCU,Longwood,1,10,"Farmville, VA / Bolding Stadium",2026,WN2026
04/10/2026,Fordham,VCU,3,5,0,0,W,VCU,VCU,Fordham,1,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
04/11/2026,Fordham,VCU,1,13,0,0,W,VCU,VCU,Fordham,1,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
04/12/2026,Fordham,VCU,6,7,0,0,W,VCU,VCU,Fordham,1,9,"Bronx, NY / Jim Houlihan Park",2026,WN2026
04/14/2026,VCU,Virginia,6,2,0,0,W,VCU,VCU,Virginia,0,9,"Richmond, VA / The Diamond",2026,WN2026
04/17/2026,VCU,George Washington,3,4,0,0,L,VCU,VCU,George-Washington,0,9,"Richmond, VA / The Diamond",2026,WN2026
04/18/2026,VCU,George Washington,7,8,0,0,L,VCU,VCU,George-Washington,0,9,"Richmond, VA / The Diamond",2026,WN2026
04/19/2026,VCU,George Washington,3,9,0,0,L,VCU,VCU,George-Washington,0,9,"Richmond, VA / The Diamond",2026,WN2026
04/21/2026,VCU,Virginia Tech,6,8,0,0,L,VCU,VCU,Virginia-Tech,0,9,"Richmond, VA / The Diamond",2026,WN2026
04/24/2026,Richmond,VCU,2,1,0,0,L,VCU,VCU,Richmond,1,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
04/25/2026,Richmond,VCU,8,4,0,0,L,VCU,VCU,Richmond,1,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
04/26/2026,Richmond,VCU,1,2,0,0,W,VCU,VCU,Richmond,1,9,"Richmond, VA / Malcolm U. Pitt Field",2026,WN2026
04/28/2026,Old Dominion,VCU,7,6,0,0,L,VCU,VCU,Old-Dominion,1,9,"Norfolk, VA / Bud Metheny Baseball Complex",2026,WN2026
05/01/2026,VCU,Saint Louis,12,1,0,0,W,VCU,VCU,Saint-Louis,0,9,"Richmond, VA / The Diamond",2026,WN2026
05/01/2026,VCU,Saint Louis,5,1,0,0,W,VCU,VCU,Saint-Louis,0,9,"Richmond, VA / The Diamond",2026,WN2026
05/03/2026,VCU,Saint Louis,10,7,0,0,W,VCU,VCU,Saint-Louis,0,9,"Richmond, VA / The Diamond",2026,WN2026
05/05/2026,Norfolk State,VCU,3,14,0,0,W,VCU,VCU,Norfolk-State,1,7,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
05/08/2026,Saint Joseph's,VCU,6,9,0,0,W,VCU,VCU,Saint-Josephs,1,9,"Merion Station, PA / Smithson Field / Box Score",2026,WN2026
05/08/2026,Saint Joseph's,VCU,6,4,0,0,L,VCU,VCU,Saint-Josephs,1,9,"Merion Station, PA / Smithson Field / Box Score",2026,WN2026
05/10/2026,Saint Joseph's,VCU,5,19,0,0,W,VCU,VCU,Saint-Josephs,1,7,"Merion Station, PA / Smithson Field / Box Score",2026,WN2026
05/14/2026,VCU,Davidson,10,0,0,0,W,VCU,VCU,Davidson,0,9,"Richmond, VA / The Diamond / Box Score",2026,WN2026
05/15/2026,VCU,Davidson,9,7,0,0,W,VCU,VCU,Davidson,0,9,"Richmond, VA / The Diamond / Box Score",2026,WN2026
05/16/2026,VCU,Davidson,12,9,0,0,W,VCU,VCU,Davidson,0,9,"Richmond, VA / The Diamond / Box Score",2026,WN2026
05/20/2026,Davidson,VCU,4,7,0,1,W,VCU,VCU,Davidson,0,9,"Tysons, VA / Capital One Park / Box Score / Recap",2026,WN2026
05/22/2026,Richmond,VCU,4,7,0,1,W,VCU,VCU,Richmond,0,9,"Tysons, VA / Capital One Park / Recap",2026,WN2026
05/22/2026,Rhode Island,VCU,5,4,0,1,L,VCU,VCU,Rhode-Island,0,9,"Tysons, VA / Capital One Park",2026,WN2026
05/23/2026,Saint Joseph's,VCU,3,13,0,1,W,VCU,VCU,Saint-Josephs,0,9,"Tysons, VA / Capital One Park",2026,WN2026
05/23/2026,Rhode Island,VCU,16,18,0,1,W,VCU,VCU,Rhode-Island,0,9,"Tysons, VA / Capital One Park",2026,WN2026
05/24/2026,Rhode Island,VCU,1,9,0,1,W,VCU,VCU,Rhode-Island,0,9,"Tysons, VA / Capital One Park",2026,WN2026
