Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,VMI,Delaware State,10,0,0,0,W,VMI,VMI,Delaware-State,0,7,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/13/2026,VMI,Delaware State,24,4,0,0,W,VMI,VMI,Delaware-State,0,7,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/14/2026,VMI,Delaware State,24,4,0,0,W,VMI,VMI,Delaware-State,0,7,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/14/2026,VMI,Delaware State,9,4,0,0,W,VMI,VMI,Delaware-State,0,9,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/17/2026,Virginia,VMI,5,2,0,0,L,VMI,VMI,Virginia,1,9,"Charlottesville, VA / Davenport Field",2026,WN2026
02/20/2026,VMI,Maryland Eastern Shore,13,3,0,0,W,VMI,VMI,Maryland-Eastern-Shore,0,7,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/21/2026,VMI,Maryland Eastern Shore,7,3,0,0,W,VMI,VMI,Maryland-Eastern-Shore,0,9,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/21/2026,VMI,Maryland Eastern Shore,14,4,0,0,W,VMI,VMI,Maryland-Eastern-Shore,0,7,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/27/2026,VMI,Stonehill,8,2,0,0,W,VMI,VMI,Stonehill,0,9,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/28/2026,VMI,Stonehill,3,0,0,0,W,VMI,VMI,Stonehill,0,9,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
02/28/2026,VMI,Stonehill,5,16,0,0,L,VMI,VMI,Stonehill,0,8,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
03/01/2026,VMI,Stonehill,7,0,0,0,W,VMI,VMI,Stonehill,0,9,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
03/06/2026,VMI,Western Illinois,8,7,0,0,W,VMI,VMI,Western-Illinois,0,9,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
03/06/2026,VMI,Western Illinois,10,7,0,0,W,VMI,VMI,Western-Illinois,0,7,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
03/07/2026,VMI,Western Illinois,16,6,0,0,W,VMI,VMI,Western-Illinois,0,8,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
03/08/2026,VMI,Western Illinois,9,8,0,0,W,VMI,VMI,Western-Illinois,0,9,"Lexington, VA / Gray-Minor Stadium",2026,WN2026
03/11/2026,Norfolk State,VMI,10,15,0,0,W,VMI,VMI,Norfolk-State,1,9,"Norfolk, VA / Marty L. Miller Field",2026,WN2026
