Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Houston,Wake Forest,8,2,0,1,L,Wake Forest,Wake-Forest,Houston,0,9,"Ponce, PR",2026,WN2026
02/14/2026,Washington,Wake Forest,0,5,0,1,W,Wake Forest,Wake-Forest,Washington,0,9,"Caguas, PR",2026,WN2026
02/15/2026,Indiana State,Wake Forest,1,10,0,1,W,Wake Forest,Wake-Forest,Indiana-State,0,9,"Ponce, PR",2026,WN2026
02/17/2026,Wake Forest,High Point,7,6,0,0,W,Wake Forest,Wake-Forest,High-Point,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
02/20/2026,Wake Forest,Siena,11,7,0,0,W,Wake Forest,Wake-Forest,Siena,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
02/21/2026,Wake Forest,Siena,8,1,0,0,W,Wake Forest,Wake-Forest,Siena,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
02/22/2026,Wake Forest,Siena,15,1,0,0,W,Wake Forest,Wake-Forest,Siena,0,7,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
02/24/2026,UNCG,Wake Forest,1,5,0,0,W,Wake Forest,Wake-Forest,UNCG,1,9,"Greensboro, NC / UNCG Baseball Stadium",2026,WN2026
02/27/2026,Wake Forest,Davidson,7,1,0,0,W,Wake Forest,Wake-Forest,Davidson,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
02/27/2026,Wake Forest,Loyola-Marymount,12,2,0,0,W,Wake Forest,Wake-Forest,Loyola-Marymount,0,8,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
02/28/2026,Wake Forest,Loyola-Marymount,15,4,0,0,W,Wake Forest,Wake-Forest,Loyola-Marymount,0,7,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/01/2026,Wake Forest,Davidson,16,6,0,0,W,Wake Forest,Wake-Forest,Davidson,0,7,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/04/2026,Appalachian State,Wake Forest,8,9,0,0,W,Wake Forest,Wake-Forest,Appalachian-State,1,9,"Boone, NC / Beaver Field at Jim and Bettie Smith Stadium",2026,WN2026
03/06/2026,Wake Forest,Stanford,7,4,0,0,W,Wake Forest,Wake-Forest,Stanford,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/07/2026,Wake Forest,Stanford,12,9,0,0,W,Wake Forest,Wake-Forest,Stanford,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/07/2026,Wake Forest,Stanford,14,10,0,0,W,Wake Forest,Wake-Forest,Stanford,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/10/2026,Coastal Carolina,Wake Forest,10,4,0,0,L,Wake Forest,Wake-Forest,Coastal-Carolina,1,9,"Conway, SC / Springs Brooks Stadium",2026,WN2026
03/13/2026,Wake Forest,Florida State,0,10,0,0,L,Wake Forest,Wake-Forest,Florida-State,0,7,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/14/2026,Wake Forest,Florida State,0,2,0,0,L,Wake Forest,Wake-Forest,Florida-State,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/15/2026,Wake Forest,Florida State,6,12,0,0,L,Wake Forest,Wake-Forest,Florida-State,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/17/2026,Wake Forest,Liberty,11,0,0,0,W,Wake Forest,Wake-Forest,Liberty,0,7,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/20/2026,Virginia,Wake Forest,10,6,0,0,L,Wake Forest,Wake-Forest,Virginia,1,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/21/2026,Virginia,Wake Forest,4,13,0,0,W,Wake Forest,Wake-Forest,Virginia,1,9,"Charlottesville, VA / Davenport Field",2026,WN2026
03/22/2026,Virginia,Wake Forest,14,4,0,0,L,Wake Forest,Wake-Forest,Virginia,1,8,"Charlottesville, VA / Davenport Field",2026,WN2026
03/24/2026,Wake Forest,Elon,11,1,0,0,W,Wake Forest,Wake-Forest,Elon,0,7,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/28/2026,Wake Forest,California,9,5,0,0,W,Wake Forest,Wake-Forest,California,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/28/2026,Wake Forest,California,4,1,0,0,W,Wake Forest,Wake-Forest,California,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/29/2026,Wake Forest,California,3,5,0,0,L,Wake Forest,Wake-Forest,California,0,9,"Winston-Salem, NC / David F. Couch Ballpark",2026,WN2026
03/31/2026,High Point,Wake Forest,1,0,0,0,L,Wake Forest,Wake-Forest,High-Point,1,9,"High Point, NC / George S. Erath Field at Coy O. Williard Baseball Stadium",2026,WN2026
04/01/2026,Clemson,Wake Forest,4,15,0,1,W,Wake Forest,Wake-Forest,Clemson,0,7,"Charlotte, NC",2026,WN2026
04/03/2026,Pittsburgh,Wake Forest,2,8,0,0,W,Wake Forest,Wake-Forest,Pittsburgh,1,9,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
04/04/2026,Pittsburgh,Wake Forest,8,22,0,0,W,Wake Forest,Wake-Forest,Pittsburgh,1,7,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
04/05/2026,Pittsburgh,Wake Forest,4,3,0,0,L,Wake Forest,Wake-Forest,Pittsburgh,1,9,"Pittsburgh, PA / Charles L. Cost Field",2026,WN2026
