Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Alabama,Washington State,4,8,0,0,W,Washington State,Washington-State,Alabama,1,9,"Tuscaloosa, AL / Sewell-Thomas Stadium",2026,WN2026
02/14/2026,Alabama,Washington State,8,1,0,0,L,Washington State,Washington-State,Alabama,1,9,"Tuscaloosa, AL / Sewell-Thomas Stadium",2026,WN2026
02/14/2026,Alabama,Washington State,11,1,0,0,L,Washington State,Washington-State,Alabama,1,7,"Tuscaloosa, AL / Sewell-Thomas Stadium",2026,WN2026
02/20/2026,Cal Poly,Washington State,9,0,0,0,L,Washington State,Washington-State,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/21/2026,Cal Poly,Washington State,3,2,0,0,L,Washington State,Washington-State,Cal-Poly,1,10,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/22/2026,Cal Poly,Washington State,3,8,0,0,W,Washington State,Washington-State,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/23/2026,Cal Poly,Washington State,4,5,0,0,W,Washington State,Washington-State,Cal-Poly,1,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/26/2026,BYU,Washington State,6,4,0,1,L,Washington State,Washington-State,BYU,0,9,"Long Beach, CA",2026,WN2026
02/27/2026,Long Beach State,Washington State,4,10,0,0,W,Washington State,Washington-State,Long-Beach-State,1,9,"Long Beach, CA / Blair Field",2026,WN2026
02/27/2026,BYU,Washington State,5,4,0,1,L,Washington State,Washington-State,BYU,0,9,"Long Beach, CA",2026,WN2026
03/01/2026,Long Beach State,Washington State,7,9,0,0,W,Washington State,Washington-State,Long-Beach-State,1,9,"Long Beach, CA / Blair Field",2026,WN2026
03/05/2026,Texas State,Washington State,13,11,0,0,L,Washington State,Washington-State,Texas-State,1,9,"San Marcos, TX / Bobcat Ballpark",2026,WN2026
03/06/2026,Texas State,Washington State,7,9,0,0,W,Washington State,Washington-State,Texas-State,1,9,"San Marcos, TX / Bobcat Ballpark",2026,WN2026
03/06/2026,Texas State,Washington State,10,4,0,0,L,Washington State,Washington-State,Texas-State,1,9,"San Marcos, TX / Bobcat Ballpark",2026,WN2026
03/08/2026,Texas State,Washington State,4,3,0,0,L,Washington State,Washington-State,Texas-State,1,9,"San Marcos, TX / Bobcat Ballpark",2026,WN2026
03/13/2026,San Diego State,Washington State,14,4,0,0,L,Washington State,Washington-State,San-Diego-State,1,8,"San Diego, CA / Tony Gwynn Stadium",2026,WN2026
03/14/2026,San Diego State,Washington State,2,7,0,0,W,Washington State,Washington-State,San-Diego-State,1,9,"San Diego, CA / Tony Gwynn Stadium",2026,WN2026
03/15/2026,San Diego State,Washington State,15,10,0,0,L,Washington State,Washington-State,San-Diego-State,1,9,"San Diego, CA / Tony Gwynn Stadium",2026,WN2026
03/17/2026,Utah,Washington State,8,5,0,0,L,Washington State,Washington-State,Utah,1,9,"Salt Lake City, UT / America First Ballpark",2026,WN2026
03/20/2026,Washington State,Grand Canyon,7,3,0,0,W,Washington State,Washington-State,Grand-Canyon,0,9,"Pullman, WA / Bailey-Brayton Field",2026,WN2026
03/21/2026,Washington State,Grand Canyon,6,5,0,0,W,Washington State,Washington-State,Grand-Canyon,0,10,"Pullman, WA / Bailey-Brayton Field",2026,WN2026
03/22/2026,Washington State,Grand Canyon,6,2,0,0,W,Washington State,Washington-State,Grand-Canyon,0,9,"Pullman, WA / Bailey-Brayton Field",2026,WN2026
03/25/2026,Gonzaga,Washington State,19,8,0,0,L,Washington State,Washington-State,Gonzaga,1,7,"Spokane, WA / Washington Trust Field and Patterson Baseball Complex",2026,WN2026
03/27/2026,Washington State,Nevada,12,6,0,0,W,Washington State,Washington-State,Nevada,0,9,"Pullman, WA / Bailey-Brayton Field",2026,WN2026
03/28/2026,Washington State,Nevada,4,5,0,0,L,Washington State,Washington-State,Nevada,0,9,"Pullman, WA / Bailey-Brayton Field",2026,WN2026
03/29/2026,Washington State,Nevada,5,12,0,0,L,Washington State,Washington-State,Nevada,0,9,"Pullman, WA / Bailey-Brayton Field",2026,WN2026
03/31/2026,Seattle University,Washington State,0,10,0,0,W,Washington State,Washington-State,Seattle-University,1,7,"Bellevue, WA / Bannerwood Park",2026,WN2026
