Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Georgia Southern,West Virginia,3,15,0,0,W,West Virginia,West-Virginia,Georgia-Southern,1,9,"Statesboro, GA / J. I. Clements Stadium",2026,WN2026
02/14/2026,Georgia Southern,West Virginia,10,11,0,0,W,West Virginia,West-Virginia,Georgia-Southern,1,9,"Statesboro, GA / J. I. Clements Stadium",2026,WN2026
02/14/2026,Georgia Southern,West Virginia,2,5,0,0,W,West Virginia,West-Virginia,Georgia-Southern,1,9,"Statesboro, GA / J. I. Clements Stadium",2026,WN2026
02/20/2026,Liberty,West Virginia,0,12,0,0,W,West Virginia,West-Virginia,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/21/2026,Liberty,West Virginia,0,2,0,0,W,West Virginia,West-Virginia,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/21/2026,Liberty,West Virginia,4,1,0,0,L,West Virginia,West-Virginia,Liberty,1,9,"Lynchburg, VA / Liberty Baseball Stadium",2026,WN2026
02/25/2026,West Virginia,Ohio,19,6,0,0,W,West Virginia,West-Virginia,Ohio,0,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
02/27/2026,Kennesaw State,West Virginia,4,12,0,0,W,West Virginia,West-Virginia,Kennesaw-State,1,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
02/28/2026,Kennesaw State,West Virginia,1,9,0,0,W,West Virginia,West-Virginia,Kennesaw-State,1,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/01/2026,Kennesaw State,West Virginia,7,6,0,0,L,West Virginia,West-Virginia,Kennesaw-State,1,9,"Kennesaw, GA / Mickey Dunn Stadium",2026,WN2026
03/06/2026,West Virginia,Columbia,4,7,0,0,L,West Virginia,West-Virginia,Columbia,0,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/07/2026,West Virginia,Columbia,9,5,0,0,W,West Virginia,West-Virginia,Columbia,0,10,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/08/2026,West Virginia,Columbia,16,1,0,0,W,West Virginia,West-Virginia,Columbia,0,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/10/2026,West Virginia,Maryland,10,3,0,0,W,West Virginia,West-Virginia,Maryland,0,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/13/2026,Baylor,West Virginia,7,6,0,0,L,West Virginia,West-Virginia,Baylor,1,9,"Waco, TX / Baylor Ballpark",2026,WN2026
03/14/2026,Baylor,West Virginia,2,13,0,0,W,West Virginia,West-Virginia,Baylor,1,7,"Waco, TX / Baylor Ballpark",2026,WN2026
03/15/2026,Baylor,West Virginia,0,8,0,0,W,West Virginia,West-Virginia,Baylor,1,9,"Waco, TX / Baylor Ballpark",2026,WN2026
03/19/2026,West Virginia,BYU,7,4,0,0,W,West Virginia,West-Virginia,BYU,0,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/20/2026,West Virginia,BYU,12,10,0,0,W,West Virginia,West-Virginia,BYU,0,9,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/21/2026,West Virginia,BYU,11,1,0,0,W,West Virginia,West-Virginia,BYU,0,8,"Granville, WV / Monongalia County Ballpark",2026,WN2026
03/24/2026,Marshall,West Virginia,0,3,0,0,W,West Virginia,West-Virginia,Marshall,1,9,"Huntington, WV / Jack Cook Field",2026,WN2026
