Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Winthrop,Georgetown,13,2,0,0,W,Winthrop,Winthrop,Georgetown,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
02/14/2026,Winthrop,Georgetown,13,3,0,0,W,Winthrop,Winthrop,Georgetown,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
02/14/2026,Winthrop,Georgetown,3,8,0,0,L,Winthrop,Winthrop,Georgetown,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
02/18/2026,North Carolina State,Winthrop,7,3,0,0,L,Winthrop,Winthrop,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
02/20/2026,Winthrop,Morehead State,10,0,0,0,W,Winthrop,Winthrop,Morehead-State,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
02/21/2026,Winthrop,Morehead State,19,4,0,0,W,Winthrop,Winthrop,Morehead-State,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
02/22/2026,Winthrop,Morehead State,4,3,0,0,W,Winthrop,Winthrop,Morehead-State,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
02/23/2026,Winthrop,Marshall,11,7,0,0,W,Winthrop,Winthrop,Marshall,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
02/27/2026,Winthrop,Maine,7,4,0,0,W,Winthrop,Winthrop,Maine,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
02/28/2026,Winthrop,Maine,7,2,0,0,W,Winthrop,Winthrop,Maine,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
03/01/2026,Winthrop,Maine,9,6,0,0,W,Winthrop,Winthrop,Maine,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
03/03/2026,Michigan State,Winthrop,2,5,0,1,W,Winthrop,Winthrop,Michigan-State,0,9,"Greenville, SC / Fluor Field",2026,WN2026
03/06/2026,Auburn,Winthrop,10,0,0,0,L,Winthrop,Winthrop,Auburn,1,7,"Auburn, AL / Plainsman Park",2026,WN2026
03/07/2026,Auburn,Winthrop,6,0,0,0,L,Winthrop,Winthrop,Auburn,1,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/07/2026,Auburn,Winthrop,8,1,0,0,L,Winthrop,Winthrop,Auburn,1,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/10/2026,Winthrop,Princeton,3,10,0,0,L,Winthrop,Winthrop,Princeton,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
03/11/2026,Winthrop,Princeton,11,0,0,0,W,Winthrop,Winthrop,Princeton,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
03/13/2026,Winthrop,Radford,10,9,0,0,W,Winthrop,Winthrop,Radford,0,14,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
03/14/2026,Winthrop,Radford,6,5,0,0,W,Winthrop,Winthrop,Radford,0,10,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
03/15/2026,Winthrop,Radford,9,7,0,0,W,Winthrop,Winthrop,Radford,0,9,"Rock Hill, SC / Winthrop Ballpark",2026,WN2026
