"","final.elos(elo_optim)","school"
"1",1476.11264213233,"A&M-Corpus Christi"
"2",1526.49582437091,"Abilene Christian"
"3",1405.13720838966,"Air Force"
"4",1360.74313184382,"Akron"
"5",1801.83210064622,"Alabama"
"6",986.996847163932,"Alabama A&M"
"7",1397.96759685987,"Alabama St."
"8",922.837893202488,"Alcorn"
"9",1452.13647680549,"App State"
"10",1786.24218010041,"Arizona"
"11",1631.0988509021,"Arizona St."
"12",1227.4101497986,"Ark.-Pine Bluff"
"13",1848.41456478369,"Arkansas"
"14",1516.26906774808,"Arkansas St."
"15",1472.34385120383,"Army West Point"
"16",1812.42311631437,"Auburn"
"17",1598.75448115044,"Austin Peay"
"18",1483.97269456102,"Ball St."
"19",1604.76355305222,"Baylor"
"20",1334.32069942542,"Bellarmine"
"21",1456.31275909641,"Belmont"
"22",1542.1362907794,"Bethune-Cookman"
"23",1506.9278205513,"Binghamton"
"24",1629.56384604689,"Boston College"
"25",1437.4221538817,"Bowling Green"
"26",1381.15661890058,"Bradley"
"27",1299.02930686198,"Brown"
"28",1580.11554506669,"Bryant"
"29",1374.54565532536,"Bucknell"
"30",1323.19349170158,"Butler"
"31",1616.24784312141,"BYU"
"32",1762.92245830592,"Cal Poly"
"33",1592.78451166643,"Cal St. Fullerton"
"34",1619.04634736921,"California"
"35",1466.55002359833,"California Baptist"
"36",1530.07166972877,"Campbell"
"37",1283.36895753005,"Canisius"
"38",1322.50539795119,"Central Ark."
"39",1458.30802784256,"Central Conn. St."
"40",1334.53226234699,"Central Mich."
"41",1524.72241928264,"Charleston So."
"42",1633.08509211434,"Charlotte"
"43",1680.95703323398,"Cincinnati"
"44",1849.81413646245,"Clemson"
"45",1892.21597259716,"Coastal Carolina"
"46",1638.70083904952,"Col. of Charleston"
"47",1644.63019350994,"Columbia"
"48",1147.90615634843,"Coppin St."
"49",1311.54679297166,"Cornell"
"50",1765.71365941745,"Creighton"
"51",1361.11503714237,"CSU Bakersfield"
"52",1454.34497419683,"CSUN"
"53",1313.09210400295,"Dartmouth"
"54",1491.41001459765,"Davidson"
"55",1412.96368840085,"Dayton"
"56",1721.41695531665,"DBU"
