"Date","year","team","opponent","team_score","opponent_score","team_won","is_home","neutral_site","doubleheader_game","team_elo_after","team_elo_change","opponent_elo_after","win_probability"
2021-02-21,2021,"A&M-Corpus Christi","Central Mich.",4,3,1,1,0,0,1512.83796262089,12.8379626208935,1487.16203737911,0.557311633762293
2021-02-21,2021,"A&M-Corpus Christi","Central Mich.",5,1,1,1,0,2,1524.62920722158,11.7912446006849,1475.37079277842,0.593405358597072
2021-02-22,2021,"A&M-Corpus Christi","Central Mich.",6,3,1,1,0,0,1535.48391178424,10.8547045626623,1464.51608821576,0.625699842666819
2021-02-23,2021,"A&M-Corpus Christi","Houston",8,12,0,0,0,0,1522.64594916335,-12.8379626208935,1548.32187440513,0.442688366237707
2021-02-26,2021,"A&M-Corpus Christi","Houston",3,2,1,1,0,0,1536.54848162147,13.9025324581259,1534.41934194701,0.520602329030141
2021-02-27,2021,"A&M-Corpus Christi","Houston",1,14,0,1,0,0,1520.29881608508,-16.2496655363912,1550.6690074834,0.560333294358316
2021-02-28,2021,"A&M-Corpus Christi","Houston",3,4,0,1,0,0,1505.39702511909,-14.9017909659954,1565.57079844939,0.513854860896391
2021-03-02,2021,"A&M-Corpus Christi","Texas",1,12,0,0,0,0,1490.5109380492,-14.8860870698902,1471.02986379787,0.513313347237593
2021-03-05,2021,"A&M-Corpus Christi","TCU",5,15,0,1,1,0,1476.44306496481,-14.0678730843829,1554.93610351443,0.485099071875273
2021-03-05,2021,"A&M-Corpus Christi","TCU",5,15,0,0,1,0,1466.70507968021,-9.7379852846065,1564.67408879904,0.335792596020914
2021-03-06,2021,"A&M-Corpus Christi","Rice",5,16,0,1,1,0,1450.12779755495,-16.5772821252589,1473.16367925271,0.571630418112374
2021-03-06,2021,"A&M-Corpus Christi","Rice",5,16,0,0,1,0,1438.23006844032,-11.8977291146253,1485.06140836734,0.410266521193977
2021-03-07,2021,"A&M-Corpus Christi","Texas Tech",3,4,0,1,1,0,1426.27075031188,-11.9593181284393,1551.70160661912,0.41239028029101
2021-03-07,2021,"A&M-Corpus Christi","Texas Tech",3,4,0,0,1,0,1418.19647751189,-8.07427279998971,1559.77587941911,0.278423199999645
2021-03-09,2021,"A&M-Corpus Christi","Texas A&M",0,7,0,0,0,0,1410.72281406132,-7.47366345057818,1569.44477648875,0.257712532778558
2021-03-12,2021,"A&M-Corpus Christi","McNeese",2,4,0,0,0,0,1401.14860387537,-9.57421018594599,1503.20731541367,0.330145178825724
2021-03-13,2021,"A&M-Corpus Christi","McNeese",8,9,0,0,0,0,1392.26763591311,-8.88096796226263,1512.08828337593,0.30624027456078
2021-03-14,2021,"A&M-Corpus Christi","McNeese",7,12,0,0,0,0,1384.00386643867,-8.26376947443768,1520.35205285037,0.284957568084058
2021-03-19,2021,"A&M-Corpus Christi","UTSA",5,11,0,1,0,0,1371.88094414882,-12.1229222898524,1493.60276026126,0.41803180309836
2021-03-20,2021,"A&M-Corpus Christi","UTSA",4,7,0,1,0,0,1360.73001473462,-11.1509294141965,1504.75368967546,0.384514807386086
2021-03-21,2021,"A&M-Corpus Christi","UTSA",1,10,0,1,0,0,1350.44614033766,-10.2838743969576,1515.03756407241,0.354616358515779
2021-03-26,2021,"A&M-Corpus Christi","Sam Houston",2,13,0,0,0,0,1341.09493704032,-9.35120329733941,1448.78472781826,0.322455286115152
2021-03-27,2021,"A&M-Corpus Christi","Sam Houston",12,6,1,0,0,1,1361.41242304076,20.317486000435,1428.46724181783,0.299397034467757
2021-03-27,2021,"A&M-Corpus Christi","Sam Houston",4,9,0,0,0,2,1351.24406026181,-10.1683627789455,1438.63560459678,0.350633199273984
2021-03-28,2021,"A&M-Corpus Christi","Sam Houston",6,7,0,0,0,0,1341.83455860764,-9.40950165417611,1448.04510625095,0.324465574281935
2021-04-01,2021,"A&M-Corpus Christi","New Orleans",4,5,0,1,0,0,1330.59230809848,-11.2422505091608,1472.49067580236,0.387663810660718
2021-04-02,2021,"A&M-Corpus Christi","New Orleans",6,4,1,1,0,2,1349.22709076272,18.6347826642453,1453.85589313812,0.357421287439818
2021-04-02,2021,"A&M-Corpus Christi","New Orleans",6,7,0,1,0,1,1337.39364662138,-11.8334441413399,1465.68933727946,0.408049797977238
2021-04-03,2021,"A&M-Corpus Christi","New Orleans",4,6,0,1,0,0,1326.50127662428,-10.8923699971041,1476.58170727656,0.375598965417382
