Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Presbyterian College,Akron,8,6,0,0,L,Akron,Akron,Presbyterian-College,1,7,"Clinton, SC / Presbyterian Baseball Complex",2026,WN2026
02/13/2026,Presbyterian College,Akron,8,6,0,0,L,Akron,Akron,Presbyterian-College,1,9,"Clinton, SC / Presbyterian Baseball Complex",2026,WN2026
02/14/2026,Presbyterian College,Akron,7,8,0,0,W,Akron,Akron,Presbyterian-College,1,7,"Clinton, SC / Presbyterian Baseball Complex",2026,WN2026
02/14/2026,Presbyterian College,Akron,2,9,0,0,W,Akron,Akron,Presbyterian-College,1,9,"Clinton, SC / Presbyterian Baseball Complex",2026,WN2026
02/20/2026,Western Illinois,Akron,16,8,0,1,L,Akron,Akron,Western-Illinois,0,9,"Millington, TN / Team USA Complex",2026,WN2026
02/21/2026,Western Illinois,Akron,0,5,0,1,W,Akron,Akron,Western-Illinois,0,9,"Millington, TN / Team USA Complex",2026,WN2026
02/22/2026,Western Illinois,Akron,16,8,0,1,L,Akron,Akron,Western-Illinois,0,9,"Millington, TN / Team USA Complex",2026,WN2026
02/24/2026,Western Carolina,Akron,12,2,0,0,L,Akron,Akron,Western-Carolina,1,8,"Cullowhee, NC / Hennon Stadium",2026,WN2026
02/25/2026,North Carolina State,Akron,18,3,0,0,L,Akron,Akron,North-Carolina-State,1,7,"Raleigh, NC / Doak Field",2026,WN2026
02/28/2026,North Carolina A&T,Akron,12,14,0,0,W,Akron,Akron,North-Carolina-AT,1,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
02/28/2026,North Carolina A&T,Akron,4,6,0,0,W,Akron,Akron,North-Carolina-AT,1,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/01/2026,North Carolina A&T,Akron,4,5,0,0,W,Akron,Akron,North-Carolina-AT,1,9,"Greensboro, NC / World War Memorial Stadium",2026,WN2026
03/04/2026,Akron,Dayton,11,14,0,0,L,Akron,Akron,Dayton,0,9,"Akron, OH / Skeeles Field",2026,WN2026
03/06/2026,Akron,Western Michigan,3,4,0,0,L,Akron,Akron,Western-Michigan,0,9,"Akron, OH / Skeeles Field",2026,WN2026
03/07/2026,Akron,Western Michigan,1,4,0,0,L,Akron,Akron,Western-Michigan,0,9,"Akron, OH / Skeeles Field",2026,WN2026
03/08/2026,Akron,Western Michigan,3,2,0,0,W,Akron,Akron,Western-Michigan,0,9,"Akron, OH / Skeeles Field",2026,WN2026
03/13/2026,Akron,UMass,12,2,0,0,W,Akron,Akron,UMass,0,7,"Akron, OH / Skeeles Field",2026,WN2026
03/14/2026,Akron,UMass,4,5,0,0,L,Akron,Akron,UMass,0,9,"Akron, OH / Skeeles Field",2026,WN2026
