Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Texas Southern,Alabama A&M,6,4,0,1,L,Alabama A&M,Alabama-AM,Texas-Southern,0,9,"Pearl, MS / Trustmark Park",2026,WN2026
02/14/2026,Jackson State,Alabama A&M,6,1,0,1,L,Alabama A&M,Alabama-AM,Jackson-State,0,9,"Pearl, MS / Trustmark Park",2026,WN2026
02/15/2026,Grambling State,Alabama A&M,9,7,0,1,L,Alabama A&M,Alabama-AM,Grambling-State,0,9,"Pearl, MS / Trustmark Park",2026,WN2026
02/17/2026,Middle Tennessee,Alabama A&M,19,2,0,0,L,Alabama A&M,Alabama-AM,Middle-Tennessee,1,7,"Murfreesboro, TN / Reese Smith Jr. Field",2026,WN2026
02/20/2026,New Orleans,Alabama A&M,8,10,0,0,W,Alabama A&M,Alabama-AM,New-Orleans,1,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/21/2026,ULM,Alabama A&M,7,11,0,1,W,Alabama A&M,Alabama-AM,ULM,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/22/2026,Northern Kentucky,Alabama A&M,8,5,0,1,L,Alabama A&M,Alabama-AM,Northern-Kentucky,0,9,"New Orleans, LA / Maestri Field",2026,WN2026
02/25/2026,Alabama A&M,Illinois State,2,14,0,0,L,Alabama A&M,Alabama-AM,Illinois-State,0,8,"Huntsville, AL / Bulldog Field",2026,WN2026
02/27/2026,Notre Dame,Alabama A&M,19,2,0,1,L,Alabama A&M,Alabama-AM,Notre-Dame,0,7,"Cookeville, TN / Bush Stadium",2026,WN2026
02/28/2026,Tennessee Tech,Alabama A&M,7,4,0,0,L,Alabama A&M,Alabama-AM,Tennessee-Tech,1,9,"Cookeville, TN / Bush Stadium at Averitt Express Baseball Complex",2026,WN2026
03/01/2026,UIC,Alabama A&M,4,5,0,1,W,Alabama A&M,Alabama-AM,UIC,0,9,"Cookeville, TN / Bush Stadium",2026,WN2026
03/06/2026,UNC Asheville,Alabama A&M,8,4,0,0,L,Alabama A&M,Alabama-AM,UNC-Asheville,1,9,"Asheville, NC / Greenwood Baseball Field",2026,WN2026
03/07/2026,UNC Asheville,Alabama A&M,6,1,0,0,L,Alabama A&M,Alabama-AM,UNC-Asheville,1,7,"Asheville, NC / Greenwood Baseball Field",2026,WN2026
03/07/2026,UNC Asheville,Alabama A&M,11,7,0,0,L,Alabama A&M,Alabama-AM,UNC-Asheville,1,9,"Asheville, NC / Greenwood Baseball Field",2026,WN2026
03/08/2026,UNC Asheville,Alabama A&M,12,7,0,0,L,Alabama A&M,Alabama-AM,UNC-Asheville,1,9,"Asheville, NC / Greenwood Baseball Field",2026,WN2026
