Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Auburn,Youngstown State,2,1,0,0,W,Auburn,Auburn,Youngstown-State,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
02/14/2026,Auburn,Youngstown State,2,1,0,0,W,Auburn,Auburn,Youngstown-State,0,10,"Auburn, AL / Plainsman Park",2026,WN2026
02/14/2026,Auburn,Youngstown State,17,2,0,0,W,Auburn,Auburn,Youngstown-State,0,7,"Auburn, AL / Plainsman Park",2026,WN2026
02/17/2026,Auburn,Cincinnati,0,8,0,0,L,Auburn,Auburn,Cincinnati,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
02/20/2026,Kansas State,Auburn,1,5,0,1,W,Auburn,Auburn,Kansas-State,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/21/2026,Florida State,Auburn,5,8,0,1,W,Auburn,Auburn,Florida-State,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/22/2026,Louisville,Auburn,6,10,0,1,W,Auburn,Auburn,Louisville,0,9,"Arlington, TX / Globe Life Field",2026,WN2026
02/25/2026,Auburn,West Georgia,4,3,0,0,W,Auburn,Auburn,West-Georgia,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
02/27/2026,Auburn,Nebraska,8,9,0,0,L,Auburn,Auburn,Nebraska,0,10,"Auburn, AL / Plainsman Park",2026,WN2026
02/28/2026,Auburn,Nebraska,15,4,0,0,W,Auburn,Auburn,Nebraska,0,7,"Auburn, AL / Plainsman Park",2026,WN2026
03/01/2026,Auburn,Nebraska,12,3,0,0,W,Auburn,Auburn,Nebraska,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/03/2026,Auburn,Samford,6,2,0,0,W,Auburn,Auburn,Samford,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/06/2026,Auburn,Winthrop,10,0,0,0,W,Auburn,Auburn,Winthrop,0,7,"Auburn, AL / Plainsman Park",2026,WN2026
03/07/2026,Auburn,Winthrop,6,0,0,0,W,Auburn,Auburn,Winthrop,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/07/2026,Auburn,Winthrop,8,1,0,0,W,Auburn,Auburn,Winthrop,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/10/2026,Auburn,UAB,17,2,0,0,W,Auburn,Auburn,UAB,0,7,"Auburn, AL / Plainsman Park",2026,WN2026
03/13/2026,Missouri,Auburn,0,2,0,0,W,Auburn,Auburn,Missouri,1,9,"Columbia, MO / Taylor Stadium",2026,WN2026
03/14/2026,Missouri,Auburn,3,4,0,0,W,Auburn,Auburn,Missouri,1,10,"Columbia, MO / Taylor Stadium",2026,WN2026
03/14/2026,Missouri,Auburn,2,9,0,0,W,Auburn,Auburn,Missouri,1,9,"Columbia, MO / Taylor Stadium",2026,WN2026
03/17/2026,Auburn,Georgia Tech,9,2,0,0,W,Auburn,Auburn,Georgia-Tech,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/20/2026,Auburn,Texas,4,3,0,0,W,Auburn,Auburn,Texas,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/21/2026,Auburn,Texas,6,7,0,0,L,Auburn,Auburn,Texas,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/22/2026,Auburn,Texas,0,5,0,0,L,Auburn,Auburn,Texas,0,9,"Auburn, AL / Plainsman Park",2026,WN2026
03/24/2026,South Alabama,Auburn,0,10,0,1,W,Auburn,Auburn,South-Alabama,0,8,"Montgomery, AL / Riverwalk Stadium",2026,WN2026
03/27/2026,Alabama,Auburn,11,1,0,0,L,Auburn,Auburn,Alabama,1,8,"Tuscaloosa, AL / Sewell-Thomas Stadium",2026,WN2026
03/28/2026,Alabama,Auburn,3,2,0,0,L,Auburn,Auburn,Alabama,1,9,"Tuscaloosa, AL / Sewell-Thomas Stadium",2026,WN2026
03/29/2026,Alabama,Auburn,3,1,0,0,L,Auburn,Auburn,Alabama,1,9,"Tuscaloosa, AL / Sewell-Thomas Stadium",2026,WN2026
03/31/2026,Georgia Tech,Auburn,13,3,0,0,L,Auburn,Auburn,Georgia-Tech,1,8,"Atlanta, GA / Russ Chandler Stadium",2026,WN2026
