Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,UNLV,Austin Peay,7,3,0,0,L,Austin Peay,Austin-Peay,UNLV,1,9,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
02/14/2026,UNLV,Austin Peay,9,8,0,0,L,Austin Peay,Austin-Peay,UNLV,1,9,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
02/14/2026,UNLV,Austin Peay,3,5,0,0,W,Austin Peay,Austin-Peay,UNLV,1,9,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
02/15/2026,UNLV,Austin Peay,12,13,0,0,W,Austin Peay,Austin-Peay,UNLV,1,10,"Paradise, NV / Earl Wilson Stadium",2026,WN2026
02/20/2026,Austin Peay,Eastern Michigan,6,7,0,0,L,Austin Peay,Austin-Peay,Eastern-Michigan,0,9,"Clarksville, TN / Raymond C. Hand Park",2026,WN2026
02/21/2026,Austin Peay,Eastern Michigan,8,7,0,0,W,Austin Peay,Austin-Peay,Eastern-Michigan,0,11,"Clarksville, TN / Raymond C. Hand Park",2026,WN2026
02/22/2026,Austin Peay,Eastern Michigan,6,1,0,0,W,Austin Peay,Austin-Peay,Eastern-Michigan,0,9,"Clarksville, TN / Raymond C. Hand Park",2026,WN2026
02/24/2026,Mississippi State,Austin Peay,16,3,0,0,L,Austin Peay,Austin-Peay,Mississippi-State,1,7,"Starkville, MS / Dudy Noble Field at Polk-DeMent Stadium",2026,WN2026
02/27/2026,Cincinnati,Austin Peay,5,4,0,0,L,Austin Peay,Austin-Peay,Cincinnati,1,10,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
02/28/2026,Cincinnati,Austin Peay,1,7,0,0,W,Austin Peay,Austin-Peay,Cincinnati,1,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
02/28/2026,Cincinnati,Austin Peay,3,0,0,0,L,Austin Peay,Austin-Peay,Cincinnati,1,9,"Cincinnati, OH / UC Baseball Stadium",2026,WN2026
03/05/2026,Utah Tech,Austin Peay,15,11,0,0,L,Austin Peay,Austin-Peay,Utah-Tech,1,9,"Saint George, UT / Bruce Hurst Field",2026,WN2026
03/06/2026,Utah Tech,Austin Peay,5,10,0,0,W,Austin Peay,Austin-Peay,Utah-Tech,1,10,"Saint George, UT / Bruce Hurst Field",2026,WN2026
03/06/2026,Utah Tech,Austin Peay,4,7,0,0,W,Austin Peay,Austin-Peay,Utah-Tech,1,9,"Saint George, UT / Bruce Hurst Field",2026,WN2026
