Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Saint John's,Ball State,3,4,0,1,W,Ball State,Ball-State,Saint-Johns,0,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/14/2026,Saint John's,Ball State,2,8,0,1,W,Ball State,Ball-State,Saint-Johns,0,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/14/2026,Stetson,Ball State,2,5,0,0,W,Ball State,Ball-State,Stetson,1,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/15/2026,Minnesota,Ball State,8,0,0,1,L,Ball State,Ball-State,Minnesota,0,9,"DeLand, FL / Melching Field at Conrad Park",2026,WN2026
02/20/2026,Merrimack,Ball State,9,5,0,1,L,Ball State,Ball-State,Merrimack,0,9,"Charleston, SC / Shipyard Park",2026,WN2026
02/21/2026,George Mason,Ball State,6,1,0,1,L,Ball State,Ball-State,George-Mason,0,9,"Charleston, SC / Shipyard Park",2026,WN2026
02/22/2026,Merrimack,Ball State,6,14,0,1,W,Ball State,Ball-State,Merrimack,0,9,"Charleston, SC / Shipyard Park",2026,WN2026
02/26/2026,Hawaii,Ball State,6,1,0,0,L,Ball State,Ball-State,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/27/2026,Hawaii,Ball State,12,0,0,0,L,Ball State,Ball-State,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
02/28/2026,Hawaii,Ball State,0,1,0,0,W,Ball State,Ball-State,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
03/01/2026,Hawaii,Ball State,6,0,0,0,L,Ball State,Ball-State,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
03/06/2026,Ball State,Central Michigan,7,8,0,0,L,Ball State,Ball-State,Central-Michigan,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/07/2026,Ball State,Central Michigan,11,6,0,0,W,Ball State,Ball-State,Central-Michigan,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/08/2026,Ball State,Central Michigan,11,10,0,0,W,Ball State,Ball-State,Central-Michigan,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/10/2026,Kentucky,Ball State,10,3,0,0,L,Ball State,Ball-State,Kentucky,1,9,"Lexington, KY / Kentucky Proud Park",2026,WN2026
03/13/2026,Ball State,Eastern Michigan,17,13,0,0,W,Ball State,Ball-State,Eastern-Michigan,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/14/2026,Ball State,Eastern Michigan,9,4,0,0,W,Ball State,Ball-State,Eastern-Michigan,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/15/2026,Ball State,Eastern Michigan,12,9,0,0,W,Ball State,Ball-State,Eastern-Michigan,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/18/2026,Ball State,Butler,10,14,0,0,L,Ball State,Ball-State,Butler,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/20/2026,Western Michigan,Ball State,2,1,0,1,L,Ball State,Ball-State,Western-Michigan,0,9,"Allendale, MI / GVSU Baseball Field",2026,WN2026
03/21/2026,Western Michigan,Ball State,6,8,0,0,W,Ball State,Ball-State,Western-Michigan,1,9,"Kalamazoo, MI / Hyames Field",2026,WN2026
03/22/2026,Western Michigan,Ball State,5,7,0,0,W,Ball State,Ball-State,Western-Michigan,1,9,"Kalamazoo, MI / Hyames Field",2026,WN2026
03/24/2026,Southern Indiana,Ball State,13,3,0,0,L,Ball State,Ball-State,Southern-Indiana,1,7,"Evansville, IN / USI Baseball Field",2026,WN2026
03/27/2026,Ball State,Ohio,10,0,0,0,W,Ball State,Ball-State,Ohio,0,7,"Muncie, IN / Ball Diamond",2026,WN2026
03/28/2026,Ball State,Ohio,14,7,0,0,W,Ball State,Ball-State,Ohio,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
03/29/2026,Ball State,Ohio,17,7,0,0,W,Ball State,Ball-State,Ohio,0,7,"Muncie, IN / Ball Diamond",2026,WN2026
03/31/2026,Ball State,Xavier,12,13,0,0,L,Ball State,Ball-State,Xavier,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
04/02/2026,Miami (OH),Ball State,14,4,0,0,L,Ball State,Ball-State,Miami-OH,1,7,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
04/03/2026,Miami (OH),Ball State,20,4,0,0,L,Ball State,Ball-State,Miami-OH,1,7,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
04/04/2026,Miami (OH),Ball State,7,6,0,0,L,Ball State,Ball-State,Miami-OH,1,9,"Oxford, OH / Stanley G. McKie Field at Joseph P. Hayden Jr. Park",2026,WN2026
04/07/2026,Indiana,Ball State,6,4,0,0,L,Ball State,Ball-State,Indiana,1,9,"Bloomington, IN / Bart Kaufman Field",2026,WN2026
04/10/2026,Ball State,Akron,13,8,0,0,W,Ball State,Ball-State,Akron,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
04/11/2026,Ball State,Akron,3,2,0,0,W,Ball State,Ball-State,Akron,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
04/12/2026,Ball State,Akron,6,7,0,0,L,Ball State,Ball-State,Akron,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
04/14/2026,Butler,Ball State,8,5,0,0,L,Ball State,Ball-State,Butler,1,5,"Indianapolis, IN / Bulldog Park",2026,WN2026
04/17/2026,Kent State,Ball State,3,11,0,0,W,Ball State,Ball-State,Kent-State,1,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
04/18/2026,Kent State,Ball State,5,1,0,0,L,Ball State,Ball-State,Kent-State,1,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
04/19/2026,Kent State,Ball State,8,5,0,0,L,Ball State,Ball-State,Kent-State,1,9,"Kent, OH / Olga Mural Field at Schoonover Stadium",2026,WN2026
04/21/2026,Ball State,Indiana,10,20,0,0,L,Ball State,Ball-State,Indiana,0,8,"Muncie, IN / Ball Diamond",2026,WN2026
04/25/2026,Ball State,UMass,8,9,0,0,L,Ball State,Ball-State,UMass,0,11,"Muncie, IN / Ball Diamond",2026,WN2026
04/25/2026,Ball State,UMass,10,9,0,0,W,Ball State,Ball-State,UMass,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
04/26/2026,Ball State,UMass,6,8,0,0,L,Ball State,Ball-State,UMass,0,9,"Muncie, IN / Ball Diamond",2026,WN2026
05/01/2026,Toledo,Ball State,8,3,0,0,L,Ball State,Ball-State,Toledo,1,9,"Toledo, OH / Scott Park Baseball Complex",2026,WN2026
05/02/2026,Toledo,Ball State,5,4,0,0,L,Ball State,Ball-State,Toledo,1,9,"Toledo, OH / Scott Park Baseball Complex",2026,WN2026
05/03/2026,Toledo,Ball State,20,3,0,0,L,Ball State,Ball-State,Toledo,1,7,"Toledo, OH / Scott Park Baseball Complex",2026,WN2026
05/08/2026,Northern Illinois,Ball State,5,2,0,0,L,Ball State,Ball-State,Northern-Illinois,1,9,"DeKalb, IL / Ralph McKinzie Field / Box Score",2026,WN2026
05/09/2026,Northern Illinois,Ball State,11,1,0,0,L,Ball State,Ball-State,Northern-Illinois,1,8,"DeKalb, IL / Ralph McKinzie Field / Box Score",2026,WN2026
05/10/2026,Northern Illinois,Ball State,5,17,0,0,W,Ball State,Ball-State,Northern-Illinois,1,9,"DeKalb, IL / Ralph McKinzie Field / Box Score",2026,WN2026
05/14/2026,Ball State,Bowling Green,6,3,0,0,W,Ball State,Ball-State,Bowling-Green,0,9,"Muncie, IN / Ball Diamond / Box Score",2026,WN2026
05/15/2026,Ball State,Bowling Green,6,5,0,0,W,Ball State,Ball-State,Bowling-Green,0,9,"Muncie, IN / Ball Diamond / Box Score",2026,WN2026
05/15/2026,Ball State,Bowling Green,10,2,0,0,W,Ball State,Ball-State,Bowling-Green,0,9,"Muncie, IN / Ball Diamond / Box Score",2026,WN2026
05/20/2026,Toledo,Ball State,8,2,0,1,L,Ball State,Ball-State,Toledo,0,9,"Avon, OH / Mercy Health Stadium / Box Score / Recap",2026,WN2026
05/21/2026,Western Michigan,Ball State,8,6,0,1,L,Ball State,Ball-State,Western-Michigan,0,9,"Avon, OH / Mercy Health Stadium",2026,WN2026
