Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Seton Hall,Boston College,4,6,0,1,W,Boston College,Boston-College,Seton-Hall,0,9,"Ponce, PR",2026,WN2026
02/14/2026,Houston,Boston College,5,1,0,1,L,Boston College,Boston-College,Houston,0,9,"Caguas, PR",2026,WN2026
02/15/2026,Washington,Boston College,0,10,0,1,W,Boston College,Boston-College,Washington,0,7,"Caguas, PR",2026,WN2026
02/20/2026,Cornell,Boston College,1,9,0,1,W,Boston College,Boston-College,Cornell,0,9,"Spartanburg, SC / Cleveland S. Harley Baseball Park",2026,WN2026
02/21/2026,Northwestern,Boston College,5,4,0,1,L,Boston College,Boston-College,Northwestern,0,9,"Spartanburg, SC / Cleveland S. Harley Baseball Park",2026,WN2026
02/22/2026,Cornell,Boston College,6,7,0,1,W,Boston College,Boston-College,Cornell,0,9,"Spartanburg, SC / Cleveland S. Harley Baseball Park",2026,WN2026
02/22/2026,Northwestern,Boston College,8,5,0,1,L,Boston College,Boston-College,Northwestern,0,9,"Spartanburg, SC / Cleveland S. Harley Baseball Park",2026,WN2026
02/27/2026,FGCU,Boston College,4,10,0,0,W,Boston College,Boston-College,FGCU,1,9,"Fort Myers, FL / Swanson Stadium",2026,WN2026
02/28/2026,FGCU,Boston College,11,5,0,0,L,Boston College,Boston-College,FGCU,1,9,"Fort Myers, FL / Swanson Stadium",2026,WN2026
03/01/2026,FGCU,Boston College,4,3,0,0,L,Boston College,Boston-College,FGCU,1,9,"Fort Myers, FL / Swanson Stadium",2026,WN2026
03/03/2026,FIU,Boston College,0,4,0,0,W,Boston College,Boston-College,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/04/2026,FIU,Boston College,4,9,0,0,W,Boston College,Boston-College,FIU,1,9,"Miami, FL / FIU Baseball Stadium",2026,WN2026
03/06/2026,Miami (FL),Boston College,7,8,0,0,W,Boston College,Boston-College,Miami-FL,1,11,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
03/07/2026,Miami (FL),Boston College,5,3,0,0,L,Boston College,Boston-College,Miami-FL,1,9,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
03/08/2026,Miami (FL),Boston College,5,9,0,0,W,Boston College,Boston-College,Miami-FL,1,9,"Coral Gables, FL / Alex Rodriguez Park at Mark Light Field",2026,WN2026
03/10/2026,Connecticut,Boston College,19,26,0,0,W,Boston College,Boston-College,Connecticut,1,9,"Storrs, CT / Elliot Ballpark",2026,WN2026
03/13/2026,North Carolina State,Boston College,4,2,0,0,L,Boston College,Boston-College,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
03/14/2026,North Carolina State,Boston College,5,12,0,0,W,Boston College,Boston-College,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
03/15/2026,North Carolina State,Boston College,5,1,0,0,L,Boston College,Boston-College,North-Carolina-State,1,9,"Raleigh, NC / Doak Field",2026,WN2026
03/17/2026,Boston College,Sacred Heart,5,4,0,0,W,Boston College,Boston-College,Sacred-Heart,0,9,"Brighton, MA / Eddie Pellagrini Diamond",2026,WN2026
