Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Davidson,Bryant,5,6,0,0,W,Bryant,Bryant,Davidson,1,10,"Davidson, NC / T. Henry Wilson Jr. Field",2026,WN2026
02/14/2026,Davidson,Bryant,11,10,0,0,L,Bryant,Bryant,Davidson,1,8,"Davidson, NC / T. Henry Wilson Jr. Field",2026,WN2026
02/14/2026,Davidson,Bryant,5,8,0,0,W,Bryant,Bryant,Davidson,1,7,"Davidson, NC / T. Henry Wilson Jr. Field",2026,WN2026
02/20/2026,Clemson,Bryant,9,3,0,0,L,Bryant,Bryant,Clemson,1,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/21/2026,Clemson,Bryant,5,3,0,0,L,Bryant,Bryant,Clemson,1,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/22/2026,Clemson,Bryant,7,5,0,0,L,Bryant,Bryant,Clemson,1,9,"Clemson, SC / Doug Kingsmore Stadium",2026,WN2026
02/27/2026,Radford,Bryant,5,4,0,0,L,Bryant,Bryant,Radford,1,9,"Radford, VA / Sherman Carter Memorial Stadium",2026,WN2026
02/28/2026,Radford,Bryant,2,15,0,0,W,Bryant,Bryant,Radford,1,7,"Radford, VA / Sherman Carter Memorial Stadium",2026,WN2026
03/01/2026,Radford,Bryant,6,12,0,0,W,Bryant,Bryant,Radford,1,10,"Radford, VA / Sherman Carter Memorial Stadium",2026,WN2026
03/06/2026,Rutgers,Bryant,6,3,0,0,L,Bryant,Bryant,Rutgers,1,9,"Piscataway, NJ / Bainton Field",2026,WN2026
03/07/2026,Rutgers,Bryant,14,0,0,0,L,Bryant,Bryant,Rutgers,1,7,"Piscataway, NJ / Bainton Field",2026,WN2026
03/08/2026,Rutgers,Bryant,4,5,0,0,W,Bryant,Bryant,Rutgers,1,9,"Piscataway, NJ / Bainton Field",2026,WN2026
03/10/2026,Bryant,Stonehill,9,1,0,0,W,Bryant,Bryant,Stonehill,0,9,"Smithfield, RI / Conaty Park",2026,WN2026
03/13/2026,Bryant,Binghamton,3,4,0,0,L,Bryant,Bryant,Binghamton,0,10,"Smithfield, RI / Conaty Park",2026,WN2026
03/14/2026,Bryant,Binghamton,5,3,0,0,W,Bryant,Bryant,Binghamton,0,9,"Smithfield, RI / Conaty Park",2026,WN2026
03/15/2026,Bryant,Binghamton,8,4,0,0,W,Bryant,Bryant,Binghamton,0,9,"Smithfield, RI / Conaty Park",2026,WN2026
