Date,home_team,away_team,home_score,away_score,doubleheader_game,neutral_site,game_result,team_name,team_slug,opp_slug,is_away,innings,venue,year,season_id
02/13/2026,Campbell,Cal Poly,5,2,0,0,L,Cal Poly,Cal-Poly,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/14/2026,Campbell,Cal Poly,5,16,0,0,W,Cal Poly,Cal-Poly,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/14/2026,Campbell,Cal Poly,3,4,0,0,W,Cal Poly,Cal-Poly,Campbell,1,9,"Buies Creek, NC / Jim Perry Stadium",2026,WN2026
02/20/2026,Cal Poly,Washington State,9,0,0,0,W,Cal Poly,Cal-Poly,Washington-State,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/21/2026,Cal Poly,Washington State,3,2,0,0,W,Cal Poly,Cal-Poly,Washington-State,0,10,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/22/2026,Cal Poly,Washington State,3,8,0,0,L,Cal Poly,Cal-Poly,Washington-State,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/23/2026,Cal Poly,Washington State,4,5,0,0,L,Cal Poly,Cal-Poly,Washington-State,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/26/2026,Cal Poly,USC,0,4,0,0,L,Cal Poly,Cal-Poly,USC,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/27/2026,Cal Poly,USC,0,6,0,0,L,Cal Poly,Cal-Poly,USC,0,11,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
02/28/2026,Cal Poly,USC,2,16,0,0,L,Cal Poly,Cal-Poly,USC,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/01/2026,Cal Poly,USC,6,8,0,0,L,Cal Poly,Cal-Poly,USC,0,11,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/03/2026,Cal Poly,Pepperdine,12,2,0,0,W,Cal Poly,Cal-Poly,Pepperdine,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/06/2026,Hawaii,Cal Poly,2,6,0,0,W,Cal Poly,Cal-Poly,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
03/07/2026,Hawaii,Cal Poly,7,10,0,0,W,Cal Poly,Cal-Poly,Hawaii,1,11,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
03/08/2026,Hawaii,Cal Poly,3,7,0,0,W,Cal Poly,Cal-Poly,Hawaii,1,9,"Honolulu, HI / Les Murakami Stadium",2026,WN2026
03/10/2026,Cal Poly,Fresno State,13,3,0,0,W,Cal Poly,Cal-Poly,Fresno-State,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/13/2026,Cal Poly,Cal State Bakersfield,8,4,0,0,W,Cal Poly,Cal-Poly,Cal-State-Bakersfield,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/14/2026,Cal Poly,Cal State Bakersfield,6,2,0,0,W,Cal Poly,Cal-Poly,Cal-State-Bakersfield,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/15/2026,Cal Poly,Cal State Bakersfield,6,3,0,0,W,Cal Poly,Cal-Poly,Cal-State-Bakersfield,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
03/21/2026,Cal Poly,UC Davis,12,11,0,0,W,Cal Poly,Cal-Poly,UC-Davis,0,9,"San Luis Obispo, CA / Robin Baggett Stadium",2026,WN2026
